id;x;y;z
2;516430.98;5685716.05;118.23
11;516394.45;5685732.09;117.31
18;516399.91;5685725.06;133.7
19;516433.3;5685717.09;116.27
20;516409.7;5685730.66;115.33
24;516421.74;5685722.48;123.52
26;516418.71;5685732.19;102.73
28;516388.08;5685730.88;143.23
34;516373.78;5685741.56;132.62
36;516422.94;5685724.81;113.91
39;516390.0;5685717.68;138.23
40;516431.81;5685716.41;138.98
43;516427.36;5685723.29;112.57
45;516423.99;5685725.38;113.31
47;516382.05;5685736.68;106.85
48;516421.02;5685722.41;115.6
52;516432.51;5685707.09;143.42
57;516419.81;5685719.72;127.54
58;516398.7;5685731.77;112.35
59;516390.63;5685723.8;144.31
60;516435.9;5685715.55;114.76
64;516377.67;5685739.78;132.07
65;516389.92;5685734.6;133.72
67;516429.76;5685715.14;120.54
69;516417.56;5685729.84;104.12
74;516404.53;5685738.15;99.44
81;516388.63;5685737.62;113.5
83;516407.45;5685732.62;102.57
86;516390.54;5685723.99;140.04
87;516378.85;5685738.86;114.92
92;516396.52;5685723.04;135.24
94;516396.58;5685728.3;137.55
97;516384.97;5685732.55;134.35
98;516372.51;5685742.5;109.07
101;516430.54;5685715.95;116.19
107;516431.29;5685719.24;130.99
116;516432.5;5685727.41;132.92
122;516393.77;5685718.61;141.59
127;516381.76;5685731.61;132.69
131;516357.22;5685748.35;98.6
134;516431.9;5685719.53;132.34
136;516405.79;5685734.02;101.29
140;516425.49;5685721.26;141.74
147;516398.31;5685732.1;108.46
149;516430.3;5685721.19;129.36
152;516417.16;5685719.51;133.85
157;516413.56;5685730.8;103.41
160;516391.33;5685718.6;137.57
161;516380.38;5685733.97;132.14
162;516364.11;5685744.48;102.33
167;516391.56;5685722.36;136.03
169;516389.5;5685729.62;137.93
173;516371.27;5685751.15;90.79
174;516395.4;5685724.98;130.69
175;516429.43;5685726.76;106.2
176;516364.09;5685743.06;102.04
177;516390.29;5685725.13;144.28
178;516385.6;5685725.38;130.96
179;516345.93;5685753.66;90.46
182;516393.88;5685731.94;117.82
188;516404.15;5685747.12;93.47
195;516410.34;5685731.96;116.02
197;516431.8;5685718.59;137.02
203;516383.73;5685730.69;132.59
205;516432.03;5685718.27;132.58
207;516400.09;5685728.81;128.0
211;516378.67;5685737.92;106.81
213;516394.02;5685735.37;112.78
215;516420.27;5685713.49;118.59
216;516400.8;5685731.94;127.33
217;516371.11;5685753.39;89.34
220;516408.55;5685730.79;104.66
221;516345.63;5685756.8;89.51
225;516379.43;5685738.88;134.71
226;516428.6;5685730.98;102.41
228;516401.26;5685734.08;113.45
233;516389.45;5685732.72;133.42
237;516412.54;5685718.46;119.93
248;516387.05;5685732.76;137.06
267;516424.34;5685712.43;119.55
269;516433.08;5685724.02;136.34
278;516390.53;5685720.44;145.16
280;516392.95;5685726.2;131.03
281;516357.69;5685747.79;99.2
294;516439.94;5685716.1;110.37
301;516392.59;5685723.16;135.33
306;516399.55;5685733.85;112.82
307;516415.86;5685734.76;100.82
308;516365.21;5685743.57;131.24
311;516406.48;5685732.5;115.27
312;516431.16;5685718.22;116.51
320;516383.18;5685735.19;134.98
325;516407.59;5685736.31;99.17
331;516405.12;5685744.07;94.81
333;516388.31;5685732.25;134.44
335;516397.16;5685728.17;129.39
336;516367.95;5685748.81;92.86
337;516387.63;5685729.05;132.37
343;516365.72;5685750.73;95.54
347;516390.25;5685723.51;137.01
348;516393.64;5685728.72;130.89
355;516401.49;5685733.74;110.47
356;516406.1;5685729.02;110.7
358;516432.46;5685710.26;143.33
365;516420.24;5685731.68;102.27
370;516394.56;5685722.54;142.41
373;516383.65;5685738.44;137.93
379;516421.04;5685719.67;126.66
383;516400.7;5685733.94;110.25
384;516409.98;5685719.03;122.38
386;516423.83;5685719.48;128.78
387;516378.11;5685734.72;116.42
392;516425.32;5685721.63;116.6
395;516389.33;5685737.12;113.55
397;516431.1;5685727.18;133.82
398;516404.32;5685732.83;115.43
400;516401.98;5685728.07;116.58
402;516388.27;5685737.2;110.49
403;516354.47;5685748.45;97.59
405;516395.12;5685718.97;138.43
411;516388.96;5685726.13;141.29
412;516404.93;5685741.92;95.54
414;516435.0;5685717.36;110.7
423;516378.52;5685737.81;114.06
425;516422.45;5685714.1;117.15
428;516431.81;5685716.11;119.96
432;516406.84;5685727.78;110.3
433;516392.91;5685723.77;133.13
438;516390.41;5685731.06;130.36
439;516435.04;5685713.68;138.67
440;516394.28;5685717.45;138.22
442;516380.62;5685737.38;132.64
443;516388.52;5685738.86;141.02
444;516374.22;5685739.69;105.95
447;516383.36;5685732.72;131.25
449;516424.59;5685726.29;140.73
452;516428.8;5685726.69;106.56
458;516430.37;5685726.41;135.79
462;516431.46;5685714.56;130.81
467;516379.91;5685737.63;106.44
478;516393.76;5685722.36;134.1
480;516397.99;5685725.5;132.47
484;516399.25;5685735.21;110.23
485;516385.19;5685730.01;132.86
486;516394.22;5685722.46;134.07
487;516397.44;5685734.18;111.53
497;516383.8;5685730.63;131.4
501;516423.69;5685718.82;116.27
506;516385.31;5685734.63;106.21
511;516396.6;5685731.22;120.82
512;516390.06;5685727.01;130.33
514;516398.33;5685728.99;127.6
516;516345.94;5685753.62;91.82
519;516408.6;5685731.1;115.58
529;516429.4;5685719.97;127.85
535;516385.91;5685725.78;131.53
536;516434.2;5685711.58;140.32
537;516425.95;5685722.0;144.48
538;516417.47;5685719.18;120.52
542;516425.94;5685720.24;128.95
552;516387.49;5685720.36;138.48
558;516390.17;5685733.35;133.73
562;516395.99;5685750.88;90.87
565;516422.42;5685723.24;114.91
566;516391.24;5685731.48;130.72
567;516386.27;5685729.8;127.53
568;516433.17;5685712.92;142.91
571;516415.14;5685731.93;100.46
573;516420.8;5685709.91;120.27
