from_id;to_id
0;324
0;185
0;923
0;66
0;559
1025;933
1025;977
515;417
515;1526
1028;56
1028;1554
1541;1382
1541;1330
1540;778
1540;1174
518;236
518;1574
1032;945
1032;1719
522;1191
522;727
1037;1112
1037;1345
13;429
13;268
1039;1201
1039;1122
1040;727
1040;1581
1554;695
1049;196
1049;382
1052;1606
1052;1428
1053;1776
1053;849
30;1382
30;1150
545;1798
545;1606
33;239
33;446
37;811
37;445
38;1527
38;1483
1574;688
42;915
42;1767
555;659
555;196
1581;234
1069;1317
559;70
1071;1416
1071;1710
561;1815
561;1788
1074;234
1074;778
55;971
55;1628
56;328
570;800
570;1411
570;1317
574;1297
1087;740
66;257
1605;186
1605;842
70;371
585;646
585;938
1099;633
1099;1765
75;1411
75;166
1101;933
1101;393
85;376
85;418
1112;1483
88;1345
88;673
1624;1449
1624;607
90;1743
90;314
1628;1194
93;125
93;315
1630;1454
1630;368
607;1021
1631;1128
1631;1444
1631;376
608;268
608;854
1122;972
99;166
99;646
613;1512
1128;192
1641;905
1132;689
1132;1416
109;186
109;235
623;712
623;748
626;748
626;1338
115;912
1140;1021
1140;1454
1657;1816
1657;981
633;1150
125;1319
1150;1319
130;1526
130;1415
1156;1765
1156;1786
1675;674
654;842
654;1449
142;854
142;461
142;391
145;461
145;1821
659;314
660;417
660;1366
1172;1338
1172;750
1174;1722
1694;406
1694;863
673;224
1185;1818
1185;954
674;1238
674;968
1189;235
1189;1818
677;1520
677;1309
1191;315
1194;829
1194;326
1710;192
688;971
1201;1798
689;393
695;1525
1719;952
186;1732
1722;324
1211;1428
183;446
183;1764
190;477
190;1528
192;1737
1729;1494
1729;1815
1732;234
712;849
1743;796
1238;952
1244;1309
1244;933
224;367
1764;1816
740;938
1767;912
236;247
236;1532
750;900
239;382
1264;368
1264;357
1776;357
758;829
758;415
247;977
1272;1503
1272;1280
1271;445
1271;800
1788;1419
765;981
765;915
1280;389
257;1469
1798;863
1806;415
1806;1297
1297;811
793;1828
793;964
796;371
1828;954
814;1435
814;939
1330;1512
819;1366
819;945
1342;389
1342;406
1342;1469
1345;328
1382;367
376;1422
1410;964
1410;948
900;477
1415;1503
905;971
923;417
1435;948
1435;1019
1444;970
429;971
1494;1525
983;1528
983;1520
