from_id;to_id
9;1527
9;3798
16;6213
16;1452
19;6886
19;4400
26;5401
26;4802
28;1871
32;4523
32;2687
33;3467
33;2972
33;1326
35;5912
35;5997
44;6423
45;5287
45;783
48;5719
48;5593
52;765
52;6992
53;6155
57;5631
57;3719
59;4042
59;3010
60;7330
60;6100
65;840
65;4782
75;5290
75;1199
79;83
79;3079
83;1126
83;6591
84;4660
84;6449
94;1095
99;6405
99;5287
110;5657
110;4988
111;3923
115;2280
115;3545
115;1130
122;4723
122;6771
122;5016
123;4538
123;2107
133;6430
133;5163
133;897
135;4257
135;2249
143;4071
143;1275
146;1062
146;6729
153;6028
153;1198
156;4394
156;3939
159;2290
162;4104
162;337
170;6688
170;829
178;1656
178;6980
180;6609
180;3833
183;6376
183;4703
187;394
187;7100
195;5885
195;6169
200;211
200;5802
202;5092
202;2814
203;1785
203;2343
211;644
213;2951
213;872
214;4704
214;590
215;1107
215;1108
218;5398
218;7052
221;1027
222;2298
222;4303
233;2211
233;4982
233;1778
238;5460
238;3534
238;2975
238;5655
242;5171
242;3111
254;6154
255;7110
255;6318
260;5368
260;1698
268;5886
268;926
281;4157
281;407
281;685
282;2249
282;6658
282;1202
283;5837
283;5763
286;6897
287;1625
287;1102
288;5167
288;6530
291;5180
291;2052
301;7338
301;2035
305;7170
305;827
310;4671
310;6931
321;3293
321;7170
333;3524
333;5865
337;473
340;1319
340;502
342;1839
342;2935
342;4283
346;4584
346;6977
390;3362
390;2710
394;4005
398;2802
398;6990
407;6956
418;6443
418;1193
431;1958
431;3668
436;7069
436;6916
439;5845
439;5416
441;6730
441;3731
442;2747
442;3302
446;6390
446;7270
456;7292
456;3121
459;5515
459;2114
473;6384
492;4922
492;5421
497;995
497;3443
500;1829
500;1509
501;5718
501;3524
502;3945
508;857
508;7142
508;6197
515;2814
517;5997
517;5101
527;1016
530;6977
530;7247
534;1278
534;2467
534;5286
546;6613
546;3875
549;5132
549;1363
549;6413
549;2951
558;2926
558;1654
560;5744
560;3293
564;3034
564;2415
582;906
582;4125
590;6873
610;2599
618;3357
618;765
621;1052
621;3761
622;801
622;3614
635;6295
635;3740
643;3250
643;1641
643;2630
644;7157
644;2018
647;2200
647;5916
654;2976
676;1410
676;6312
683;3902
683;4144
685;2472
697;783
697;4684
735;3847
735;4204
738;1275
740;1224
740;4429
740;6855
744;6071
744;6284
750;7196
750;3873
751;6815
751;4085
751;5398
765;6042
766;6803
766;843
766;1424
771;3899
771;4895
783;4970
783;1696
787;5546
787;1714
791;6592
791;7329
793;2784
793;2177
798;6920
798;3593
801;7061
812;1777
812;4523
812;2733
815;7104
815;2671
815;3984
822;943
822;2890
826;2056
826;2976
827;3805
829;3776
829;969
833;4525
833;3482
834;4375
834;4121
840;4988
840;3837
840;1518
843;1383
844;5824
852;3854
852;1320
857;3614
857;906
859;6596
859;5077
861;6155
861;3605
861;4498
865;3138
865;2242
867;2150
867;934
872;5220
874;1714
874;1829
878;2485
880;5916
880;913
891;4498
891;1445
894;1102
894;6352
898;4006
898;1159
898;1664
909;7375
909;2150
911;1896
911;4844
912;4439
912;4536
913;3356
919;1410
919;5137
925;4952
925;4453
926;3799
926;3892
928;3639
928;2720
933;1538
933;6400
934;2362
936;1524
936;1766
940;5204
940;4783
943;3197
949;2690
950;2569
953;4049
953;1911
957;4434
957;4527
960;1107
969;2333
970;5698
970;1367
970;2751
977;6956
977;6336
987;6801
987;4997
991;1164
991;5221
995;3665
999;3576
999;2593
1006;2796
1009;2560
1013;5956
1015;2483
1015;3600
1016;4429
1016;4340
1027;1246
1027;1656
1034;6891
1034;6118
1039;4448
1039;4929
1051;1656
1051;2599
1052;6017
1053;7140
1053;3712
1056;2232
1056;6492
1057;2485
1057;3708
1062;4352
1064;1073
1064;6757
1073;5355
1074;5411
1074;6570
1079;3444
