id;x;y;z
3;520393.3;5682615.26;131.2
4100;520265.67;5682977.3;210.68
4101;520254.8;5682546.83;123.04
4;520378.8;5682555.22;128.36
6151;520383.76;5682564.68;116.92
10;520249.33;5682943.38;199.75
2059;520120.74;5682603.73;132.69
12;520317.64;5683051.41;213.13
4110;520260.63;5682904.44;195.36
6159;520291.17;5682991.78;208.42
17;520311.42;5682759.18;156.47
2066;520417.03;5682621.47;127.49
2065;520337.73;5682665.54;144.35
6164;520250.52;5682763.43;154.33
23;520302.14;5682555.8;121.75
4119;520240.07;5683077.97;221.28
27;520199.68;5682937.71;206.52
6172;520361.38;5682565.92;127.94
29;520247.92;5682943.56;199.75
2079;520244.4;5682980.39;205.24
2080;520262.55;5682890.33;184.89
6177;520260.99;5682905.31;194.48
6178;520310.77;5682774.15;157.2
2084;520260.47;5682897.05;192.05
4132;520418.23;5682616.99;129.26
41;520253.3;5682546.49;125.77
2090;520404.97;5682527.92;121.35
6189;520246.13;5682755.82;148.99
2094;520243.92;5682929.02;201.14
2095;520307.53;5683052.26;213.69
4141;520242.94;5682554.02;123.57
6193;520330.0;5682713.42;136.04
2098;520395.54;5682591.75;104.41
2099;520337.12;5682517.97;116.81
6192;520076.16;5682601.28;125.25
4150;520260.01;5682914.41;196.42
6201;520329.09;5682797.93;160.32
58;520235.52;5682923.72;204.08
6205;520314.13;5682809.98;158.94
4159;520232.89;5682928.72;200.2
6209;520260.46;5682897.06;192.04
69;520227.33;5682990.31;204.04
2120;520215.53;5682581.78;120.78
2122;520225.46;5682769.06;155.41
74;520245.62;5682760.9;154.77
2126;520406.44;5682606.84;111.57
6222;520404.25;5682481.65;108.02
4177;520295.39;5682549.12;113.56
82;520422.41;5682643.35;121.62
2133;520309.02;5682823.77;161.23
4182;520344.69;5682663.88;145.5
6234;520375.95;5682562.67;116.24
2140;520226.77;5682579.25;121.73
93;520395.37;5682590.28;104.32
2142;520265.37;5683062.31;219.01
4190;520256.86;5682725.43;155.45
2143;520322.06;5682546.7;122.61
98;520232.45;5682550.53;111.67
101;520256.0;5682730.32;157.2
6246;520323.43;5682754.13;164.28
2151;520222.02;5682933.08;201.9
2152;520343.22;5682564.53;129.45
105;520390.24;5682618.58;132.07
6248;520109.18;5682587.65;133.68
6247;520086.9;5682601.96;121.35
108;520321.86;5682663.36;144.57
113;520251.0;5682966.09;204.12
2162;520420.46;5682572.03;125.52
6259;520255.89;5682725.49;153.8
6260;520245.51;5682734.68;158.17
4216;520413.45;5682614.95;126.99
120;520258.86;5682945.19;206.18
6268;520377.96;5682557.95;128.44
6269;520398.29;5682504.66;115.79
4222;520311.79;5683050.96;213.59
6272;520209.51;5682780.2;168.29
129;520213.34;5682936.38;203.1
130;520300.59;5682727.6;140.76
2176;520428.1;5682633.82;130.53
2180;520291.52;5682974.9;208.67
128;520328.04;5682533.76;118.49
2190;520292.35;5682969.82;211.01
2193;520210.01;5682935.8;203.58
148;520255.38;5682545.45;126.46
2197;520324.91;5683044.18;215.05
4248;520411.42;5682621.26;115.69
4249;520416.68;5682622.68;124.46
2204;520268.73;5682883.94;184.08
4252;520211.73;5682778.13;167.99
4256;520393.84;5682638.07;132.12
6304;520405.81;5682565.28;99.7
6306;520403.62;5682480.43;107.87
165;520404.34;5682570.6;127.84
6314;520246.82;5682980.69;205.13
171;520330.1;5682680.67;146.84
4268;520250.94;5682984.59;208.42
2220;520260.44;5682906.26;200.61
4270;520249.57;5682755.63;145.98
2223;520230.77;5683102.35;223.49
