id;x;y;z
2;517057.49;5681707.17;106.6
4102;517056.5;5681690.43;102.0
13;517019.79;5681533.62;93.05
4120;517078.05;5681570.57;145.86
4123;517093.83;5681685.81;106.86
4124;517065.43;5681757.13;77.98
4128;517063.44;5681709.81;107.6
6183;517023.62;5681597.62;95.34
2088;517073.94;5681755.87;79.03
39;517029.79;5681528.64;37.58
2089;517070.62;5681754.29;110.86
6199;517080.91;5681601.58;84.72
2106;517051.13;5681563.13;96.07
62;517098.95;5681743.19;122.43
2111;517072.16;5681631.86;35.11
4163;517100.75;5681763.96;128.89
4165;517089.49;5681674.17;102.99
4167;517088.36;5681647.69;78.8
2128;517071.59;5681759.02;81.93
4183;517021.05;5681566.78;67.47
88;517041.59;5681584.85;89.86
6232;517020.34;5681540.17;95.99
2141;517038.62;5681561.16;100.88
4205;517044.67;5681713.82;123.11
6254;517091.66;5681741.02;119.76
4208;517073.66;5681703.99;64.72
112;517066.35;5681767.57;83.39
6256;517054.96;5681550.67;112.38
4211;517080.98;5681584.31;83.63
2167;517092.61;5681680.41;94.5
4225;517091.41;5681679.32;99.12
4226;517076.92;5681551.7;116.49
6275;517019.73;5681532.6;91.27
132;517063.91;5681644.68;38.48
2183;517087.98;5681628.51;73.3
4232;517077.23;5681760.15;82.58
6286;517078.47;5681540.29;78.73
4243;517082.59;5681596.61;120.97
149;517079.93;5681759.8;83.33
4247;517088.73;5681651.94;77.21
2203;517024.83;5681539.26;37.22
6302;517031.5;5681625.55;95.72
6303;517087.23;5681682.94;81.12
169;517031.57;5681590.64;95.06
172;517038.5;5681547.36;52.47
173;517035.0;5681582.54;99.48
174;517087.38;5681681.18;79.81
4280;517078.96;5681588.29;82.36
191;517056.18;5681677.3;102.07
4290;517020.69;5681531.89;108.79
6339;517090.89;5681748.1;98.09
2246;517074.73;5681570.61;75.29
6344;517074.99;5681760.56;82.5
4300;517066.19;5681756.94;79.53
2253;517061.59;5681705.69;105.38
207;517019.37;5681527.2;93.88
209;517021.89;5681605.28;97.69
2260;517076.5;5681552.55;115.19
2261;517099.29;5681745.35;122.93
6366;517020.54;5681535.25;103.81
228;517048.61;5681563.61;91.22
2276;517042.44;5681650.26;93.29
234;517081.93;5681578.0;79.92
4332;517020.58;5681543.76;75.45
6380;517018.6;5681550.62;48.0
243;517038.17;5681546.11;50.91
249;517042.21;5681562.2;91.17
2299;517086.52;5681618.05;72.53
6395;517065.53;5681746.64;74.26
2303;517018.63;5681546.08;40.34
