from_id;to_id
5;642
5;1361
15;5877
15;95
5649;66
5649;2613
3091;2538
3091;5107
6677;4228
2076;2134
2076;810
4641;884
4641;4763
1059;3727
5159;4240
5159;119
6184;138
6184;5927
6184;5229
4651;3885
6187;4003
6187;888
5683;1589
5683;5915
1589;3002
1589;2017
2613;4003
6200;1461
6200;1183
4152;482
4152;6381
66;5920
3654;6514
3654;4579
2134;838
5215;4515
5215;5278
1120;1374
1120;2271
5216;119
5216;5877
6242;6099
6242;1967
95;1409
6752;1781
6752;5862
5733;983
5733;5088
5229;6257
6257;1258
4730;4744
4730;884
642;5843
4228;2017
4228;5600
4228;6098
4231;2700
4231;7012
4744;1258
138;5022
138;1686
2700;2529
3725;4504
3725;2206
3725;5514
3727;5868
4239;1919
4239;1955
4240;1183
6287;1529
6287;1800
6291;5301
6291;4504
5783;2427
5783;7016
1689;2989
1689;2799
4763;6026
6137;2781
6137;2869
5278;838
2206;7379
2212;289
2212;5843
179;4425
179;2989
5301;1971
6866;4579
6866;5936
7379;5920
2781;1800
2271;2538
5862;983
5868;5915
6381;5022
2799;923
3823;4890
3823;6514
1781;3958
3840;6936
3840;4428
769;5600
769;1362
769;3885
1290;6471
1290;4515
3339;810
3339;6527
1298;6605
1298;1374
6936;5088
4890;2869
4380;3885
4380;5572
2332;5572
2332;3532
289;4903
4903;3052
810;2427
6471;3532
3400;5107
3400;2558
4425;2558
1361;6605
7012;1971
7016;1461
3958;888
1919;6527
1409;2529
3973;5514
3973;5612
6026;4520
923;6099
1955;1529
1967;3002
5600;503
482;5612
