from_id;to_id
2051;1870
2051;3887
10244;10706
10244;5725
8199;7094
8199;10062
10257;6517
10257;4095
18;7956
18;1729
4115;2239
4115;6287
35;1283
35;12443
12325;3824
12325;1727
6181;217
6181;4528
12327;6734
12327;3109
6184;11433
6184;12609
12332;7691
12332;5327
46;7515
46;6251
49;1682
49;8565
6203;1495
6203;1635
8255;10331
8255;7838
8257;9508
8257;3742
8266;1743
8266;1024
84;1323
84;9985
10327;7592
10327;8474
10331;5259
2142;8844
2142;10929
10340;2683
10340;6755
8293;2349
8293;5609
4198;10062
4198;8600
6248;7360
6248;6861
6251;11703
8302;5004
8302;10806
6255;3755
6255;4487
10353;5586
10353;1056
4210;11282
4211;6045
4211;12493
6270;9351
6270;3568
2182;2043
2182;1648
10378;10596
10378;3542
12431;12530
12431;2915
6287;12098
2200;6682
2200;5261
12443;7334
10405;5059
10405;1360
2232;4487
2232;6749
4283;11534
4283;11946
2239;11899
6340;8124
6340;217
4294;5930
4294;9199
4298;7523
4298;1642
10445;286
10445;8658
12493;3701
12498;11488
12498;7726
10451;944
10451;4017
2260;3568
2260;363
10453;6840
10453;10837
12502;3721
12502;2349
6361;12699
6361;11984
231;12537
231;9524
12530;3401
12537;466
12545;4774
12545;11963
8460;3524
8460;9970
269;3428
269;317
10508;7305
10508;1177
8466;5862
8466;2434
6419;8565
6419;6683
6421;5718
6421;3741
281;5261
281;5579
8474;698
286;3109
6432;6683
6432;5186
300;1534
300;10796
10544;8990
10544;10751
12593;3614
12593;11521
307;11066
307;5318
6452;9453
6452;9851
10553;6673
8506;8543
8506;2481
317;1308
12609;9326
12613;3072
12613;5862
8519;6800
8519;5959
10580;5609
10580;8844
8543;9025
10593;9497
10593;9414
6499;1308
6499;1251
10596;7498
4459;3887
4459;2673
363;9504
6517;7496
2424;6823
2424;5626
2434;5847
6534;9015
6534;11059
8600;12749
12698;4704
12698;6893
12699;5182
12707;10806
12707;1288
2480;9129
2480;8124
2481;988
4528;7388
10676;6942
10676;1492
12726;9319
12726;3721
4545;3241
4545;7793
12742;3662
12742;8673
12749;5800
10704;7334
10704;10778
466;1642
8658;11040
10706;5072
12760;9965
12760;10201
12764;11738
12764;9287
10718;5390
10718;12193
8673;7496
4590;8024
4590;5390
2543;9851
2543;7691
6643;2848
6643;3355
8694;7301
8694;5685
2556;4036
2556;3892
2557;12141
2557;12156
10751;7172
10752;2645
10752;6795
6673;9853
8728;11026
8728;3428
10778;7131
6682;668
10790;11410
10790;11988
8743;896
8743;8980
6698;6126
6698;1133
10796;9853
561;1024
561;6037
570;8905
570;9508
576;3676
576;7505
580;7821
580;3072
580;3383
2631;5214
2631;8024
6732;9648
6732;1728
6734;8000
10837;12219
6741;9464
6741;1630
2645;9166
6749;2747
4704;6135
6755;4806
10852;9531
10852;3619
2671;10201
2671;5577
10863;5318
10863;7094
2673;3662
2683;5251
2690;12156
2690;3614
8835;7842
8835;3335
6795;12170
6800;11059
2707;3701
2707;5259
668;12219
4774;5626
6823;5694
10929;9351
8882;4993
8882;5182
6840;958
698;3957
2747;2043
8901;1360
8901;9563
4806;917
711;3277
711;11154
8905;9787
8905;5691
2762;11681
2762;7515
6861;7193
6861;1534
719;5959
719;5586
6886;1236
6886;9413
6893;6090
11026;12098
8980;6067
2842;5094
2842;4080
6942;5847
8990;5792
11040;5566
2848;3741
9015;11396
4922;12077
4922;6061
11066;11946
11067;1059
11067;12227
11069;2042
11069;1323
9025;915
2915;8043
4985;11525
4985;1682
896;5566
4993;1180
9095;5972
9095;9700
5004;9831
11154;3602
915;9524
9107;3287
9107;11679
917;5072
9129;11585
2991;1177
2991;9249
944;10161
944;11681
5045;5725
5045;1381
958;9350
5059;9504
9166;1729
7131;11525
988;8000
5094;5577
9199;9831
11260;1938
11260;1495
7172;7976
11282;11955
5139;1747
5139;7989
7193;1236
1056;6045
9249;7956
1059;5721
1059;6060
1075;9647
1075;12141
3125;9563
3125;11500
5186;3676
3139;1381
3139;11742
9287;7802
3156;1728
3156;1180
1115;3742
5214;3602
9319;1727
9326;9932
1151;6061
1151;9453
5251;7388
11396;6037
7301;9921
9350;12104
7305;7512
5258;1630
11410;12193
9374;9678
9374;2042
3241;5685
11433;1362
9400;3334
9400;5792
7360;1803
9413;9540
9414;3524
3277;7736
5327;3755
3287;5784
11488;11768
1251;5721
11500;6111
11507;7976
11507;11899
9464;1525
5372;9921
11521;3824
1283;7793
3334;5585
3335;7566
1288;6011
11534;11742
9497;3794
5420;12193
5420;7842
3383;9678
9531;9700
11585;9730
9540;10228
3401;3542
7498;11944
7505;9787
1362;6111
7509;5579
7509;5694
7512;3781
7523;11746
9588;1738
9588;7736
7566;1525
11679;11955
7592;3619
9647;7802
9648;6060
11703;5718
5585;3892
1492;11768
11738;4095
11746;9932
9730;6067
5685;12104
5691;6135
1605;1780
1605;9965
1635;12067
9836;11963
9836;12135
1648;7821
5784;12067
7838;12027
5800;1743
11944;12027
11973;9970
11973;1780
3781;10044
1738;12135
11984;10044
3794;7989
1747;11988
9985;1803
5930;3957
12077;6090
1870;6011
5972;4080
8043;4036
12170;10161
1938;12227
4017;6126
