id;x;y;z
8197;513967.41;704242.67;250.69
6153;513491.98;703816.92;232.85
12324;513302.98;703717.63;224.87
8238;513373.87;703668.32;227.97
2094;514021.68;704307.15;252.78
12336;513953.82;704213.18;249.82
10288;513496.96;703820.71;232.98
2096;513095.91;703765.9;166.18
6196;513291.71;703757.11;220.62
4162;513234.15;703792.09;201.53
4169;513865.43;704153.68;246.26
12362;513487.75;703816.38;232.77
10324;513687.14;703962.66;238.97
12378;513437.04;703699.4;229.67
10330;513988.11;704275.89;251.57
12382;513481.54;703795.57;232.27
97;513496.53;703818.63;232.94
6242;513446.02;703723.12;230.21
2155;513484.2;703811.43;232.64
12403;513546.91;703870.86;234.59
116;513131.55;703756.32;173.86
8317;513621.95;703911.51;236.82
12414;513821.37;704081.78;243.64
131;513794.11;704046.99;242.44
138;513443.15;703742.51;230.62
2208;513720.82;703991.59;240.01
10401;513785.1;704034.94;242.11
4261;513451.92;703757.79;231.0
2217;513958.81;704216.71;250.01
10411;513944.51;704198.01;249.42
8368;513548.94;703877.13;234.74
181;513442.88;703739.79;230.57
10434;513279.51;703762.92;215.88
4291;513925.41;704194.11;248.7
8388;513614.89;703900.58;236.53
10435;513524.95;703848.88;233.77
12489;513772.53;704023.67;241.62
8395;513704.48;703976.69;239.49
8402;513626.18;703914.93;236.93
10454;513457.72;703770.43;231.29
225;513580.2;703894.88;235.72
245;513830.37;704088.06;243.87
250;513952.2;704208.44;249.7
6396;513853.97;704111.16;244.7
12546;513698.68;703972.61;239.31
6406;513954.86;704214.07;249.85
6412;513542.97;703867.74;234.49
10512;513129.94;703754.39;173.95
6426;513967.33;704235.5;250.55
2335;513968.23;704247.12;250.78
292;513141.16;703755.06;174.99
297;513935.27;704192.5;248.97
4394;513471.93;703773.46;231.58
12599;514015.55;704296.94;252.52
4409;513967.3;704232.58;250.47
10554;513844.33;704100.05;244.33
318;513132.85;703754.45;174.05
12608;513353.13;703667.34;227.53
4419;513941.53;704194.55;249.31
2374;513997.22;704284.75;251.91
6470;513965.27;704230.15;250.36
6472;513904.96;704185.97;248.23
8523;513731.0;704000.13;240.31
8527;513560.71;703886.53;235.17
10579;513462.18;703771.4;231.37
8539;513967.94;704231.93;250.44
8541;513970.26;704252.15;250.88
4446;514011.3;704297.14;252.44
12643;513329.97;703688.22;226.49
12644;513286.92;703779.38;209.24
4453;513604.79;703892.51;236.27
6509;513814.06;704079.64;243.46
2416;513319.33;703707.93;225.69
375;513572.57;703890.88;235.54
12665;513966.7;704245.63;250.74
12675;513280.42;703790.14;208.78
8587;513301.49;703720.63;224.81
12688;513641.26;703931.43;237.4
6548;513442.3;703739.08;230.54
10646;513649.35;703936.24;237.59
2454;513607.25;703893.32;236.32
10648;513956.14;704217.55;249.93
10649;513153.95;703757.44;185.45
416;513188.0;703765.0;189.0
418;513452.14;703765.3;231.14
6566;513623.07;703913.32;236.87
10666;513974.45;704263.36;251.16
8621;513358.04;703669.69;227.63
6575;513446.06;703721.3;230.18
8632;513443.88;703731.91;230.4
12730;513926.79;704191.56;248.75
10702;513289.6;703758.85;223.55
12751;513214.26;703778.17;195.78
465;513666.53;703942.94;238.11
468;513707.7;703983.4;239.67
6613;513569.11;703892.05;235.47
12770;513872.54;704136.91;245.46
8675;513978.28;704270.5;251.35
4579;513408.79;703681.77;228.9
488;513295.87;703742.84;223.97
10731;513974.39;704260.15;251.09
2540;514013.3;704297.88;252.48
500;513225.4;703786.22;198.95
10758;513387.87;703674.51;228.4
4621;513966.21;704234.06;250.51
8737;513887.37;704161.67;246.95
8740;513545.78;703875.29;234.68
8744;513588.97;703890.72;235.92
4656;513430.93;703693.44;229.44
10801;513483.98;703802.79;232.46
4663;513857.79;704116.11;244.84
6712;513769.0;704022.71;241.55
10809;513442.82;703705.54;229.83
8760;513292.28;703821.46;212.79
10811;514002.99;704291.24;252.15
10817;513424.19;703688.48;229.27
4674;513670.02;703944.03;238.18
4684;513916.79;704191.84;248.5
601;513739.07;704001.87;240.59
10846;513635.46;703920.98;237.14
8802;513553.68;703885.12;235.0
614;513661.45;703942.93;238.0
10857;513286.87;703766.58;216.19
619;513975.39;704267.21;251.23
10861;513733.29;704000.15;240.35
8815;513445.82;703717.84;230.1
2676;513879.69;704155.85;246.76
2679;513120.95;703764.46;170.58
4742;513584.9;703892.71;235.83
10889;514009.54;704298.83;252.39
8841;513980.29;704271.2;251.39
8846;513472.31;703781.68;231.79
2725;513922.61;704194.85;248.64
2726;513145.6;703752.13;179.14
679;513343.85;703666.46;227.34
2729;513985.99;704274.15;251.52
8873;513611.61;703896.19;236.42
10922;513272.46;703812.93;203.2
4798;513421.09;703685.12;229.19
2751;513427.47;703689.13;229.33
4801;513287.9;703810.8;212.79
709;513664.09;703943.05;238.07
8903;513911.6;704190.61;248.39
2771;513864.05;704118.05;244.98
731;513782.73;704033.55;242.06
10976;513963.94;704228.49;250.32
748;513725.54;703997.43;240.18
8955;513445.34;703719.29;230.13
770;513961.24;704216.55;250.05
2823;513293.51;703738.65;224.06
11031;513405.86;703679.11;228.83
791;513746.78;704006.78;240.77
2841;513946.87;704203.95;249.56
4891;513444.39;703746.91;230.71
8988;513285.5;703774.54;210.32
801;513955.87;704215.59;249.89
2854;513591.15;703891.4;235.96
9001;514019.93;704305.45;252.73
2863;513292.97;703754.33;220.67
2872;513288.45;703766.25;218.99
2885;513786.03;704037.68;242.16
11089;513909.42;704186.94;248.32
852;513275.9;703792.95;208.4
6998;513330.36;703710.35;225.95
9049;513802.54;704063.34;243.0
4960;513195.41;703775.06;194.77
9057;513263.39;703800.51;202.77
7016;513500.34;703822.1;233.05
2921;513283.29;703761.95;217.19
4973;513860.6;704152.27;246.16
7023;513873.95;704148.94;246.52
2938;514030.17;704309.93;252.96
11141;513826.33;704084.12;243.75
11142;513593.77;703890.56;236.01
9097;513968.44;704249.7;250.83
5013;513451.9;703755.96;230.96
5014;513616.67;703903.6;236.59
930;513280.52;703812.98;209.48
2980;513355.56;703667.43;227.57
5035;513153.98;703756.34;185.45
5041;513743.65;704004.88;240.7
968;513157.59;703756.79;185.9
975;513349.58;703665.58;227.46
7125;513275.79;703802.33;206.82
5093;513335.93;703672.15;227.05
5096;513244.49;703800.59;202.04
7145;513639.49;703929.14;237.35
5108;513797.48;704056.32;242.68
5119;513631.88;703919.66;237.07
1027;513441.64;703736.74;230.5
11271;513954.92;704211.73;249.78
9233;513988.95;704278.01;251.61
1050;513443.9;703711.85;229.96
7195;513508.57;703831.7;233.28
5152;513416.09;703682.2;229.07
1076;513451.29;703763.34;231.1
7223;513280.31;703765.41;216.04
3133;513689.5;703964.34;239.02
1097;513503.0;703824.61;233.11
3155;513442.03;703734.33;230.45
1109;513723.54;703994.19;240.11
9336;513772.0;704025.74;241.66
11385;514032.0;704310.0;253.0
7288;513698.85;703976.26;239.37
3194;513639.55;703924.31;237.24
3196;513289.95;703765.02;216.25
7294;513883.62;704157.88;246.84
1155;513117.25;703767.28;167.08
5254;513294.26;703752.33;220.72
1167;513449.95;703750.51;230.84
7312;513334.73;703708.15;226.05
1168;513287.71;703766.63;212.73
11413;513843.35;704097.82;244.28
9366;513369.13;703670.4;227.86
1174;513331.89;703698.07;226.29
7323;513650.45;703938.24;237.63
3230;513288.45;703766.25;217.67
5282;514023.99;704307.92;252.82
7349;513484.39;703806.56;232.54
9399;513872.75;704131.74;245.35
7359;513973.94;704261.77;251.12
3263;513364.29;703671.05;227.77
9411;513681.4;703959.83;238.83
11463;513722.16;703993.54;240.07
3289;513966.22;704240.2;250.64
1246;514008.6;704294.98;252.32
5361;513273.63;703806.24;203.05
11506;513227.2;703789.13;201.35
7409;513152.61;703756.55;185.45
1268;513805.02;704068.07;243.1
9460;513440.44;703702.77;229.76
1269;513289.87;703764.11;219.04
3323;513962.97;704227.75;250.29
11523;513392.42;703674.14;228.49
9477;513576.86;703895.21;235.66
3343;513655.57;703942.51;237.85
1295;513654.63;703937.37;237.71
9490;513128.5;703758.02;173.86
3348;513637.79;703923.8;237.21
1300;513599.16;703893.43;236.15
3352;513658.4;703944.58;237.91
3358;513656.79;703939.22;237.78
5411;513586.73;703892.79;235.86
7459;513282.85;703808.09;209.48
7473;513644.4;703932.06;237.46
5431;513152.16;703757.33;185.45
9532;513741.19;704001.66;240.55
1349;513485.47;703804.72;232.5
5445;513446.87;703724.74;230.25
3404;513963.29;704221.47;250.16
11617;513529.82;703849.07;233.87
11618;513303.33;703726.77;224.67
5475;513277.63;703760.64;215.93
1386;513720.94;703990.53;239.97
5492;513518.82;703839.47;233.54
11638;513813.27;704074.98;243.37
7554;513290.83;703759.02;224.03
3460;513503.94;703826.86;233.16
11653;513536.72;703858.0;234.1
5528;513620.35;703910.61;236.79
7576;513123.32;703761.6;172.72
9645;513781.28;704031.6;242.01
9661;513749.69;704014.51;240.92
11718;513453.89;703767.41;231.19
11720;513429.76;703689.98;229.38
5591;513266.02;703803.71;202.85
5592;513660.41;703942.29;237.96
11736;513378.4;703668.98;228.05
3547;513283.29;703761.95;215.81
3548;513110.13;703763.93;166.8
5607;513327.43;703675.53;226.8
7663;514025.88;704307.31;252.86
3570;514019.83;704302.1;252.67
