id;x;y;z
4109;510963.05;702504.59;144.22
527;510944.38;702485.08;137.5
2069;510954.86;702496.1;128.86
7704;510957.34;702645.03;149.66
8222;510959.49;702643.49;149.33
39;510972.72;702622.14;149.55
553;510944.28;702542.85;147.53
6699;510954.27;702494.8;128.76
8747;510896.81;702558.45;152.98
5169;510954.92;702518.99;134.3
10291;510978.96;702495.85;145.38
6197;510965.15;702516.92;133.64
8248;510981.98;702664.84;155.64
7744;510950.2;702518.09;144.65
2125;510947.05;702559.44;149.6
9807;510951.54;702597.42;147.96
3157;510989.21;702496.4;145.4
11867;510942.76;702497.95;140.0
7772;510974.18;702633.59;149.37
7263;510972.46;702616.77;149.07
5235;510977.76;702615.31;149.55
5244;510956.31;702497.69;128.16
5757;510959.99;702503.02;130.53
10368;510980.07;702500.16;145.22
9354;510945.91;702488.1;132.92
2187;510964.07;702609.45;148.16
2703;510948.07;702490.51;129.81
3217;510941.04;702485.64;138.74
8854;510988.0;702509.76;145.37
2713;510935.67;702485.53;129.11
1178;510963.76;702517.2;132.22
2715;510940.0;702483.0;140.0
5276;510949.85;702495.16;140.27
11930;510967.44;702500.42;144.22
7339;510941.76;702489.25;132.15
3249;510937.33;702488.14;130.72
5809;510956.31;702497.69;129.52
1716;510958.94;702518.18;137.82
1206;510959.11;702493.81;129.88
11454;510952.7;702645.55;150.15
2243;510961.36;702511.93;130.56
8394;510946.38;702491.32;130.24
9939;510976.5;702645.03;150.19
11989;510973.33;702628.49;149.1
11990;510956.0;702494.91;129.77
6871;510906.69;702568.4;151.56
3288;510960.04;702508.6;130.55
11995;510964.23;702499.65;144.22
4317;510978.06;702650.67;155.64
5854;510944.92;702564.55;151.61
5343;510963.97;702514.58;130.77
1259;510922.97;702571.58;150.76
12526;510948.51;702483.38;133.44
10478;510961.95;702642.72;149.33
10489;510907.14;702573.1;151.31
2300;510968.96;702507.94;144.22
7934;510975.02;702637.75;149.67
6399;510955.81;702483.07;136.1
256;510960.23;702601.26;149.64
8454;510958.39;702505.43;130.43
12041;510988.29;702629.53;149.82
5903;510889.43;702559.95;153.9
12063;510934.82;702485.67;128.31
5409;510963.99;702600.43;147.85
8003;510956.69;702602.31;148.22
3398;510997.15;702507.22;145.04
839;510948.86;702528.13;146.86
9544;510950.31;702489.45;129.46
5460;510961.62;702515.27;130.85
11612;510959.71;702616.54;148.16
1375;510999.93;702507.77;145.48
3939;510898.72;702569.88;151.56
4966;510945.62;702491.35;129.51
8556;510941.55;702528.06;146.22
3951;510962.27;702510.69;130.89
3953;510969.91;702517.8;143.88
10613;510987.93;702501.34;145.22
12157;510947.73;702487.56;133.88
4992;510964.19;702516.32;142.83
8064;510945.46;702646.14;151.79
3973;510956.02;702595.38;148.83
9607;510936.4;702486.87;127.35
12692;510963.47;702640.95;149.25
7070;510959.45;702494.07;140.94
417;510943.09;702568.22;151.47
12706;510944.61;702488.13;131.61
5537;510986.18;702630.44;149.74
11682;510987.33;702627.33;149.78
2469;510958.94;702518.18;134.3
3495;510950.71;702588.7;148.27
2988;510960.56;702620.07;149.07
11188;510978.61;702621.78;149.55
6069;510974.34;702495.32;144.22
5046;510981.1;702632.57;149.74
5561;510959.4;702516.43;130.81
10185;510986.73;702631.73;149.64
12758;510950.63;702565.51;149.5
11223;510950.0;702645.39;151.71
10204;510954.78;702587.95;147.91
11235;510961.73;702509.55;132.69
996;510961.31;702508.04;131.01
6120;510963.19;702492.21;140.94
7670;510951.77;702524.19;146.94
2555;510998.02;702508.44;145.12
12285;510937.47;702489.89;130.66
