from_id;to_id
9344;6337
9344;8148
9344;7469
4353;4797
4353;1991
4353;7678
8834;6072
10627;8444
10627;8445
8965;4716
262;4411
262;12159
9479;8768
9479;5756
7175;10173
7175;6702
4489;796
4489;6127
4489;3792
10634;4552
10634;4293
5900;8012
1806;4185
1806;4954
1297;11880
1297;10035
5523;6173
5523;3012
1941;4797
796;4954
6173;9431
2337;3012
7589;6463
7589;4185
2470;4411
2470;6072
936;8445
936;12515
7469;4293
6702;9139
10035;4552
8243;12148
8243;8012
9139;4940
6968;2675
6968;8809
4411;8148
4411;12368
10173;5756
4797;4940
6463;12368
6463;8444
8768;4853
3012;2675
3529;7678
3792;11880
9431;6525
12515;6525
11107;8809
11107;4853
4716;12154
6127;12154
12148;12159
8445;6525
