from_id;to_id
519;338
519;200
519;400
519;193
520;176
520;349
9;252
9;69
16;220
16;495
16;186
534;286
534;373
539;219
28;365
28;208
28;308
543;457
543;488
47;69
47;482
50;493
50;105
56;438
56;148
74;384
74;220
79;337
79;427
82;127
82;302
86;498
86;415
89;223
89;441
90;470
90;113
91;220
91;495
92;237
92;498
93;206
93;365
93;143
102;429
102;507
103;288
103;337
104;474
104;331
105;223
118;186
118;206
121;203
121;232
125;215
125;444
125;313
127;507
128;165
132;203
133;327
133;338
140;331
140;168
143;349
148;375
158;216
158;203
164;469
164;286
165;307
168;235
176;374
198;442
198;289
198;327
199;302
200;424
201;427
201;442
208;308
215;227
216;235
219;441
227;400
232;457
235;301
235;323
237;492
251;375
251;252
256;323
256;457
278;365
278;374
281;341
281;407
289;358
295;415
300;358
300;469
302;470
307;308
313;384
334;444
334;474
341;429
341;470
373;438
400;429
482;492
488;493
