id;cswidth;csheight
528;6.13;4.96
530;2.97;0.66
538;8.0;1.98
26;3.99;1.54
29;5.79;1.6
544;2.87;2.87
33;6.05;1.83
48;11.49;1.71
49;1.99;1.01
59;7.01;4.85
68;2.76;0.86
77;12.61;0.73
95;2.95;2.95
106;3.24;1.64
109;12.37;4.47
119;3.62;2.63
124;3.77;3.77
192;5.61;3.24
202;3.6;3.6
212;2.46;2.46
218;15.93;3.36
231;7.05;12.0
257;3.84;3.84
260;3.01;1.6
283;6.08;4.89
287;4.27;0.57
293;15.64;5.89
309;9.03;1.31
310;2.02;4.39
345;6.95;1.2
348;4.07;0.37
350;4.8;4.8
359;4.83;4.83
367;6.22;2.31
370;8.07;1.0
377;11.02;2.17
379;6.84;6.84
388;2.88;2.88
393;5.63;2.0
408;10.82;1.39
413;2.22;3.42
433;4.52;4.52
434;1.12;0.68
436;4.13;1.31
439;7.64;1.38
440;14.65;1.16
448;8.58;2.53
456;7.7;3.66
491;5.08;5.08
508;2.13;3.07
510;7.7;2.3
