id;x;y;z
518;479938.15;5932490.45;5.08
7;479978.83;5932428.19;7.08
523;479978.92;5932526.22;7.08
528;479865.68;5932488.1;7.38
530;479927.01;5932481.73;7.58
538;479918.0;5932482.32;8.23
26;479917.01;5932482.1;7.99
29;479863.87;5932491.33;7.41
544;479883.58;5932485.32;7.44
33;479887.89;5932488.36;8.47
34;479943.59;5932465.67;5.08
41;480009.18;5932525.59;7.08
48;479928.26;5932476.1;7.62
49;479860.48;5932493.41;7.71
59;479886.1;5932486.7;8.38
62;479964.25;5932438.56;6.08
68;479860.32;5932501.29;7.57
77;479874.42;5932488.27;7.62
95;479864.23;5932483.86;8.3
106;479867.4;5932494.81;27.0
109;479876.06;5932498.5;14.03
112;479959.45;5932447.0;5.08
119;479919.99;5932481.82;8.24
124;479913.22;5932481.62;7.48
135;479945.36;5932508.79;3.08
147;479999.01;5932519.47;7.08
175;479935.99;5932498.27;4.08
179;480018.22;5932410.33;8.08
180;479981.93;5932514.84;7.08
189;480026.84;5932415.26;8.58
190;479986.42;5932518.79;7.08
192;479861.77;5932483.45;7.62
196;479990.61;5932515.99;7.08
202;479920.78;5932480.48;7.21
212;479868.66;5932490.76;7.55
213;479931.22;5932477.86;6.08
218;479866.7;5932485.02;8.15
224;479936.77;5932509.63;-1.42
229;479992.0;5932528.6;7.08
231;479869.36;5932495.13;24.93
236;479958.45;5932502.96;7.08
245;479999.54;5932416.62;8.08
257;479866.74;5932491.74;8.22
260;479911.29;5932481.38;7.25
267;479998.88;5932519.47;7.08
270;479940.0;5932510.98;-1.42
283;479869.01;5932496.36;12.28
284;480021.54;5932406.49;8.08
287;479860.18;5932506.34;7.53
293;479887.33;5932498.55;11.19
303;479973.82;5932519.01;7.08
306;480018.65;5932415.11;8.58
309;479860.06;5932503.42;7.25
310;479928.89;5932478.72;7.77
311;480000.1;5932532.21;2.08
316;479949.65;5932457.84;2.58
318;480032.03;5932526.4;1.08
319;479900.01;5932482.13;7.66
325;480002.32;5932514.07;7.08
343;480041.03;5932420.7;8.58
345;479924.92;5932475.88;7.68
348;479884.71;5932489.87;7.83
350;479873.37;5932501.04;14.21
359;479889.28;5932480.78;8.25
367;479893.72;5932499.59;10.12
370;479914.95;5932478.05;7.69
377;479883.57;5932477.17;8.27
379;479866.59;5932501.25;13.74
388;479864.28;5932497.03;8.98
390;480000.63;5932532.2;5.08
393;479860.78;5932498.35;7.59
408;479905.59;5932478.79;7.33
413;479867.05;5932496.26;10.31
426;479936.07;5932472.68;5.08
433;479934.2;5932480.95;7.08
434;479859.81;5932484.23;7.52
436;479931.81;5932477.0;7.17
439;479868.04;5932490.01;7.88
440;479899.31;5932480.0;7.69
448;479884.13;5932498.65;12.42
456;479868.19;5932509.89;10.11
484;479991.81;5932523.93;7.08
491;479897.87;5932484.62;7.56
505;479864.69;5932491.94;7.28
508;479865.5;5932493.54;7.75
510;479879.81;5932502.44;12.46
