from_id;to_id
0;527
0;631
518;637
518;877
8;654
8;897
12;153
12;30
13;782
13;527
17;50
17;574
531;336
531;710
30;588
554;754
554;404
45;914
559;157
559;865
50;454
50;793
50;326
565;404
565;137
53;222
53;113
574;324
575;312
575;153
63;399
63;272
577;485
577;175
67;82
67;178
67;808
69;833
69;909
588;745
80;175
80;835
592;698
592;344
82;454
597;750
597;441
598;649
598;698
616;710
616;687
107;324
623;468
623;157
113;766
626;851
626;731
631;649
632;877
632;141
637;344
638;897
638;892
137;768
140;878
140;399
141;914
654;731
157;178
687;330
691;766
691;720
697;793
697;939
697;473
719;430
720;817
222;775
745;851
235;356
235;833
750;835
754;441
768;397
775;392
782;892
272;430
793;330
804;909
804;312
808;326
811;320
811;850
301;306
301;392
303;356
303;878
817;356
306;850
320;910
336;377
850;392
377;462
397;918
910;918
454;468
462;485
