from_id;to_id
1025;413
1025;949
1027;476
1027;881
1043;1276
1043;1202
545;1015
545;282
36;941
36;177
555;1248
555;276
557;345
557;1012
1070;180
1070;266
559;735
559;1327
1079;585
1079;986
56;1231
56;868
65;1341
65;383
1091;717
1094;961
1094;468
585;1112
75;352
75;135
590;1202
590;1333
1112;848
91;833
91;288
94;830
94;733
616;989
616;982
621;365
621;491
1144;964
1144;1231
121;276
1154;949
1154;442
1155;347
1155;735
135;888
1162;186
1162;766
139;266
139;365
652;1333
652;1232
1165;1268
1165;859
665;1194
665;425
672;1232
672;1015
1191;888
1191;1237
1194;859
177;1276
180;946
184;249
184;1290
186;1249
194;766
194;1011
717;941
1232;282
1237;957
726;286
726;345
733;961
1248;1354
1249;1273
741;957
741;833
240;468
240;1354
1267;1011
1267;974
1268;1290
1273;425
249;299
769;494
769;830
282;1341
286;986
798;1012
798;352
288;1006
299;491
1327;950
1348;868
1348;983
848;436
347;953
881;413
383;964
946;1006
436;442
950;476
953;983
963;982
963;494
974;989
