id;cswidth;csheight
30721;1.99;7.88
47116;0.33;2.42
38922;3.7;2.26
47126;0.23;1.2
16408;2.64;1.29
28700;0.55;4.68
4132;5.84;5.84
36;0.73;3.96
16424;0.42;6.01
26665;7.06;19.71
41010;1.99;1.99
28721;0.35;3.06
22577;4.13;6.36
18481;0.33;0.33
6200;5.96;29.71
43068;14.88;1.94
14398;0.64;3.02
36928;1.25;5.86
53325;0.2;1.86
10314;1.07;2.04
14411;3.45;9.69
8275;2.82;6.11
16483;1.34;0.81
41070;0.49;6.28
36977;1.67;4.84
30839;0.45;1.66
8312;6.81;10.26
26743;16.54;9.36
32894;2.39;3.46
10366;3.91;3.03
34946;5.49;5.72
4229;2.28;1.67
20620;0.31;4.03
37004;19.33;8.2
34958;0.68;3.87
39056;0.74;14.34
16532;1.15;7.87
45212;0.74;2.68
49313;0.88;1.45
39075;3.35;8.15
53417;3.8;2.28
14506;4.5;2.31
45236;4.58;7.92
20674;1.4;2.17
51400;0.22;2.54
55499;15.53;30.9
39116;0.23;1.74
45265;2.09;3.32
18641;0.21;5.45
22740;0.38;1.4
8409;0.55;1.66
45276;1.48;4.23
226;1.1;1.1
18660;1.75;2.17
49386;1.79;2.44
26861;0.59;4.4
30966;0.71;5.81
53507;1.6;5.78
20749;2.36;3.79
41234;0.32;2.6
35103;2.81;2.31
12579;0.76;3.77
20783;1.43;5.09
39218;1.98;5.27
2355;0.96;0.96
8502;3.06;3.17
31024;0.39;13.03
35133;5.32;15.12
49474;0.59;7.25
51524;4.35;4.45
18755;3.47;4.5
10571;0.43;4.12
57682;0.28;5.43
18775;4.58;6.96
55639;3.36;3.36
31071;3.18;10.51
57702;0.74;7.49
2412;4.44;18.32
31090;0.15;0.51
22912;1.69;1.27
29057;0.16;1.25
22914;3.43;1.02
39300;0.21;1.37
47493;4.39;5.71
27015;2.25;13.26
35208;1.71;2.93
49545;0.39;0.76
45447;0.26;1.38
47503;1.84;4.19
12692;0.87;7.13
4505;0.69;5.98
29083;7.42;4.96
14759;0.45;3.02
29095;0.95;6.1
41395;4.72;10.62
14777;3.73;3.73
27069;4.2;4.2
2493;1.17;1.17
31176;1.18;1.18
53709;1.24;1.07
41426;2.97;16.64
49619;0.08;1.19
25045;5.31;9.08
2521;3.98;7.41
45532;0.26;2.91
29154;0.34;1.03
14825;4.13;5.62
45554;1.03;8.97
47608;0.09;2.31
10747;0.68;1.42
18941;18.01;36.89
511;3.81;3.81
8713;0.56;8.08
31251;4.64;18.8
16917;6.8;1.53
16915;1.42;5.13
35362;1.14;3.1
4653;8.57;6.61
37431;6.63;4.25
