id;cswidth;csheight
0;0.35;2.66
36353;4.78;3.06
8706;7.41;8.83
33793;3.01;3.01
58372;2.5;1.59
3076;9.48;2.33
8194;4.43;5.71
52743;5.56;1.77
56329;0.76;2.09
9225;7.79;6.88
40975;0.25;1.58
24079;7.6;7.09
53777;0.38;1.18
24595;6.43;5.64
16405;3.89;9.03
19990;1.53;4.73
51224;6.18;2.28
31265;7.76;1.77
3624;4.87;3.29
15912;0.04;0.66
41514;6.55;7.47
6702;3.52;4.33
54830;12.3;7.28
33327;4.81;4.6
14894;3.97;1.79
40497;7.18;10.85
7728;6.61;15.04
8238;6.85;12.87
43061;3.16;1.49
6710;1.05;1.51
58419;11.92;8.61
51250;11.6;3.88
28730;1.9;0.95
8766;1.39;1.34
9279;3.02;4.42
50753;4.82;7.5
3137;2.19;2.89
29250;8.97;2.43
52805;0.31;1.93
35398;9.85;5.56
4680;0.11;1.16
49737;1.1;1.34
11851;29.32;5.24
16460;1.0;1.67
3148;6.1;6.1
27725;3.12;0.84
34383;7.7;2.22
21072;3.93;10.69
11346;14.48;28.24
51794;0.33;1.24
1107;0.33;0.62
8789;2.65;2.78
34903;3.26;2.79
53849;0.04;0.58
33882;1.24;1.15
10842;1.37;0.53
27741;7.15;16.81
4703;6.94;3.32
51305;0.72;0.72
54379;1.62;3.9
5229;7.79;2.38
37999;2.99;8.21
20592;2.47;5.21
23154;50.79;10.87
24695;7.91;4.61
16507;5.74;7.15
19580;6.9;12.82
12925;5.83;11.39
22141;3.5;2.85
36485;3.54;3.54
4230;0.01;0.6
38536;3.62;13.7
49293;2.02;2.69
20110;6.15;2.02
9364;0.45;1.29
6809;2.98;1.35
7322;2.36;1.35
5273;0.02;0.5
1694;7.83;2.59
20128;2.51;11.29
12449;0.77;3.64
20130;3.69;3.69
38561;9.93;7.36
37541;0.17;0.59
12454;4.61;3.53
44203;2.19;4.34
16557;0.14;0.65
44208;2.6;5.06
14001;2.45;0.72
26290;4.29;5.48
47795;4.32;14.53
179;4.09;11.27
29876;2.33;0.76
5300;7.87;42.42
5310;12.2;5.0
6337;7.47;7.47
54466;8.05;3.57
22209;0.2;1.67
51905;0.9;1.17
28868;0.65;1.2
36037;11.21;11.21
44742;2.88;11.58
24262;3.4;6.35
46789;1.22;4.64
38089;5.31;3.62
37063;0.13;0.51
55500;1.28;1.19
14540;5.33;4.31
25802;0.36;0.54
43727;0.59;3.63
46800;0.14;0.79
3798;8.4;13.22
49373;6.53;22.38
58050;6.82;2.9
29928;2.93;5.52
40169;1.61;0.49
7915;10.57;10.43
43754;0.11;0.55
8941;6.44;10.95
28398;5.25;5.42
54511;6.49;5.3
1772;0.25;0.55
243;5.02;6.19
23802;9.74;24.4
25343;6.78;8.67
23297;11.03;11.15
26883;102.63;11.05
22790;1.78;4.37
17671;11.48;3.22
36110;0.47;0.76
25364;4.09;1.26
22804;16.61;57.54
23830;6.51;6.55
45335;0.99;1.25
17176;2.7;3.8
15126;0.22;0.53
54042;8.22;8.22
19738;2.39;2.39
37664;4.94;12.29
13601;2.95;3.64
20770;2.74;2.74
5926;5.72;7.67
38701;7.65;5.08
34606;0.89;2.73
35636;11.4;5.4
17723;0.4;0.62
48445;0.32;1.56
35649;5.87;16.18
39745;0.17;1.92
14661;0.38;0.58
17223;4.71;1.75
26442;3.7;1.89
14154;4.45;11.1
35660;4.36;8.16
56653;4.78;4.24
23371;9.51;10.67
58704;2.07;1.89
24402;1.37;0.61
25429;3.11;1.04
10582;1.7;0.38
44376;1.58;1.51
57177;1.32;5.5
10074;1.03;6.76
9569;1.83;6.92
12130;7.77;3.31
16227;3.54;6.56
45924;0.3;0.63
6504;8.25;1.78
26473;2.19;1.98
17258;8.44;1.55
19305;14.36;8.42
13505;7.59;11.3
52586;10.31;1.64
38253;2.24;10.44
50024;9.26;3.13
57200;1.91;3.03
12145;0.13;3.16
24435;4.59;2.75
51060;0.03;0.52
41338;5.67;5.45
44411;5.03;11.63
29563;2.82;6.35
54659;0.54;1.07
6532;0.52;1.88
43395;4.09;1.3
4486;3.46;4.53
7560;2.27;2.27
46476;1.73;3.5
57742;1.55;4.65
55183;2.75;2.1
35214;9.09;15.74
27025;4.31;4.56
28056;0.26;1.61
16794;4.73;6.9
20379;3.14;7.49
39834;2.95;18.08
45467;3.4;3.4
54687;18.1;10.64
56228;4.27;4.27
17830;21.99;4.45
21927;2.06;12.06
22951;0.03;0.53
37292;5.08;2.74
29613;1.41;0.9
53164;0.09;0.53
57266;1.35;0.9
33715;1.64;3.19
57780;1.28;1.98
947;4.94;4.94
7094;11.32;2.48
34231;0.93;6.1
47033;0.16;1.01
36283;2.72;2.03
44988;2.84;2.67
27068;0.07;0.55
18878;3.74;6.61
10174;4.02;14.66
18880;3.08;1.35
29121;2.6;2.6
47554;4.04;5.63
22465;11.08;4.58
26052;4.02;7.98
41410;7.27;7.27
9664;0.35;1.58
29639;1.58;0.96
32200;3.28;8.62
15305;6.28;3.83
34756;0.02;0.61
39884;4.57;6.65
4046;4.31;12.99
12238;2.45;5.88
2000;0.51;0.76
18384;0.05;0.58
40399;0.02;0.34
32724;2.31;0.92
38871;2.39;1.18
52184;0.07;0.54
58331;3.13;6.96
17376;6.31;8.87
4579;2.12;2.72
3044;0.22;0.48
30695;1.19;4.18
58350;1.73;10.47
54768;8.4;13.79
7152;5.78;3.89
12786;6.94;6.94
31728;9.88;3.56
49648;2.43;3.04
3062;0.59;1.5
25592;6.99;3.24
9723;12.51;12.64
24060;4.92;4.92
