id;x;y;z
7684;416333.56;5282177.04;1669.29
18949;416326.64;5282166.2;1737.84
30727;416408.43;5282259.71;1687.14
54279;416338.01;5282183.89;1708.51
56841;416323.82;5282146.92;1752.44
20490;416331.46;5282174.53;1665.25
22027;416391.86;5282267.9;1771.56
29710;416398.54;5282254.72;1720.93
46096;416405.71;5282257.52;1743.67
37904;416361.77;5282187.3;1774.64
36881;416417.45;5282270.41;1722.28
27667;416341.32;5282160.8;1783.0
55828;416352.29;5282217.56;1726.64
13330;416340.54;5282190.49;1714.71
53265;416322.8;5282159.71;1745.64
33298;416369.2;5282145.07;1751.24
31256;416320.76;5282159.81;1739.26
4120;416369.92;5282130.84;1759.93
538;416350.77;5282180.72;1764.57
33822;416355.76;5282128.13;1757.32
12321;416388.88;5282216.17;1672.19
3621;416358.43;5282138.23;1749.02
15398;416376.7;5282233.23;1685.73
25128;416443.18;5282298.13;1716.16
20520;416369.68;5282146.26;1758.53
21550;416357.94;5282218.93;1728.4
40496;416329.43;5282172.53;1739.2
46643;416349.99;5282173.56;1777.67
1076;416358.43;5282144.58;1745.46
45110;416364.73;5282194.46;1767.24
55;416356.25;5282183.4;1773.96
3129;416335.37;5282161.66;1774.4
55354;416388.74;5282233.38;1678.79
3641;416328.49;5282149.17;1745.4
47164;416359.05;5282222.89;1727.68
42046;416347.68;5282171.44;1778.74
12875;416352.97;5282149.42;1745.05
18509;416406.85;5282259.33;1733.54
35918;416373.26;5282198.81;1771.84
51790;416351.85;5282216.02;1726.58
598;416432.85;5282285.81;1717.01
29274;416324.89;5282166.61;1734.72
21083;416363.04;5282144.11;1746.69
15964;416351.8;5282178.64;1747.3
19964;416412.57;5282266.32;1701.27
54366;416387.0;5282238.35;1746.37
48222;416387.06;5282253.61;1769.78
4191;416338.48;5282171.14;1780.62
21600;416343.66;5282171.2;1747.7
5215;416316.23;5282168.06;1732.95
42088;416388.84;5282241.24;1748.04
19050;416435.38;5282288.86;1704.71
36459;416349.73;5282165.7;1744.38
53869;416409.66;5282264.32;1727.1
31342;416360.85;5282191.58;1764.8
46705;416367.59;5282226.89;1731.3
39537;416320.1;5282160.92;1738.71
20084;416373.19;5282222.81;1679.22
34426;416323.81;5282170.36;1725.07
36994;416387.15;5282230.67;1678.82
50819;416391.77;5282270.59;1771.8
17027;416376.01;5282195.97;1764.5
5767;416384.44;5282230.58;1736.45
26248;416351.2;5282181.74;1760.73
137;416386.18;5282229.12;1679.31
4235;416374.89;5282228.75;1681.23
8844;416384.35;5282251.08;1764.68
15503;416381.14;5282228.22;1741.47
5263;416333.51;5282159.76;1779.88
30353;416360.18;5282218.95;1681.81
28818;416345.45;5282194.01;1715.18
17558;416343.03;5282193.36;1714.51
10903;416346.61;5282199.97;1714.61
664;416431.25;5282283.93;1711.15
45207;416352.2;5282170.15;1744.65
16538;416361.87;5282197.97;1766.46
18080;416332.5;5282145.92;1743.55
13479;416350.24;5282209.53;1721.91
1704;416353.98;5282216.69;1727.74
11944;416337.18;5282149.08;1746.56
40106;416410.14;5282266.11;1700.71
12968;416364.15;5282136.58;1751.21
26797;416341.7;5282161.14;1742.7
6318;416327.31;5282162.86;1745.45
2222;416358.48;5282144.82;1745.48
40625;416322.59;5282152.27;1745.85
41139;416388.58;5282259.11;1769.3
8372;416347.18;5282168.25;1746.72
13493;416357.13;5282131.89;1757.32
1720;416347.08;5282196.71;1715.68
58040;416344.18;5282190.08;1715.0
45754;416334.85;5282164.3;1744.94
9400;416371.82;5282232.45;1683.4
3768;416370.34;5282138.45;1754.75
15553;416374.8;5282203.15;1764.71
9410;416330.4;5282145.85;1743.44
23235;416385.13;5282236.3;1744.77
38087;416339.7;5282151.86;1745.01
30408;416379.7;5282226.67;1728.3
7882;416326.91;5282153.28;1747.54
24781;416352.87;5282179.45;1771.26
39119;416380.47;5282225.34;1673.34
10963;416362.74;5282189.25;1774.94
29907;416424.04;5282275.75;1709.79
40152;416351.29;5282136.04;1752.12
217;416352.14;5282188.44;1749.48
53467;416345.96;5282177.27;1777.21
32491;416327.97;5282164.89;1741.26
240;416351.2;5282181.74;1746.03
2800;416335.91;5282161.53;1779.02
44274;416357.28;5282132.3;1754.86
55539;416367.53;5282138.15;1753.73
4854;416385.4;5282228.67;1674.07
56057;416374.54;5282228.41;1730.55
21242;416346.53;5282176.36;1772.13
34042;416338.01;5282183.89;1670.01
51962;416361.94;5282221.19;1678.86
31486;416380.84;5282227.11;1733.06
45823;416395.43;5282274.02;1777.09
45312;416382.9;5282220.35;1672.06
33537;416341.89;5282160.06;1782.31
42242;416354.39;5282148.27;1744.24
41732;416361.33;5282223.18;1729.76
1798;416360.25;5282145.24;1745.94
23303;416330.58;5282157.88;1770.3
33545;416354.28;5282151.44;1738.88
57098;416359.05;5282220.5;1727.85
1813;416354.6;5282196.0;1751.02
45846;416347.11;5282168.53;1746.75
26905;416339.59;5282184.69;1708.82
29978;416434.02;5282287.24;1706.83
30490;416405.49;5282254.82;1680.57
39200;416350.0;5282173.55;1777.67
14113;416375.7;5282200.38;1765.77
39202;416381.57;5282231.69;1727.74
30499;416352.87;5282179.45;1775.66
14626;416372.78;5282234.73;1685.87
36645;416353.58;5282185.3;1764.87
1830;416352.65;5282178.88;1775.62
32551;416367.5;5282194.25;1774.82
41768;416354.66;5282186.38;1764.37
46373;416355.9;5282150.07;1741.0
18219;416429.98;5282284.47;1714.25
38699;416379.33;5282227.6;1679.63
31025;416324.59;5282172.79;1737.33
11570;416342.88;5282151.01;1746.69
38196;416321.88;5282160.69;1744.98
29494;416328.3;5282166.12;1744.66
11577;416364.62;5282226.35;1730.32
41275;416341.55;5282169.7;1784.01
38204;416377.81;5282229.57;1733.96
47933;416348.81;5282206.01;1720.38
55616;416363.15;5282201.48;1741.61
33089;416314.74;5282170.53;1732.65
43843;416339.11;5282162.04;1743.64
6980;416374.16;5282190.53;1764.11
10054;416410.22;5282261.12;1732.73
4937;416344.72;5282192.69;1717.85
17737;416415.48;5282266.57;1701.95
29001;416331.0;5282162.17;1744.79
15691;416324.89;5282166.61;1729.42
46412;416307.69;5282167.96;1726.35
43343;416329.7;5282161.85;1744.4
21329;416336.37;5282162.91;1782.0
11603;416319.85;5282168.37;1735.6
35155;416366.62;5282141.0;1750.53
42325;416382.94;5282235.45;1727.74
42326;416356.17;5282146.84;1743.22
56153;416386.64;5282232.07;1677.81
56156;416369.22;5282227.75;1732.5
354;416357.8;5282144.27;1746.69
16228;416325.46;5282167.72;1727.25
43880;416326.4;5282171.86;1725.13
35688;416345.28;5282159.27;1745.65
51050;416342.42;5282176.78;1778.51
8555;416384.4;5282246.96;1761.88
15724;416355.49;5282218.93;1727.93
25453;416333.74;5282160.26;1774.26
