from_id;to_id
7684;34042
7684;20490
18949;39812
18949;29274
30727;40106
30727;30490
54279;26905
54279;34042
56841;54754
22027;39376
22027;50819
29710;18509
46096;3032
46096;25041
37904;10963
37904;10179
36881;53869
36881;13246
27667;42046
27667;21329
55828;1704
55828;51790
13330;17558
13330;20386
53265;6318
53265;38196
53265;54754
33298;18904
33298;20520
31256;38196
31256;39537
4120;27040
4120;53097
538;55
538;2546
538;26248
33822;13493
12321;50083
12321;45312
3621;46044
3621;354
3621;17914
3621;44274
15398;4235
15398;14626
25128;598
25128;53692
21550;57098
21550;15724
40496;29494
40496;31025
46643;39200
46643;42046
1076;42326
1076;1798
45110;11714
45110;56748
55;10179
55;1830
3129;2800
3129;25453
55354;9697
55354;137
3641;7882
3641;9410
47164;41732
47164;57098
12875;16886
12875;42242
18509;10054
35918;15553
35918;57830
51790;55251
598;18219
29274;15691
21083;1798
21083;35155
15964;240
15964;39326
19964;17737
19964;40106
54366;42088
54366;23235
48222;8844
48222;32735
4191;51050
4191;41275
21600;8372
21600;26797
5215;11603
5215;33089
42088;19376
19050;664
36459;45207
36459;8372
53869;10054
31342;56748
31342;41768
46705;56156
46705;1945
39537;29616
20084;38699
20084;30116
20084;4235
34426;16228
34426;43880
36994;56153
50819;55736
17027;14113
17027;44920
5767;4532
5767;16337
26248;240
137;50083
8844;8555
15503;21395
15503;38204
5263;21329
5263;25453
30353;51962
28818;1720
28818;17558
10903;43917
10903;7578
664;18219
664;29978
45207;47043
16538;56748
18080;9410
18080;11944
13479;55251
13479;47933
1704;15724
11944;3022
12968;55539
12968;46044
26797;43843
6318;43343
6318;40625
6318;29494
6318;32491
2222;354
41139;32735
41139;39376
13493;44274
1720;7578
58040;19945
45754;43843
45754;29001
9400;14626
3768;55539
3768;15265
15553;33218
15553;14113
23235;21395
38087;11570
38087;35688
30408;39202
30408;21940
7882;54754
24781;2546
24781;30499
24781;21242
39119;45312
39119;4854
10963;32551
29907;29978
29907;5491
40152;17914
217;240
217;1813
53467;21242
53467;51050
32491;39812
2800;21329
55539;18904
55539;27040
4854;56153
4854;38699
56057;7085
56057;56156
51962;30116
31486;7085
31486;49582
45823;55736
33537;41275
42242;42326
42242;46373
41732;11577
23303;25453
33545;46373
1813;24009
45846;15352
45846;2438
26905;20386
30490;27132
39200;1830
39202;49582
39202;42325
36645;41768
32551;57830
32551;11714
18219;38361
31025;11603
11570;3022
11570;19410
11577;1945
38204;7085
47933;43917
55616;21940
55616;33218
33089;46412
6980;44920
10054;25041
4937;7578
4937;19945
17737;5491
29001;43343
15691;16228
35155;18904
35688;15352
8555;42894
42894;11199
11666;55228
11666;3032
39326;47043
19376;11199
21940;4532
55228;16337
13246;38361
19410;16886
9697;27132
