id;x;y;z
31744;418308.73;5282655.49;1799.0
46081;418323.2;5282708.37;1753.33
5636;418290.99;5282667.87;1811.0
2567;418336.4;5282738.21;1750.5
4620;418333.47;5282719.97;1746.74
29709;418323.2;5282675.36;1744.06
47629;418374.59;5282604.51;1762.01
48147;418363.77;5282627.76;1761.83
35347;418382.59;5282697.12;1769.93
37910;418330.88;5282749.54;1759.03
18455;418377.83;5282613.02;1761.85
58391;418335.37;5282740.07;1756.44
47641;418341.14;5282772.34;1751.54
47131;418395.53;5282740.12;1779.22
21533;418381.78;5282690.68;1769.53
37918;418381.63;5282690.19;1769.21
57891;418330.5;5282681.67;1797.65
29222;418363.09;5282583.35;1779.76
49708;418320.99;5282671.18;1742.44
21562;418308.96;5282712.45;1750.29
57402;418331.33;5282747.99;1757.85
19517;418404.49;5282749.44;1749.8
44607;418381.42;5282685.86;1767.17
5696;418386.48;5282711.98;1770.93
43586;418324.42;5282678.01;1794.44
31298;418388.49;5282717.57;1771.78
50245;418344.46;5282710.97;1801.33
1610;418366.91;5282574.04;1777.73
52818;418436.85;5282760.86;1771.51
34390;418342.37;5282717.67;1795.1
4696;418370.42;5282571.29;1775.77
44636;418420.45;5282754.96;1758.74
37981;418379.2;5282673.05;1764.11
26208;418326.42;5282718.51;1746.97
52326;418307.67;5282706.29;1745.51
55400;418331.12;5282641.91;1746.85
12914;418405.14;5282770.91;1766.43
10868;418347.84;5282773.51;1751.65
44152;418396.19;5282755.34;1763.35
32376;418429.29;5282757.83;1762.58
42616;418320.16;5282699.08;1804.08
3706;418390.16;5282722.45;1772.43
50812;418305.53;5282726.72;1749.91
28803;418330.83;5282714.93;1792.51
51845;418364.12;5282584.38;1783.8
31877;418375.55;5282573.51;1771.57
7815;418343.44;5282631.48;1753.91
50823;418387.19;5282615.3;1778.6
30352;418319.92;5282712.05;1747.65
18578;418382.59;5282706.26;1768.93
55956;418416.66;5282751.73;1752.1
45718;418325.69;5282759.94;1753.18
23191;418398.7;5282759.72;1752.11
46233;418397.18;5282761.56;1754.09
30363;418326.37;5282713.58;1769.12
39579;418334.14;5282732.98;1748.89
52891;418370.25;5282633.84;1760.42
58525;418398.65;5282753.68;1777.68
35487;418415.22;5282752.61;1751.21
24741;418351.53;5282626.91;1758.79
28325;418366.78;5282566.84;1766.57
16039;418327.58;5282715.84;1746.27
42665;418322.61;5282659.1;1739.78
32939;418434.37;5282758.45;1770.51
50862;418391.67;5282726.11;1775.81
55984;418332.72;5282758.44;1762.77
43701;418312.84;5282741.06;1746.31
12473;418333.69;5282727.32;1746.95
38076;418378.05;5282638.29;1759.86
40125;418335.13;5282734.86;1748.31
34494;418253.31;5282644.63;1732.2
56514;418332.92;5282683.16;1798.99
52930;418328.17;5282645.85;1744.63
11461;418301.2;5282681.16;1806.34
19141;418363.59;5282580.49;1779.01
21701;418367.5;5282568.49;1766.4
37577;418369.53;5282574.17;1776.49
33481;418371.68;5282579.38;1768.36
13004;418349.58;5282748.88;1750.47
31948;418377.23;5282600.19;1769.96
39628;418426.59;5282756.86;1760.94
25807;418328.29;5282716.78;1784.93
6353;418324.83;5282688.86;1750.29
57042;418341.18;5282716.72;1791.73
14036;418364.7;5282564.07;1766.07
2262;418317.16;5282744.99;1747.58
45270;418375.69;5282596.3;1768.95
47321;418310.86;5282692.04;1802.3
38617;418328.24;5282677.71;1798.52
22235;418396.77;5282747.2;1780.47
25309;418378.91;5282605.34;1772.3
24289;418266.24;5282654.41;1734.8
58593;418351.53;5282626.91;1756.19
3302;418285.31;5282680.41;1738.34
53480;418377.8;5282663.21;1761.05
7913;418373.05;5282581.28;1776.04
19695;418344.27;5282740.5;1750.37
29424;418291.77;5282691.98;1739.45
37617;418324.29;5282664.57;1743.8
10995;418355.18;5282757.8;1750.51
2300;418317.39;5282695.5;1801.95
12542;418262.87;5282650.2;1734.97
20736;418395.53;5282740.12;1769.92
36098;418371.12;5282578.56;1766.4
14598;418351.43;5282752.52;1750.09
18185;418355.27;5282625.01;1758.59
49417;418365.07;5282579.15;1779.1
8975;418324.64;5282762.61;1754.06
29975;418392.97;5282613.1;1782.91
22809;418359.27;5282627.69;1761.69
35617;418310.98;5282707.78;1748.81
39203;418333.15;5282711.63;1794.49
42276;418342.73;5282714.8;1798.28
44835;418327.13;5282712.28;1746.55
33061;418379.95;5282628.27;1762.12
39207;418329.52;5282706.1;1798.98
7465;418365.09;5282576.72;1778.35
41259;418345.46;5282705.76;1804.14
4915;418379.43;5282624.28;1761.14
16693;418329.68;5282753.66;1762.14
13623;418323.42;5282679.98;1747.21
23353;418346.71;5282627.52;1755.57
58171;418323.34;5282699.25;1750.05
26432;418345.94;5282751.06;1750.71
5953;418324.26;5282673.11;1798.63
3906;418370.34;5282577.54;1777.34
9540;418331.39;5282753.1;1762.28
34120;418388.43;5282618.76;1773.86
53577;418279.03;5282674.33;1735.37
21832;418382.93;5282611.04;1775.04
18767;418377.38;5282677.26;1762.7
48464;418309.18;5282719.55;1747.6
52563;418257.04;5282646.75;1732.54
49492;418372.37;5282583.64;1776.88
18774;418378.43;5282653.23;1760.89
