from_id;to_id
43010;22308
43010;44237
8709;52007
8709;21026
8709;43581
10248;2345
10248;40268
29193;44191
29193;15536
52744;3178
21026;28107
27174;41549
27174;26866
32808;346
32808;15688
18473;1444
18473;17337
11317;55112
11317;35050
1080;15825
1080;39065
34874;680
34874;46329
43581;304
12355;17254
12355;2367
19017;11929
19017;28975
41549;42985
41549;15788
7259;42796
7259;5615
46686;17337
46686;54937
48734;355
48734;27060
23647;44493
23647;42985
50275;52061
50275;680
3178;22396
32878;43900
32878;52463
34931;5615
32884;2367
32884;42154
51831;15167
51831;41460
28282;304
46714;46329
46714;53548
39065;6828
11929;54561
54937;15250
54937;53444
18074;28975
18074;27896
33435;15788
44191;27896
44191;17254
42154;6449
6828;46565
15536;22396
18618;24336
18618;39727
32955;355
32955;46896
53444;29000
40649;2345
40649;346
44237;24788
24788;1520
25833;27060
25833;52007
45808;39727
45808;13108
26866;56718
27896;1803
1803;27081
55052;46896
55052;36114
24336;6449
36114;54561
22308;304
42796;13108
37166;16219
11576;8087
11576;15825
15167;44938
52549;44493
52549;43900
15688;40343
15688;8087
29000;19803
55112;1520
40268;12218
16219;40343
19803;44938
52061;17337
41826;24565
41826;355
1444;46565
17337;56307
12218;30654
30654;24565
20930;41460
27081;44493
42994;56307
