id;x;y;z
313;360342.3;5237637.25;971.0
115;360342.3;5237637.25;960.47
144;360344.19;5237635.87;955.05
152;360344.19;5237635.87;941.05
29;360348.12;5237634.66;939.79
300;360348.12;5237634.66;923.39
246;360349.85;5237635.16;923.39
43;360349.21;5237636.79;918.97
198;360349.21;5237636.79;894.87
204;360352.17;5237630.2;893.26
102;360352.17;5237630.2;866.76
253;360353.7;5237627.32;865.81
166;360353.7;5237627.32;858.21
104;360352.8;5237627.26;865.81
92;360353.41;5237624.28;858.36
39;360353.41;5237624.28;851.96
170;360355.09;5237622.65;853.49
3;360355.09;5237622.65;841.69
128;360358.52;5237621.88;848.14
67;360356.57;5237624.04;843.07
280;360356.57;5237624.04;826.37
64;360354.84;5237621.81;827.54
191;360354.84;5237621.81;821.24
157;360357.96;5237617.22;820.18
171;360358.42;5237613.53;817.47
226;360358.42;5237613.53;805.07
103;360362.68;5237608.85;808.3
134;360364.78;5237612.81;807.87
44;360368.71;5237612.56;806.17
212;360370.19;5237615.56;806.17
221;360373.62;5237615.51;806.49
172;360376.54;5237617.91;805.52
74;360380.44;5237616.44;805.06
210;360382.77;5237616.1;803.05
215;360347.6;5237622.96;864.96
319;360347.6;5237622.96;857.06
90;360344.71;5237621.43;854.76
316;360345.17;5237623.22;853.23
122;360347.7;5237621.98;849.47
150;360347.49;5237619.74;847.89
185;360346.69;5237620.15;847.89
223;360346.69;5237620.15;844.69
126;360345.8;5237617.82;843.66
10;360345.8;5237617.82;829.26
91;360344.46;5237617.05;829.68
232;360347.12;5237616.23;826.53
192;360347.62;5237618.08;824.22
186;360348.9;5237618.81;820.66
203;360348.82;5237619.8;820.66
178;360350.45;5237619.36;820.02
124;360351.64;5237620.48;819.57
241;360353.03;5237619.66;819.21
146;360353.03;5237619.66;815.76
261;360351.83;5237617.7;815.58
259;360351.83;5237617.7;812.78
211;360354.28;5237616.82;812.78
234;360354.52;5237616.73;812.48
307;360362.36;5237621.64;842.66
197;360363.36;5237620.44;841.11
63;360363.36;5237620.44;839.31
23;360367.57;5237621.31;836.76
85;360367.55;5237622.42;835.75
37;360367.55;5237622.42;833.15
201;360366.46;5237621.93;833.15
174;360366.46;5237621.93;820.35
33;360365.86;5237620.08;821.58
41;360369.37;5237618.56;818.52
86;360369.37;5237618.56;811.12
116;360369.01;5237616.09;811.12
308;360368.94;5237615.59;811.12
276;360273.64;5237519.17;787.8
251;360273.95;5237517.34;790.02
42;360275.5;5237519.4;787.62
237;360273.64;5237519.17;779.25
306;360273.13;5237515.96;790.02
216;360272.87;5237515.67;790.09
296;360274.7;5237522.81;789.99
323;360279.62;5237520.24;787.42
137;360274.84;5237525.47;787.51
68;360271.01;5237524.31;787.51
54;360391.17;5237606.98;790.56
141;360393.16;5237603.82;795.89
96;360390.05;5237607.91;791.55
125;360394.95;5237605.94;787.62
9;360394.21;5237602.62;796.47
136;360397.63;5237602.39;797.2
220;360398.88;5237599.48;798.68
249;360398.71;5237597.02;799.11
22;360383.12;5237618.8;801.0
159;360383.12;5237618.8;798.99
100;360384.15;5237617.12;798.65
80;360387.69;5237617.72;798.31
56;360387.69;5237617.72;799.57
324;360390.0;5237616.44;797.52
31;360390.75;5237615.68;796.66
206;360389.7;5237616.24;796.38
167;360393.91;5237615.18;796.66
291;360388.96;5237617.28;793.66
50;360390.71;5237616.27;792.79
66;360390.14;5237616.53;790.75
87;360389.37;5237618.67;790.24
277;360389.37;5237618.67;788.27
326;360385.48;5237617.82;787.9
105;360385.16;5237617.01;786.32
114;360385.91;5237616.61;784.44
118;360385.23;5237613.61;779.91
75;360386.17;5237611.22;779.08
278;360387.26;5237610.83;778.78
247;360387.4;5237609.29;774.02
322;360392.14;5237613.67;796.63
305;360396.93;5237605.29;785.54
21;360393.51;5237603.21;785.86
258;360397.84;5237604.11;783.9
224;360393.68;5237602.45;785.22
294;360394.66;5237599.07;784.49
158;360394.66;5237599.07;790.99
18;360393.5;5237597.48;784.52
120;360392.96;5237595.61;784.31
169;360391.98;5237596.84;784.18
240;360389.13;5237595.39;781.46
60;360387.67;5237595.35;779.95
321;360384.13;5237594.27;780.53
182;360381.64;5237593.51;782.13
99;360380.46;5237592.63;783.16
263;360378.46;5237590.87;784.17
292;360377.19;5237587.01;783.33
274;360378.46;5237590.87;788.67
4;360376.41;5237586.86;783.26
6;360375.57;5237584.17;783.67
265;360372.86;5237584.13;784.36
217;360371.98;5237583.41;783.99
227;360372.86;5237584.13;790.36
228;360369.45;5237579.82;785.81
36;360369.7;5237577.03;786.97
173;360368.48;5237576.26;787.86
149;360364.25;5237572.31;789.15
72;360362.84;5237573.09;788.71
317;360357.67;5237571.42;789.57
175;360355.95;5237569.35;789.78
38;360351.76;5237568.28;789.3
108;360351.37;5237568.18;789.3
30;360349.14;5237566.52;788.5
269;360347.39;5237565.29;787.27
143;360349.14;5237566.52;806.5
168;360348.55;5237560.04;785.34
131;360349.94;5237555.21;784.7
117;360352.39;5237550.73;784.54
183;360354.93;5237546.83;780.93
106;360354.59;5237542.64;780.33
13;360355.36;5237548.71;780.4
109;360355.98;5237550.19;781.1
27;360352.1;5237542.84;780.21
320;360349.49;5237540.15;781.05
205;360351.03;5237535.64;781.05
177;360349.99;5237534.35;779.93
208;360346.96;5237535.84;780.03
84;360343.35;5237534.29;780.28
189;360344.04;5237531.14;780.23
238;360340.6;5237529.12;779.4
225;360338.16;5237527.88;780.06
8;360335.73;5237527.26;779.94
77;360333.07;5237525.7;779.89
154;360331.25;5237523.77;778.54
138;360330.42;5237522.2;778.43
302;360331.99;5237519.31;777.18
7;360326.65;5237521.31;778.92
70;360331.99;5237516.67;777.27
209;360332.19;5237515.37;777.54
57;360331.53;5237513.56;777.48
160;360330.04;5237511.04;776.78
267;360329.52;5237509.39;776.5
26;360330.52;5237508.56;776.6
309;360333.64;5237507.2;776.5
244;360333.25;5237505.5;776.5
283;360332.45;5237502.91;777.47
254;360333.14;5237501.42;776.5
82;360334.47;5237498.91;775.91
49;360336.64;5237498.23;775.01
257;360337.42;5237498.08;775.31
287;360336.4;5237496.77;777.53
268;360337.3;5237492.39;776.45
51;360337.69;5237492.13;774.51
81;360341.43;5237492.47;773.15
0;360349.02;5237496.47;772.48
325;360349.27;5237497.41;772.86
69;360351.72;5237496.44;772.1
279;360354.49;5237498.65;771.36
139;360357.28;5237497.1;772.93
180;360358.33;5237496.62;772.6
71;360359.6;5237497.21;772.83
121;360360.09;5237495.12;772.83
250;360358.86;5237494.01;772.35
94;360364.74;5237493.24;768.79
24;360364.46;5237492.03;766.46
200;360359.02;5237488.84;766.79
252;360361.48;5237484.92;766.16
266;360361.9;5237482.83;765.71
46;360364.25;5237482.74;764.06
133;360365.62;5237483.57;762.9
62;360367.15;5237474.55;762.58
19;360370.76;5237471.45;761.48
148;360372.79;5237469.34;762.1
190;360371.92;5237468.11;762.16
193;360373.64;5237470.54;762.36
245;360372.79;5237466.96;761.82
145;360370.47;5237463.34;761.75
112;360371.77;5237466.22;761.77
222;360368.83;5237458.34;761.1
129;360367.09;5237454.01;758.41
119;360397.84;5237604.11;780.9
1;360397.72;5237605.44;781.11
165;360397.72;5237605.44;775.34
2;360399.15;5237605.81;775.11
5;360355.36;5237548.71;799.88
303;360356.35;5237548.8;804.02
184;360355.98;5237548.98;806.94
93;360356.79;5237548.05;810.75
236;360324.77;5237521.83;778.83
97;360323.01;5237526.53;778.75
207;360319.99;5237528.32;778.58
235;360315.4;5237524.55;779.43
233;360307.95;5237521.62;780.57
123;360304.43;5237520.84;781.61
78;360303.12;5237522.49;781.85
299;360301.9;5237521.11;783.32
264;360304.27;5237522.67;786.71
28;360298.86;5237521.85;784.17
52;360296.29;5237521.74;784.34
89;360294.85;5237522.45;784.59
213;360288.01;5237520.48;785.26
314;360285.7;5237520.89;785.94
156;360282.4;5237520.32;786.42
34;360273.23;5237520.06;779.04
256;360272.65;5237520.84;778.82
142;360376.19;5237473.6;762.71
176;360377.47;5237475.14;762.89
17;360357.1;5237552.75;798.78
181;360358.8;5237555.49;802.2
290;360359.94;5237555.57;802.48
151;360361.86;5237554.58;802.06
155;360366.14;5237555.04;799.52
45;360361.86;5237554.58;806.66
130;360360.52;5237556.89;806.88
271;360367.85;5237554.92;798.96
270;360363.76;5237553.11;806.96
284;360364.11;5237549.26;806.48
312;360360.68;5237547.92;808.44
11;360357.86;5237547.05;809.46
48;360356.74;5237548.81;809.09
179;360354.38;5237547.85;809.92
20;360354.08;5237549.36;812.13
163;360349.6;5237548.47;815.45
16;360349.6;5237548.47;821.45
107;360349.6;5237548.47;828.05
188;360347.73;5237544.23;821.45
140;360349.99;5237551.6;831.2
230;360348.95;5237553.91;833.73
243;360348.95;5237553.91;839.57
59;360347.91;5237554.29;840.19
298;360347.82;5237555.25;841.19
73;360347.66;5237556.91;842.92
47;360345.59;5237558.2;845.63
282;360345.85;5237560.76;846.72
260;360348.38;5237560.91;849.38
297;360344.03;5237563.34;849.18
162;360344.03;5237563.34;855.18
275;360344.2;5237565.79;856.9
310;360347.73;5237544.23;829.45
288;360347.9;5237544.18;830.43
164;360349.08;5237543.9;837.32
76;360348.12;5237563.24;850.9
218;360351.33;5237563.71;852.21
293;360348.12;5237563.24;855.9
199;360351.33;5237563.71;854.66
239;360352.5;5237565.75;855.76
127;360352.73;5237566.14;855.97
95;360353.18;5237566.93;856.4
58;360353.18;5237566.93;853.4
61;360359.25;5237563.6;849.4
255;360353.18;5237566.93;863.4
53;360359.25;5237563.6;841.55
219;360359.25;5237563.6;834.55
79;360348.12;5237563.24;859.9
272;360360.28;5237557.31;807.75
301;360360.09;5237557.62;808.41
35;360359.73;5237558.25;809.72
229;360355.65;5237557.51;811.56
113;360355.01;5237559.56;814.51
98;360354.92;5237559.84;814.91
