id;cswidth;csheight
114;5.0;5.5
3;4.0;3.0
135;4.0;24.04
58;18.25;15.48
48;7.0;30.0
17;2.07;1.25
124;4.3;10.96
68;5.3;16.0
134;2.7;2.7
108;9.5;6.0
33;0.82;0.82
44;1.2;1.2
60;1.29;1.29
72;0.5;1.18
100;0.39;1.95
90;1.01;1.06
102;5.47;3.45
132;10.12;10.68
10;5.7;10.02
118;3.33;6.49
53;3.27;2.25
91;0.83;2.06
59;0.9;0.1
122;0.04;0.4
39;1.99;1.56
40;3.86;13.84
137;7.27;3.04
121;0.81;1.79
28;1.19;1.19
81;4.73;3.18
87;2.79;0.09
85;3.41;3.6
22;1.0;0.88
8;1.5;3.5
133;0.82;2.98
131;3.0;7.78
97;2.0;3.0
77;0.91;4.0
66;0.98;2.26
52;0.82;1.16
26;1.37;2.24
23;1.36;1.13
7;0.65;1.42
117;0.94;0.37
79;1.89;1.38
62;1.5;2.12
5;1.5;3.2
47;1.4;1.65
14;1.8;3.55
24;0.35;1.0
92;1.51;1.86
69;1.0;2.4
129;0.93;1.59
20;1.22;1.45
120;0.96;0.84
43;0.56;0.56
107;0.77;0.77
21;0.47;1.88
27;1.53;0.73
34;0.97;1.52
30;0.49;1.94
70;0.37;1.7
127;0.82;0.88
38;0.7;0.91
125;0.16;2.18
75;1.13;1.33
113;0.2;1.63
98;0.6000000000000001;2.6
109;0.2;0.97
29;0.08;0.78
96;0.6;1.5
41;0.26;3.64
25;0.58;0.58
123;0.52;0.94
116;0.07;1.13
45;4.0;5.0
103;0.83;1.16
4;0.6;1.69
42;1.34;1.34
101;0.99;2.86
74;2.0;1.98
67;0.7;2.9
46;1.87;0.2
99;2.02;2.84
65;1.86;0.15
93;0.18;0.46
115;0.43;1.05
104;1.81;0.58
1;1.0;0.95
94;1.2;1.2
130;0.9;0.9
0;0.72;0.24
19;3.66;0.71
95;0.31;0.2
50;0.89;0.11
51;0.95;0.26
76;0.47;0.15
112;2.98;1.13
54;3.54;4.23
35;0.96;0.06
83;0.06;0.73
36;3.36;1.14
37;2.99;0.08
11;1.44;1.44
82;2.02;1.21
110;0.44;0.1
73;0.79;0.1
111;0.69;0.44
2;1.43;1.81
18;1.27;0.76
71;0.37;0.05
106;0.34;0.34
78;4.37;0.04
136;0.26;0.08
12;0.88;0.88
119;1.98;0.04
80;0.34;0.18
105;0.57;0.71
126;2.8;1.99
56;0.49;0.12
89;0.24;0.24
64;0.4;0.23
128;0.23;0.02
55;1.51;1.51
61;1.99;0.12
57;2.83;0.09
88;0.96;0.52
31;0.21;0.79
13;0.62;0.39
49;1.38;0.56
32;0.91;0.31
15;0.42;0.43
9;1.01;1.06
16;3.0;2.7
6;2.45;0.53
63;0.6;0.99
