from_id;to_id
1024;2921
1024;1059
3074;2191
3074;2124
3587;2045
3587;2431
6;1171
6;3492
6;2343
6;1880
1020;1408
1020;166
2062;2122
2062;3962
2064;4135
2064;2075
2576;3744
2576;4220
1530;2484
1530;1415
1557;2424
1557;2484
534;2074
534;2409
4117;3972
4117;2030
4120;2274
4120;2435
1046;1052
1046;1314
2074;2351
2075;3041
2076;1315
2076;2862
1563;2484
1563;3133
4126;3341
4126;408
3103;49
3103;2674
1052;2812
3100;1583
3100;2191
1532;3882
1532;1897
1059;2477
4135;2939
2087;1321
2087;1221
1583;403
49;1985
1585;3757
2045;1676
1592;2021
1592;4307
3129;2244
3129;2795
58;1678
58;223
3133;250
1086;166
1086;4047
1087;3915
1087;3022
1088;3044
1088;2125
577;2007
577;1093
1604;2044
1604;3929
1093;1321
2119;2929
2119;3373
2122;1305
2124;2656
2125;2517
1616;2732
1616;2424
4176;3773
4176;2007
1113;3022
1113;3972
2656;2258
4197;1221
4197;2939
2155;836
2155;3722
2159;3492
2159;2783
2674;3456
3701;1202
634;332
634;773
2171;2378
2171;2021
4220;2274
637;3578
637;1855
644;2387
644;940
133;2282
133;3465
650;408
650;3506
3722;3915
1676;3455
1676;2827
653;492
653;2349
1678;4382
2700;1443
2700;3773
2704;1700
2704;281
1171;2899
3734;2302
665;2965
665;2921
2202;3465
2202;1380
4251;188
4251;2929
3744;183
161;2862
161;1985
4258;4294
1700;2776
1703;3929
1703;188
2732;2431
3757;2477
3757;3561
1202;3859
691;773
691;1502
3252;942
3252;403
183;2497
3778;1897
3778;3455
2244;4018
3782;3456
3782;4294
4294;2937
4294;3341
2245;987
2245;3579
1227;421
1227;942
1741;1332
1741;2497
2258;3578
4307;1360
3288;2380
2776;797
223;3866
2783;1960
4325;2967
4325;1968
2282;2517
2795;2523
1271;1855
1271;2542
1786;3488
1786;2003
1786;2941
1786;3944
250;2967
2812;1360
2298;281
2298;1493
2302;4060
770;1502
770;3488
3859;503
1305;2542
3866;1960
797;2921
4382;3954
1314;987
1315;3944
4386;2417
3882;4053
2349;3549
2351;3506
1332;3579
836;2435
2378;3962
332;3549
2380;2523
846;955
846;2387
2899;3069
1380;2965
2409;1415
2929;2552
3954;503
2417;942
1408;1493
1940;940
1940;4018
1443;2030
421;4047
1968;955
4053;2552
4060;3044
3041;2044
492;3069
