id;x;y;z
2562;535282.97;6006188.28;248.07
1540;535025.3;6005856.69;362.67
1036;535021.06;6005835.49;338.51
4109;535023.52;6005854.35;362.81
1038;535266.06;6006201.47;247.97
2578;535448.13;6006257.87;248.17
1556;535315.73;6006094.18;249.87
4119;535023.81;6005912.8;302.49
1562;535016.84;6005820.76;302.6
3098;535031.84;6005839.93;303.0
4124;535025.93;6005860.21;362.91
2079;535216.43;6005994.63;249.47
3106;535180.96;6005912.7;257.47
40;535015.46;6005891.78;302.36
41;535062.55;6005859.17;304.37
1577;535292.42;6006173.27;248.47
1582;535072.58;6005886.08;318.24
3118;535376.23;6006273.24;247.57
2612;535075.17;6005865.44;305.06
2100;535298.36;6006139.69;250.27
54;535024.83;6005833.47;303.16
3638;535296.05;6006259.69;246.97
1080;535051.87;6005849.14;303.52
3131;535079.69;6005885.36;316.85
64;535263.41;6006191.84;248.47
3139;535066.62;6005870.49;294.14
2627;535079.65;6005878.56;317.01
2116;535411.53;6006261.77;247.47
3663;535027.62;6005868.44;363.48
3669;535277.55;6006217.69;248.17
4186;535271.09;6006210.09;247.47
2654;535458.09;6006258.68;248.17
2657;535223.58;6006033.86;247.47
3173;535076.51;6005880.62;317.99
2662;535261.91;6006065.65;245.57
2153;535207.51;6005945.69;251.47
3692;535023.29;6005829.94;306.96
1644;535019.14;6005824.45;306.36
1648;535002.66;6005869.41;301.67
1138;535113.15;6005905.27;257.47
4214;535025.43;6005916.15;302.59
638;535063.59;6005898.9;363.36
2175;535012.17;6005859.43;301.55
2691;535181.84;6005922.21;254.47
4228;535066.34;6005872.67;258.17
1155;535028.3;6005840.19;311.28
2182;535065.64;6005901.25;341.99
1159;535015.64;6005819.11;304.02
1667;535063.44;6005898.75;368.93
132;535394.84;6006266.36;247.47
2699;535230.69;6006040.88;247.17
3213;535073.0;6005879.87;257.47
2197;535022.35;6005849.35;357.43
1175;535280.55;6006088.96;246.87
4247;535348.79;6006269.35;246.47
