id;x;y;z
1668;396503.79;4707110.27;1441.29
389;396542.94;4707086.97;1469.52
8;396480.82;4707105.78;1357.92
9;396497.96;4707104.22;1437.22
522;396496.46;4707107.8;1436.07
1038;396695.88;4706971.26;1536.22
527;396700.6;4706957.78;1551.67
912;396698.05;4706954.05;1591.74
1425;396692.19;4706955.95;1591.09
785;396698.15;4706970.05;1535.48
910;396672.6;4706995.66;1522.68
273;396635.58;4707025.69;1519.54
14;396628.76;4707029.41;1525.22
662;396690.42;4706962.49;1595.65
917;396545.89;4707090.45;1491.05
1176;396702.29;4706961.25;1550.85
272;396526.6;4707094.01;1448.7
922;396661.35;4707003.94;1526.75
1684;396485.97;4707102.66;1408.18
156;396680.13;4706990.58;1524.61
1565;396614.77;4707048.5;1515.0
670;396488.57;4707101.02;1416.16
1691;396477.48;4707101.85;1354.46
32;396698.83;4706963.86;1545.49
161;396594.31;4707061.95;1490.7
672;396500.12;4707112.51;1438.86
419;396539.41;4707088.5;1442.99
678;396647.78;4707016.16;1526.43
935;396680.4;4706974.98;1604.52
806;396632.97;4707027.26;1519.79
1321;396554.33;4707085.45;1492.9
41;396509.66;4707105.53;1445.54
1451;396679.64;4706984.55;1624.78
172;396557.33;4707079.83;1496.39
175;396691.65;4706980.54;1529.91
1459;396534.43;4707091.34;1447.19
1075;396517.23;4707102.09;1446.92
821;396701.04;4706965.78;1535.3
442;396685.23;4706984.25;1528.6
1725;396680.13;4706987.31;1527.55
190;396486.81;4707102.8;1415.78
1471;396485.56;4707104.46;1408.59
832;396682.41;4706974.73;1603.66
1858;396563.42;4707076.16;1495.26
1475;396664.24;4707001.51;1524.11
196;396635.32;4707026.07;1517.8
69;396686.5;4706970.19;1597.33
1986;396482.08;4707105.25;1357.18
839;396612.77;4707044.89;1509.73
457;396680.84;4706979.13;1617.36
585;396586.44;4707067.06;1488.7
203;396631.03;4707033.49;1515.82
843;396608.81;4707049.78;1504.45
333;396678.73;4706984.09;1619.99
76;396511.29;4707105.89;1447.57
1615;396692.8;4706959.08;1589.02
846;396494.65;4707102.98;1431.96
1873;396490.96;4707101.31;1421.32
850;396693.15;4706979.64;1529.91
1875;396693.96;4706973.25;1530.8
1108;396680.55;4706986.61;1630.34
597;396614.77;4707041.42;1523.16
2005;396585.8;4707066.61;1484.27
470;396571.48;4707073.73;1485.67
1619;396534.7;4707087.18;1448.82
1886;396689.9;4706959.54;1595.6
2014;396580.41;4707066.23;1487.52
99;396682.0;4706985.0;1637.0
868;396691.69;4706976.52;1530.58
1514;396691.74;4706978.48;1531.29
747;396703.31;4706956.28;1559.34
1519;396498.07;4707105.48;1436.9
381;396620.39;4707033.67;1527.22
895;396511.34;4707105.73;1448.9
