id;x;y;z
0;550462.92;5997480.11;364.97
7;550302.64;5997617.98;340.95
8;550501.16;5997458.5;390.62
9;550290.0;5997619.69;340.9
12;550292.74;5997635.67;339.2
4114;550455.49;5997470.73;400.73
4115;550463.97;5997503.6;350.56
2067;550457.14;5997477.83;401.5
2069;550385.87;5997474.71;368.92
2070;550466.01;5997498.4;357.67
4128;550372.78;5997467.07;373.57
42;550384.86;5997474.62;368.06
44;550419.43;5997524.47;346.49
2096;550455.43;5997497.24;363.28
2099;550472.9;5997456.73;366.63
2100;550449.54;5997464.36;401.73
2101;550392.91;5997541.59;346.23
4150;550316.72;5997682.54;317.26
4149;550440.71;5997513.78;347.01
2102;550449.56;5997465.35;401.37
63;550458.29;5997478.5;401.4
69;550304.07;5997676.91;315.41
2117;550460.65;5997482.03;400.83
71;550325.38;5997584.93;343.42
4175;550449.04;5997461.86;401.65
4189;550377.34;5997520.4;347.04
4197;550290.87;5997633.06;339.44
2167;550438.75;5997513.38;346.78
121;550358.01;5997529.49;350.17
2170;550460.02;5997486.07;364.1
4221;550363.7;5997468.52;373.98
4222;550474.87;5997478.05;393.22
4226;550436.95;5997464.52;408.29
2186;550292.82;5997693.71;314.97
2191;550468.24;5997496.4;351.68
146;550291.87;5997629.11;339.47
2194;550317.75;5997588.7;343.14
4248;550306.52;5997692.9;316.63
152;550364.6;5997470.58;369.98
4256;550300.89;5997636.17;339.63
2209;550461.41;5997504.54;349.76
2215;550431.14;5997470.38;408.52
2218;550384.61;5997543.27;346.14
2221;550315.89;5997660.54;333.86
4269;550456.63;5997463.98;365.6
2224;550355.49;5997526.18;350.46
4276;550426.88;5997517.26;346.86
4286;550443.35;5997463.44;407.2
4288;550316.28;5997658.65;334.05
2249;550437.95;5997481.27;411.56
4304;550506.0;5997459.09;375.99
2261;550364.25;5997467.47;373.81
4309;550469.87;5997485.09;396.27
2263;550450.45;5997465.96;401.21
4316;550320.86;5997684.08;317.55
2285;550435.56;5997514.61;346.71
4336;550435.67;5997480.6;411.22
4345;550365.01;5997521.66;346.74
251;550462.13;5997482.84;401.2
4352;550470.87;5997484.02;393.97
258;550301.24;5997697.77;316.65
4356;550389.36;5997475.42;367.94
261;550335.44;5997582.21;343.63
267;550289.87;5997627.24;339.34
2316;550433.95;5997466.62;408.36
4365;550449.12;5997514.42;346.86
4366;550399.79;5997534.66;346.48
272;550308.65;5997696.72;317.02
290;550455.82;5997462.46;365.59
4389;550317.08;5997683.97;317.17
2350;550455.86;5997465.68;365.8
2352;550453.76;5997466.72;401.04
2355;550402.22;5997530.14;346.42
4406;550301.05;5997616.27;340.43
312;550305.45;5997638.57;338.12
4414;550342.27;5997575.33;343.93
2368;550370.84;5997465.15;372.83
4417;550388.32;5997543.86;346.25
322;550421.42;5997522.85;346.43
2378;550304.77;5997637.13;339.67
4428;550407.05;5997530.24;346.4
334;550300.99;5997680.1;315.39
4431;550428.83;5997514.41;346.77
2389;550365.08;5997472.98;369.53
344;550479.85;5997472.16;392.5
4452;550493.97;5997462.03;368.85
2410;550435.28;5997515.81;346.71
369;550371.44;5997518.01;347.07
371;550443.52;5997468.02;366.17
2423;550372.48;5997498.0;363.15
2427;550462.67;5997476.7;365.22
381;550318.69;5997663.84;322.9
2451;550461.38;5997456.52;366.44
4517;550304.54;5997644.04;337.27
422;550465.17;5997486.06;399.82
4519;550465.08;5997499.18;351.66
4520;550307.13;5997606.68;342.07
2481;550308.55;5997672.24;317.72
4539;550299.45;5997683.46;315.12
2494;550361.23;5997504.23;360.19
2498;550468.03;5997484.95;395.83
453;550454.29;5997468.46;400.99
2503;550430.03;5997470.66;408.96
470;550503.38;5997463.68;371.02
2526;550365.08;5997531.51;346.22
4576;550327.29;5997680.13;319.39
4585;550492.74;5997456.86;369.1
2537;550505.49;5997461.31;374.44
4586;550464.57;5997486.0;401.3
2543;550457.29;5997475.0;401.02
4594;550458.73;5997502.35;363.14
510;550365.36;5997472.98;352.51
516;550302.14;5997620.58;341.59
4614;550471.97;5997482.5;393.19
2568;550297.7;5997637.68;339.33
4618;550465.55;5997499.54;351.65
2572;550304.75;5997697.74;317.84
526;550472.2;5997483.01;394.6
532;550301.02;5997687.95;315.43
4634;550314.29;5997595.05;342.82
4635;550430.32;5997478.4;410.57
542;550442.04;5997466.11;407.14
4640;550462.43;5997504.5;350.44
545;550452.31;5997466.54;400.81
549;550359.74;5997509.26;357.07
2601;550373.69;5997511.89;347.52
2602;550398.61;5997535.23;346.41
560;550462.33;5997455.77;366.44
4662;550470.01;5997484.48;394.76
568;550320.76;5997661.29;322.57
4667;550433.33;5997477.72;410.98
576;550370.13;5997535.77;346.17
4678;550450.99;5997465.4;366.34
587;550432.56;5997468.11;408.11
2636;550373.64;5997493.48;363.99
4705;550306.45;5997600.8;342.5
4706;550440.27;5997481.71;412.64
4713;550326.16;5997669.0;320.71
4727;550379.17;5997484.9;367.05
2680;550431.98;5997517.1;346.65
4731;550429.7;5997471.37;408.74
4737;550374.39;5997539.76;345.95
641;550460.89;5997481.75;365.12
4738;550467.36;5997485.59;397.15
4752;550439.01;5997466.37;407.19
659;550295.59;5997639.74;340.36
2719;550461.87;5997502.7;362.03
4768;550466.15;5997485.38;399.25
2724;550311.54;5997694.2;317.11
4773;550459.2;5997480.8;401.36
2727;550443.5;5997465.28;366.27
4778;550419.77;5997523.07;346.68
2731;550427.97;5997473.37;409.14
2745;550323.76;5997664.8;321.92
2747;550448.13;5997461.46;401.6
700;550459.77;5997490.19;363.6
2751;550437.61;5997465.9;408.11
710;550318.64;5997684.32;317.82
2759;550378.33;5997467.69;369.94
4811;550410.74;5997532.17;346.51
2780;550286.55;5997694.39;314.77
733;550404.27;5997530.09;346.4
4828;550496.11;5997456.11;390.89
4843;550379.23;5997542.9;346.03
2807;550458.09;5997470.76;365.42
4859;550415.65;5997526.82;346.55
2822;550479.81;5997455.25;367.22
2830;550428.05;5997474.88;410.56
787;550374.49;5997490.2;365.42
4915;550470.35;5997454.87;366.74
820;550457.79;5997505.33;347.86
2869;550500.42;5997463.42;369.55
4921;550485.04;5997451.14;367.51
4923;550508.34;5997464.13;380.22
840;550468.7;5997457.28;366.76
