from_id;to_id
5120;1686
5120;5122
5122;2344
515;33
1540;1631
1540;4574
1031;3291
1031;5104
3080;4448
3080;3421
4118;3763
4118;1661
33;1409
571;3137
571;3947
1595;2014
1595;4398
61;4398
61;1424
3137;3421
5189;1118
5189;4211
1099;4934
1099;4448
81;2419
81;4084
597;4254
597;3871
4187;3228
4187;2377
1117;2250
1117;1118
1631;984
1127;3271
1127;2014
4211;2485
117;5330
1655;1187
1655;2238
1661;263
1153;4382
1153;2493
3717;4574
3717;961
2187;783
2187;2547
3729;2485
3729;3259
1686;699
1686;4787
3228;4318
4252;2853
4252;4254
1187;5370
3235;416
3763;2792
4788;1302
4788;756
4792;5011
4792;892
699;1443
3259;3260
3260;865
2238;335
1732;5379
1732;1334
3271;892
2250;3871
5330;1896
3291;1896
4318;2516
2792;4019
1256;793
1256;2853
756;5089
5370;426
5379;1302
1284;5104
1284;3572
263;2516
783;4084
1302;4089
793;335
5403;3930
5403;4382
1821;961
1320;3572
1320;3057
1323;5030
1323;2398
1840;1500
1840;307
307;1393
1334;5030
2875;1016
2875;3018
2875;3534
4934;1424
2377;984
3930;2398
865;415
3947;2426
1393;4058
2419;2426
1409;921
5011;4058
921;2493
415;416
1443;1016
426;1490
4019;3557
444;5089
444;445
445;1490
961;1016
3018;4089
1500;3057
3557;2547
