id;cswidth;csheight
512;0.16;1.36
1539;0.65;1.51
514;0.31;1.76
3075;0.25;2.0
6;0.3;1.79
1031;0.33;1.76
3081;0.35;1.91
1042;0.62;2.01
19;1.17;1.38
1045;2.36;2.36
1560;0.32;2.46
2074;0.57;1.55
1566;2.35;0.77
1568;0.35;1.28
2593;0.45;1.84
2082;1.59;3.71
2085;0.21;2.22
1061;0.31;2.9
551;6.62;1.94
40;0.2;1.96
3113;0.51;0.68
2090;0.71;2.61
556;3.65;0.93
3118;1.67;0.73
1583;0.24;2.46
1587;0.48;2.26
2106;0.15;1.09
1087;0.33;1.75
1090;0.29;3.5
66;0.29;1.67
1602;0.53;1.55
582;4.6;2.62
583;0.21;1.93
74;0.83;3.04
3158;0.47;2.3
3161;3.34;4.89
601;0.46;1.56
2654;0.06;1.63
614;0.55;0.64
2664;0.31;2.34
1643;2.91;3.54
2668;0.87;2.21
2158;1.82;1.45
111;0.66;1.13
624;3.18;6.81
2167;2.48;1.17
2683;0.44;1.41
3195;0.3;1.72
123;0.85;1.44
1149;0.49;3.31
2180;0.53;1.27
2694;1.0;1.26
135;0.2;0.9
3211;0.15;1.92
3218;0.28;0.99
147;0.95;2.83
660;1.61;1.61
1173;0.29;2.15
1171;0.46;1.29
667;0.34;2.2
157;0.67;1.24
3230;1.04;1.7
1182;4.34;2.0
1181;0.25;1.99
163;0.46;1.47
2725;1.86;2.63
2223;0.38;0.7
3248;2.15;2.43
2224;1.04;2.43
197;0.82;0.74
206;0.96;2.46
211;10.72;6.32
1237;6.07;4.05
2268;0.46;1.77
1245;0.42;1.24
1246;4.74;2.77
735;0.23;1.84
2781;0.34;2.71
1765;0.36;1.82
745;1.04;2.12
746;0.19;1.52
2802;0.86;2.24
2295;0.29;2.4
1790;0.77;1.75
2302;0.19;1.81
1291;1.81;5.4
1293;1.88;2.88
2836;3.69;2.59
1303;0.38;1.84
798;0.78;1.01
804;0.27;2.19
1324;2.31;0.92
814;1.54;1.65
2351;0.48;1.16
2870;0.88;1.12
1338;4.96;1.39
317;0.25;1.48
1347;0.87;1.68
1870;0.57;1.52
1366;0.7;1.95
2906;0.3;2.15
2395;0.57;2.02
861;1.03;2.26
1894;1.45;1.43
2929;0.36;0.94
374;0.14;0.92
1400;0.85;2.45
2426;3.45;1.15
383;0.55;2.5
1409;0.79;1.29
393;3.17;1.38
906;0.48;3.02
908;0.8;1.53
2958;0.31;2.12
2452;1.01;0.62
411;0.49;2.03
2973;1.18;1.38
948;0.39;1.22
437;0.43;3.36
2488;0.95;1.0
450;0.48;1.76
463;2.61;2.31
975;3.73;3.94
473;0.93;1.3
1500;0.2;1.8
3037;0.37;0.9
991;0.67;1.24
3040;0.61;2.37
3041;7.38;3.24
2019;4.57;4.54
2023;2.37;4.33
1513;1.15;2.17
3051;0.49;1.65
2545;3.07;4.95
1523;0.72;1.18
501;0.61;0.66
2557;1.64;2.18
