from_id;to_id
2055;15882
2055;9811
2055;1744
16392;1058
24;5291
24;16007
26;24249
26;16530
12318;7397
12318;21623
43;22039
43;6640
43;22339
16432;20371
16432;6658
10289;16844
16435;15433
16435;317
22593;11137
22593;7116
12360;20290
12360;2643
22602;14632
22602;24016
74;18264
74;3029
22603;21547
22603;6522
12365;18579
12365;4655
10324;22039
10324;6873
6231;16794
6231;11149
10334;22699
10334;3087
2147;9570
22628;7420
22628;21086
20592;9570
20592;22132
6256;12272
6256;18945
16498;13553
16498;852
6259;3895
6259;20141
10365;8955
10365;11168
8332;4092
8332;13775
16524;2362
16524;5291
8336;15809
8336;15195
12432;23031
12432;9564
16530;5391
18579;4534
2215;13761
2215;16266
14504;17769
14504;23925
6313;9459
6313;7317
6313;7420
22699;1933
12469;2928
12469;359
10424;21333
10424;8631
14521;14123
14521;7218
20669;11452
20669;20418
14534;21884
14534;13886
199;3970
199;5478
22727;6522
22727;11616
16592;6851
16592;18796
6357;2638
6357;11452
229;22339
229;15569
230;18674
230;13761
236;19528
236;15066
18674;18231
18680;16347
18680;7335
10492;605
10492;21656
252;18425
252;19399
252;21003
22790;16266
22790;5213
14632;16899
4396;16758
4396;10183
10541;7397
6450;5939
6450;11872
12598;21286
12598;19227
12598;12824
6456;10035
6456;20141
2362;10125
317;21749
6467;16146
6467;5276
2383;24016
2383;17334
339;19772
339;18231
340;18796
8537;5102
8541;6003
8541;24088
359;19865
16753;7382
16753;6732
4470;22382
4470;6596
16758;17530
12668;5383
12668;7501
14719;3087
14719;1910
10627;7643
10627;14759
22930;21066
22930;8781
18836;1131
18836;7382
16794;19926
16794;5391
6558;11149
6558;9760
420;8791
420;1161
14759;15022
16816;15942
16816;21090
12721;23642
12721;7496
4534;5023
8631;20135
16832;1910
16832;7643
6596;17890
16844;5927
18894;7069
18894;24045
16858;17027
16858;11515
6619;21749
6619;19218
2530;20135
2530;7456
20966;15882
20972;21656
20972;11137
6640;15460
23031;3029
18935;22367
18935;2643
18935;16033
23038;15066
23038;5478
18945;11935
6658;15859
16899;9832
522;17890
522;17824
21003;17332
18966;16920
18966;22442
4631;18425
4631;16313
12824;1770
16920;22367
12836;17334
12836;20290
12836;14191
4655;12126
585;2980
585;2877
21066;7317
6732;9848
589;22382
589;9759
8781;13556
2638;1770
594;23951
594;15628
594;15859
2643;9760
8791;11609
23132;17837
23132;9014
605;852
21086;1315
21090;16347
10874;3014
10874;15942
17027;22052
10893;5998
12952;19865
12952;1058
4762;3121
4762;3619
8867;3838
8867;1239
2727;7116
2727;3121
15022;13817
2737;5213
2737;3838
6849;21930
6849;13271
21185;19926
21185;21503
19139;12159
19139;22167
15044;5954
15044;14296
6851;5977
8914;18264
8914;22124
8914;19227
2772;23286
2772;20389
2772;5998
6873;17270
23261;23925
23261;9832
17119;7107
17119;9956
23286;5865
23286;3820
8955;23951
19218;17635
19218;10052
19227;7586
15132;17545
15132;20363
23328;16347
23328;1559
21286;16033
21290;18264
21290;3365
19254;9136
19254;2955
9014;15397
2877;24269
21311;19391
21311;15460
21333;10183
15195;13553
2928;1161
17270;15882
2955;6003
7069;7456
5023;22522
11168;13672
2980;5516
9136;1559
17332;18425
17332;1057
13237;13444
13237;10035
19391;11872
19392;15628
19392;11314
7107;16007
15301;23716
15301;17530
3014;12176
19399;5939
13271;7599
17371;11292
17371;14123
13290;13761
5102;9400
21503;15415
13312;5291
13312;19712
9223;12057
9223;10125
9223;15592
23562;15839
23562;3895
19479;11328
19479;19947
5145;22167
11292;5487
1057;15433
15397;17985
21547;15886
7218;4092
11314;17545
15415;22000
11328;9760
11328;7580
11335;7397
19528;9459
23642;14224
1131;7674
21623;5977
13444;13672
3214;13574
3214;7348
5276;5865
23716;22313
1196;14180
1196;7674
7348;17837
9400;24117
7360;22167
7360;3311
3270;22124
3270;11609
15569;9929
1239;5383
11490;5638
11490;20312
17634;7496
17634;1524
7397;13886
15592;3970
15592;6135
3311;15811
13556;6135
11515;11597
13574;9743
1315;14224
3365;22442
3375;22000
3375;22052
19772;24045
11597;14180
7501;9743
17753;15882
17753;7617
21852;1524
21852;22382
9564;22009
9570;24088
17769;12057
5487;14296
21872;9956
21872;16146
21884;9848
5516;18054
21930;11935
7599;1933
15809;12126
15811;18054
13775;14224
15839;12159
19947;20371
13817;16132
22009;6038
5638;15974
15886;17985
15886;5927
1559;9929
9759;24117
3619;12272
7753;20363
7753;24249
9811;5954
15974;12237
22132;10193
24269;22313
16132;12237
5939;16313
20312;12176
6038;22522
