id;x;y;z
16896;532152.41;6005319.41;333.49
23555;532218.61;6005337.73;324.52
12804;532251.84;6005320.34;369.84
19975;532248.56;6005319.31;357.9
4107;532246.64;6005337.15;343.02
524;532252.6;6005320.99;369.84
14860;532202.79;6005319.61;353.29
22543;532246.41;6005319.63;358.87
14351;532190.28;6005316.64;362.23
9744;532178.72;6005325.68;328.47
2067;532210.02;6005316.56;315.74
16915;532199.92;6005318.3;339.78
3093;532245.28;6005316.27;357.44
13845;532248.56;6005305.49;356.54
2579;532166.37;6005333.78;334.0
7192;532232.44;6005343.02;327.16
2589;532259.12;6005307.97;357.38
16416;532247.28;6005318.54;344.43
12833;532214.72;6005327.26;324.51
8739;532212.99;6005326.33;325.07
1061;532240.79;6005348.71;326.88
2600;532170.46;6005334.47;336.57
8234;532174.97;6005309.73;296.25
12846;532248.56;6005319.31;360.9
12335;532205.21;6005321.09;352.64
560;532252.38;6005317.1;344.5
46;532203.34;6005319.62;350.53
9781;532230.44;6005328.4;362.77
20536;532250.26;6005322.39;360.48
15931;532200.43;6005319.3;296.47
12350;532147.79;6005328.33;330.09
9793;532198.96;6005318.96;330.34
14914;532252.86;6005325.7;344.44
1603;532164.98;6005332.66;332.66
15938;532174.46;6005321.77;255.74
19525;532212.94;6005317.71;292.21
9798;532250.17;6005321.84;360.82
10823;532177.48;6005314.88;260.51
7243;532206.99;6005318.07;300.05
22091;532200.64;6005319.16;308.56
14414;532155.46;6005335.02;325.09
5201;532238.8;6005313.24;346.3
13905;532200.8;6005318.43;340.56
8275;532172.56;6005319.84;255.21
24150;532151.05;6005327.13;326.02
14939;532234.22;6005347.31;327.27
5212;532241.43;6005341.69;343.55
9820;532205.59;6005328.46;309.58
10851;532207.47;6005316.72;291.7
17510;532237.29;6005347.57;327.12
10344;532203.16;6005320.62;295.76
4200;532215.43;6005327.07;324.78
8810;532236.75;6005316.77;345.92
23145;532169.56;6005318.52;254.38
9836;532202.59;6005320.18;306.72
3181;532253.43;6005319.0;344.5
8303;532177.88;6005313.02;283.94
5234;532251.17;6005321.2;359.02
4727;532176.45;6005311.17;284.4
7800;532217.08;6005325.29;355.91
5242;532177.71;6005306.46;268.22
14459;532231.84;6005340.92;326.77
18555;532215.8;6005315.18;318.45
9858;532218.2;6005304.71;341.85
22658;532164.24;6005341.39;327.05
5252;532182.03;6005329.07;323.73
19589;532180.37;6005330.18;323.87
18566;532233.01;6005302.07;356.65
9864;532257.15;6005311.59;357.6
11913;532227.36;6005318.33;346.9
13963;532248.99;6005344.84;340.77
14988;532251.04;6005332.06;343.41
23692;532217.36;6005335.17;324.61
11918;532252.21;6005305.34;357.32
2191;532209.58;6005321.45;363.21
13454;532198.29;6005319.53;355.36
18062;532231.32;6005306.9;344.83
4753;532214.71;6005324.15;316.28
4755;532173.84;6005305.16;269.09
16014;532185.15;6005327.72;323.66
12942;532167.71;6005334.09;334.16
21654;532241.91;6005314.92;356.83
5271;532249.72;6005332.7;343.23
8856;532178.49;6005325.49;326.29
17040;532196.56;6005295.44;269.69
19610;532211.93;6005306.03;343.54
16539;532233.27;6005341.82;327.02
8860;532185.11;6005310.84;286.96
14493;532214.23;6005305.45;341.23
1182;532242.21;6005312.97;346.29
22686;532227.54;6005325.42;356.83
8866;532250.17;6005321.84;362.52
23715;532231.33;6005329.23;359.69
12963;532171.07;6005334.67;336.28
7333;532184.65;6005321.28;348.72
15528;532208.12;6005328.83;311.05
2728;532244.96;6005347.8;327.31
686;532251.76;6005345.07;327.98
687;532170.66;6005308.46;286.56
22706;532245.94;6005345.04;340.46
23734;532223.76;6005339.55;343.44
23225;532229.86;6005306.71;347.25
3769;532176.73;6005326.08;346.99
19646;532177.14;6005311.2;295.74
14016;532198.91;6005314.72;292.61
24257;532210.95;6005323.01;359.52
9923;532224.6;6005318.99;348.23
22211;532202.13;6005318.42;340.84
4803;532165.53;6005339.24;328.33
7879;532178.28;6005332.32;324.85
