from_id;to_id
14852;23695
14852;4925
6149;6354
6149;4586
20998;13904
20998;881
10249;10266
10249;7856
7180;22086
7180;6944
8717;14861
8717;6332
14861;19191
7695;16564
7695;1562
15887;14298
6161;20022
6161;19789
1041;1349
1041;20173
1041;6731
7190;6731
7190;10236
11287;13977
11287;16564
21529;12503
21529;18041
1562;6354
10266;18389
9755;19892
9755;16806
6685;7856
6685;8094
541;18870
541;18182
5152;16847
5152;3288
15909;1712
15909;20128
17445;21891
17445;6543
1573;23395
1573;9668
3624;13441
3624;15358
22057;3999
22057;5579
15406;11214
15406;15527
18480;13904
18480;22365
7728;9137
7728;4047
7728;1724
7728;17087
54;10061
20022;17707
15928;21121
15928;21779
1084;18878
1084;5611
20541;9668
20541;16830
12869;12681
12869;9611
22086;21354
4167;20775
4167;21891
13896;18823
13896;10427
14407;15690
14407;6223
20554;18870
20554;8094
4168;1349
4168;9137
5706;20187
5706;1696
11342;6621
11342;12106
6223;20963
13904;17622
8273;4299
8273;8696
19024;881
19024;13013
10835;1284
10835;7987
5206;2760
11351;18221
11351;1630
1113;9937
1113;13282
6745;1630
6745;5868
21093;14676
21093;11072
19557;10924
19557;19649
2151;20176
2151;19874
7795;6543
4728;10056
4728;15589
6776;18319
6776;5010
13441;991
21121;18221
4742;13013
4742;1349
6792;19372
6792;8700
23179;21779
23179;10447
23695;9687
12439;6543
15511;5607
15511;20174
4248;15355
4248;19310
13977;18422
1178;23457
1178;20372
158;6332
158;17675
20128;21739
19105;17675
19105;15332
17568;17617
17568;12560
15012;19191
15012;7106
20644;15062
20133;20963
20133;18878
165;20174
165;250
17576;19892
17576;9159
5287;6394
5287;17345
1194;15332
1194;3847
15019;9937
15019;7092
15527;10056
10924;20954
6829;18755
6829;17617
1712;16806
14000;3368
14000;9092
16564;11214
2743;19252
2743;19341
2743;15119
10427;3368
22210;19731
22210;12560
2760;16861
712;1332
712;15690
4299;2389
4299;5434
6348;17617
6348;15079
204;18795
204;6603
20173;15833
10447;7033
20176;23524
9937;19892
20686;10236
20686;1373
5842;9546
15062;14261
21207;227
21207;16847
3288;12513
14039;23941
12503;19874
6362;9174
6362;18422
17622;15759
730;15079
20187;4841
12513;18182
227;22920
14052;17345
15589;17180
12007;13601
15079;19397
4841;6544
21739;20775
23276;1775
23276;3420
5359;7106
5359;22920
1775;16232
19191;14602
250;6394
3323;17675
3323;18389
5373;10061
5373;13601
3841;3420
3841;21994
8963;14602
8963;5611
1284;14610
3847;18319
11022;16309
11022;6544
15119;15198
1808;19341
1808;23524
7439;17380
7439;5510
7439;2425
19731;9546
14610;6944
17180;18221
21790;5510
6441;16830
6441;7532
17707;4925
7987;16309
19252;12743
1332;7538
5434;9174
2879;19310
2879;14676
11072;12681
18755;20372
15690;19372
16715;6543
16715;1965
9546;16299
9546;3999
10061;19892
10061;1396
19789;12720
19789;5459
19789;17380
2389;6008
7005;9092
15198;16861
22365;14298
1373;20954
23395;21994
22885;9611
22885;7538
22885;5607
22885;9687
16232;5579
21354;16299
18795;8094
7532;6008
7033;15355
23941;8656
18823;2024
18823;991
15759;21397
5010;5028
6544;23457
21397;4586
1965;14261
9137;17842
18870;13282
23486;9159
23486;2024
19397;10217
12743;6603
8652;10217
8652;5631
8656;15358
6621;5631
