id;x;y;z
14852;532163.14;6005190.72;307.23
6149;532102.95;6005230.68;308.79
20998;532091.62;6005223.55;310.55
10249;532206.26;6005203.05;330.97
7180;532042.28;6005227.78;278.73
8717;532195.79;6005199.18;317.62
14861;532196.57;6005199.41;315.51
7695;532106.51;6005228.38;302.08
15887;532082.76;6005241.91;306.05
6161;532165.92;6005185.93;307.8
1041;532105.21;6005211.61;311.54
7190;532102.5;6005202.51;313.49
11287;532105.61;6005230.51;300.28
21529;532246.61;6005203.37;335.11
1562;532105.39;6005227.91;305.52
10266;532203.63;6005201.93;330.76
9755;532225.39;6005219.5;341.44
6685;532210.42;6005201.61;328.9
541;532224.34;6005209.98;324.27
5152;532218.16;6005211.37;318.04
15909;532215.47;6005213.19;341.29
17445;532196.42;6005204.65;339.65
1573;532081.42;6005239.38;291.86
3624;532234.86;6005229.03;357.56
22057;532056.85;6005240.56;287.66
15406;532110.52;6005217.86;304.08
18480;532090.26;6005230.97;309.51
7728;532103.75;6005215.51;315.4
54;532232.81;6005223.89;341.16
20022;532164.57;6005186.86;307.54
15928;532139.2;6005223.52;306.18
1084;532192.93;6005203.34;310.93
20541;532083.49;6005238.62;295.39
12869;532160.43;6005197.73;306.13
22086;532043.02;6005230.08;279.8
4167;532198.99;6005206.01;341.67
13896;532235.58;6005228.95;349.62
14407;532177.0;6005202.93;311.04
20554;532220.63;6005207.35;324.57
4168;532106.49;6005215.19;311.86
6731;532101.66;6005208.41;313.15
5706;532017.48;6005225.07;276.45
11342;532054.57;6005252.16;285.54
6223;532178.5;6005201.94;311.36
13904;532090.47;6005228.03;310.01
8273;532091.75;6005250.9;299.17
19024;532096.24;6005222.17;310.53
10835;532031.06;6005228.85;277.38
5206;532219.31;6005191.56;338.03
11351;532140.66;6005231.41;306.68
1113;532231.61;6005213.35;330.26
6745;532144.03;6005234.38;310.15
1630;532142.78;6005233.12;310.05
21093;532156.3;6005206.34;305.53
19557;532129.47;6005178.28;313.96
2151;532244.51;6005201.13;332.59
7795;532193.43;6005205.67;342.14
4728;532125.56;6005225.52;303.56
6776;532185.62;6005187.11;322.98
18041;532246.5;6005203.96;336.05
13441;532234.16;6005227.32;355.8
21121;532136.58;6005228.91;305.96
