id;cswidth;csheight
1132;17.85;6.43
334;7.82;11.57
292;38.68;3.91
1054;42.79;15.82
1100;16.37;16.42
1812;25.67;6.5
397;22.81;8.86
247;20.7;6.71
1969;11.07;4.15
1819;14.52;12.7
365;13.97;29.92
1406;11.04;9.96
829;16.32;13.43
123;25.24;7.52
997;20.51;9.47
1570;18.12;10.65
908;42.05;11.67
1301;21.27;7.41
359;10.86;9.7
1211;23.1;8.46
717;19.62;8.43
1137;11.31;11.42
349;14.98;13.67
503;5.84;5.84
452;13.31;9.05
517;10.64;10.62
1628;12.27;6.49
781;4.72;2.55
711;1.75;1.47
230;2.38;1.85
1497;7.75;3.0
238;4.29;5.0
1098;3.07;2.11
880;1.5;1.5
1389;5.23;1.41
1254;1.59;2.79
1230;4.57;7.43
1627;2.14;3.05
1528;0.85;1.54
1796;11.14;3.51
687;9.77;5.46
1412;6.97;4.74
1740;1.99;4.12
824;10.46;9.42
1246;10.89;16.91
1896;7.11;7.11
431;8.81;7.62
1921;7.3;26.98
1816;4.44;4.85
1918;14.52;22.65
408;4.67;4.42
1715;3.09;4.63
451;3.68;6.11
777;3.58;6.76
1043;3.36;3.36
1681;2.2;2.89
785;3.0;3.0
1997;3.94;3.29
345;2.68;2.98
1104;0.68;1.05
1045;2.32;4.69
985;0.41;1.48
1299;1.81;3.89
664;16.63;3.56
1334;8.34;5.62
1810;1.4;10.87
521;2.52;7.96
2020;2.63;6.9
1184;1.12;4.85
856;1.14;1.14
367;14.75;3.34
1609;0.32;1.06
620;5.12;0.78
522;12.33;0.79
1515;9.64;1.15
611;10.32;2.75
1729;9.4;2.25
120;31.26;2.45
1901;3.28;1.49
1231;1.36;1.36
547;11.09;2.54
1648;1.8;0.57
813;0.54;1.19
959;0.84;0.83
623;0.99;1.22
695;1.13;1.19
1772;2.76;3.47
1590;7.98;3.62
805;5.26;5.56
1948;2.35;1.03
1962;5.17;1.78
1201;1.27;0.57
1310;2.51;13.44
971;2.23;9.64
301;3.92;8.63
1326;4.44;7.35
746;1.68;7.69
1705;6.35;7.12
243;4.77;6.79
1259;8.09;11.81
600;6.45;6.27
1748;11.35;7.04
1075;11.67;7.28
1144;5.08;5.88
1583;3.33;1.87
239;1.31;0.76
1034;2.71;1.65
797;6.8;2.29
1623;2.22;1.12
2011;1.76;1.94
1450;3.09;2.02
1691;2.3;2.07
109;4.46;2.04
1961;3.52;1.14
61;2.76;1.56
951;2.87;1.33
549;3.33;1.22
1319;8.63;1.78
201;5.97;0.79
863;7.72;1.26
1866;6.05;1.28
26;3.47;1.26
1769;5.78;2.19
370;1.66;1.76
20;1.69;2.03
1125;3.77;2.29
467;14.5;2.98
216;3.69;7.06
1578;0.29;2.22
1990;4.17;5.05
727;7.73;21.52
832;11.95;11.95
90;36.51;25.86
1042;1.21;1.48
976;10.68;10.31
2052;21.33;13.21
1538;7.34;3.46
1422;4.27;6.43
2041;2.69;3.13
287;5.98;7.0
58;6.92;4.01
646;5.51;3.91
676;10.26;6.74
668;2.21;8.16
1651;1.43;1.88
1963;1.58;4.86
1221;20.31;12.86
1804;10.42;3.55
15;11.57;2.23
1003;10.17;2.13
136;3.44;8.88
1352;7.4;5.75
1993;8.1;7.73
1498;8.01;4.29
1033;4.48;7.12
882;8.75;4.85
419;3.3;2.49
1606;1.25;5.98
317;6.45;5.1
1451;4.37;5.62
1847;5.78;3.83
678;7.09;6.42
526;3.66;5.43
227;2.84;3.59
1761;5.35;2.22
366;6.01;5.17
509;9.41;6.37
277;11.31;4.46
986;10.34;5.52
1209;4.89;4.07
2031;1.69;1.83
1456;8.95;5.8
995;2.52;4.04
1370;9.67;4.79
342;6.9;4.16
449;2.11;0.89
1618;5.11;4.03
1886;9.16;4.19
631;2.17;9.18
418;5.94;3.48
1070;9.47;5.5
1966;5.01;5.21
1177;6.18;6.75
1371;3.37;2.75
1522;11.62;5.31
1424;7.17;8.21
1624;10.61;10.89
1375;6.14;4.21
111;15.0;3.11
768;16.43;3.13
1116;14.39;3.1
399;5.85;5.28
0;11.8;1.27
2036;7.87;2.82
1390;19.63;6.14
1097;7.93;32.68
1682;2.18;1.87
1317;2.89;9.57
1649;2.46;7.88
1145;3.15;5.78
1566;4.86;0.78
1162;3.59;1.18
1877;6.51;2.37
1539;7.35;2.61
262;2.73;1.62
1614;2.84;1.33
1892;2.63;1.98
1868;2.5;2.3
1861;6.19;1.66
134;5.97;1.83
62;2.43;1.37
806;3.65;1.51
1377;5.92;1.64
931;3.05;6.79
1393;2.32;0.92
1551;0.23;0.65
567;3.99;1.62
1155;3.23;1.62
285;4.97;3.29
1779;2.15;2.02
1923;6.93;2.53
351;4.4;1.66
1119;6.49;1.88
9;4.38;2.38
1166;2.09;2.31
1915;0.64;0.57
1770;5.84;4.78
405;9.57;1.48
435;3.89;0.71
1645;0.23;0.87
1851;0.38;0.72
1671;4.82;8.24
1367;3.58;7.98
1153;3.15;8.57
1194;3.91;2.31
1311;0.45;0.83
684;4.2;1.11
392;3.9;1.58
2056;1.93;2.02
544;2.35;3.93
1871;0.77;2.02
163;3.58;1.1
1213;2.05;1.48
1826;3.26;5.68
130;1.83;5.25
942;4.15;8.03
1844;0.45;3.47
723;6.26;6.26
2024;5.19;1.14
1747;1.38;3.89
1971;1.12;2.09
82;1.19;2.77
671;5.12;2.39
630;3.49;2.12
236;5.32;2.84
202;4.27;1.58
1704;6.24;2.34
199;5.22;2.76
1672;6.01;4.57
1533;8.96;4.43
565;3.53;3.96
1830;5.66;3.65
589;1.06;3.42
1208;6.51;4.43
596;2.34;1.87
1103;2.17;3.36
2003;2.59;2.59
67;1.78;1.23
1574;3.79;1.82
968;4.28;1.66
1276;5.49;2.26
826;1.37;2.02
2047;2.59;2.73
972;1.33;1.33
126;1.64;2.3
56;4.89;2.0
1475;6.4;1.74
996;4.73;1.15
1481;3.98;1.31
1433;5.05;2.79
1413;3.19;3.74
1849;1.26;1.26
1049;4.56;2.45
118;7.07;3.6
1131;1.41;1.45
1058;2.13;1.68
282;0.95;0.86
472;1.14;1.08
1577;4.86;2.27
1655;2.26;5.09
1028;12.05;2.18
752;11.68;3.25
1350;3.09;7.44
369;1.12;7.99
1120;2.78;2.68
1894;6.25;5.28
1004;4.18;4.36
654;3.45;1.99
129;4.3;0.95
1985;4.79;3.42
810;6.32;3.17
1788;3.25;1.82
952;1.99;1.99
1501;2.06;0.92
1291;7.14;2.84
1305;1.27;1.28
396;1.31;1.69
1392;9.97;12.12
1357;10.57;14.53
106;1.61;4.08
2000;8.63;3.85
132;3.0;7.08
1789;3.2;9.31
459;12.62;3.65
269;4.69;3.34
564;6.3;4.42
64;6.55;2.15
1245;8.3;1.88
1277;11.16;2.25
703;9.94;6.05
358;17.21;5.32
1718;11.78;3.62
206;3.75;4.56
403;7.67;3.57
1431;2.54;3.77
45;6.5;2.42
667;10.01;1.83
158;6.23;7.35
1836;3.03;4.57
378;3.57;1.14
79;4.85;12.42
1831;8.22;2.39
905;8.58;4.05
258;14.22;4.71
84;13.48;2.37
80;14.35;3.53
638;8.24;3.55
2053;2.62;8.81
1646;1.86;5.02
1060;0.74;5.67
932;6.38;5.61
831;5.69;3.6
149;6.3;2.26
228;2.33;4.59
152;3.35;2.09
1559;1.19;1.47
716;3.39;3.29
1292;10.07;3.97
246;2.14;7.2
335;0.71;6.03
275;1.86;5.98
444;13.43;8.78
233;3.32;12.09
597;7.82;18.51
800;13.0;10.14
868;2.35;1.03
207;2.52;1.05
1331;8.33;2.55
1129;8.46;4.7
1467;9.43;3.82
629;10.29;8.95
1683;9.19;9.38
1659;16.44;9.89
