id;cswidth;csheight
2;6.99;6.89
8199;1.5;2.06
8203;0.17;1.96
8206;0.51;6.75
21;0.32;2.02
23;0.98;9.2
30;1.62;5.62
35;13.3;5.2
37;12.73;18.46
51;1.15;2.69
69;3.01;9.38
8265;1.22;5.19
74;1.8;1.26
86;0.26;1.91
8291;3.68;1.72
112;1.36;2.42
115;0.43;1.17
8311;2.93;2.3
122;5.88;5.59
8317;0.68;2.12
8318;1.66;1.7
127;4.95;3.32
129;2.02;2.35
8325;5.07;12.94
8326;0.95;24.31
8327;0.48;6.63
8329;4.99;8.91
139;2.47;13.96
8340;3.3;6.67
150;1.25;6.79
8344;3.67;4.9
155;0.4;4.75
8352;0.76;1.59
160;0.55;1.57
172;0.62;9.04
174;0.44;4.41
8371;0.37;1.58
191;3.37;2.68
8384;2.58;14.82
192;3.0;13.49
8394;0.11;0.85
203;5.73;6.7
8402;4.42;4.87
8403;2.79;14.85
220;7.55;3.31
222;1.35;5.29
8415;0.71;5.53
226;5.17;3.6
231;3.95;4.99
235;0.2;3.77
8431;1.04;4.47
242;4.6;2.63
8438;0.34;2.85
261;0.08;2.58
8453;2.67;5.35
8476;6.32;6.32
8484;7.96;17.15
297;0.48;2.26
8493;2.66;6.22
8495;0.17;1.95
306;0.55;0.97
8499;1.06;9.68
8503;4.58;13.77
8513;3.36;6.29
327;0.7;2.39
8527;2.82;2.47
336;3.61;5.83
338;0.47;2.24
342;4.85;8.5
8534;0.38;2.3
8536;3.84;15.95
345;1.68;2.97
348;3.39;13.6
355;3.44;4.08
356;0.5;3.72
8550;14.16;1.87
364;1.34;5.67
8564;1.22;2.15
8566;0.97;10.93
8567;1.23;9.39
384;3.67;2.88
8578;1.69;7.42
387;4.71;1.99
8583;0.13;0.66
391;4.1;3.74
397;4.41;24.5
400;4.08;0.63
8592;0.09;0.54
8593;16.4;8.52
8597;2.19;1.82
8598;0.94;4.05
421;1.31;5.0
8614;2.07;12.86
8616;3.38;3.61
426;0.27;4.32
428;3.17;2.35
429;0.77;4.96
431;4.79;24.93
8625;0.38;5.13
433;6.13;6.32
8630;0.6;3.33
439;18.17;13.39
8632;4.31;2.46
8637;0.78;4.18
8641;14.08;7.95
8645;6.35;2.4
459;4.77;7.69
8652;4.51;7.78
460;0.22;1.87
8658;1.32;7.21
8675;4.36;5.72
8682;2.14;3.87
491;0.61;4.69
8685;0.15;0.76
498;1.5;3.21
8693;0.81;2.86
8696;10.8;21.9
508;2.83;2.83
8701;0.52;7.67
528;2.02;2.24
538;1.49;1.36
540;7.24;1.15
8734;7.58;6.76
8737;3.15;13.83
546;1.75;9.73
8741;1.8;6.41
559;1.03;1.21
