id;cswidth;csheight
7173;0.77;1.05
2053;3.26;0.79
8198;0.69;2.25
10252;5.42;14.6
7184;1.86;6.3
2577;1.68;1.82
4118;3.21;2.96
2074;0.89;1.94
2080;1.06;2.88
4133;2.14;2.86
1578;0.49;1.5
5185;0.75;4.92
3672;0.33;4.48
2671;1.16;1.82
5249;6.81;9.09
5253;1.71;3.37
3212;3.4;2.47
6797;12.31;4.09
8339;0.82;3.3
3223;0.79;1.75
9373;1.13;2.27
9380;1.66;3.76
9405;1.42;3.14
5309;7.59;11.05
8396;3.95;3.11
8410;7.49;2.65
7393;2.41;4.96
7425;5.24;2.0
2824;1.38;6.59
4373;0.64;1.33
7454;1.84;2.31
4903;1.83;5.0
7474;13.39;1.69
6456;0.3;1.02
6458;2.78;3.0
8002;1.44;2.46
5447;1.28;3.15
7497;1.61;5.74
7516;0.77;3.15
1380;0.62;2.13
3432;2.67;2.81
9084;6.07;15.05
2439;2.44;3.68
1426;0.8;1.48
8088;4.92;11.92
1955;2.81;1.61
4518;0.74;1.55
6568;0.35;6.35
945;6.0;2.94
9150;2.45;2.77
7110;17.1;10.06
5079;2.36;4.1
2012;0.11;1.62
989;0.85;4.33
8673;0.96;3.5
3050;2.15;2.15
3567;0.58;2.35
7671;0.87;1.88
9720;1.79;1.66
