id;x;y;z
9728;359390.53;4788750.14;1098.56
3606;359365.37;4788763.28;1055.55
8731;359337.51;4788728.84;1037.06
8225;359381.3;4788739.95;1170.41
3113;359379.45;4788749.0;1164.96
9771;359383.06;4788743.44;1166.88
1585;359330.58;4788726.71;1023.06
2100;359384.21;4788753.78;1079.01
3125;359349.56;4788741.35;1052.47
8257;359336.94;4788739.82;1043.54
7238;359383.49;4788754.99;1159.96
1610;359383.69;4788738.73;1178.74
4184;359323.88;4788726.87;986.28
3687;359366.92;4788761.09;1056.87
9838;359350.27;4788740.86;1055.03
3700;359384.24;4788719.43;1191.55
3709;359337.7;4788732.32;1040.1
5257;359326.53;4788730.29;1001.88
3211;359386.61;4788755.54;1165.1
3218;359382.84;4788720.92;1191.23
3742;359369.81;4788755.79;1057.55
2719;359386.03;4788749.85;1083.84
8351;359367.92;4788753.0;1063.68
3238;359388.0;4788706.0;1198.0
8890;359342.17;4788742.32;1050.78
700;359340.38;4788741.32;1050.33
9412;359346.03;4788742.52;1052.3
3784;359373.5;4788755.13;1073.39
7884;359381.88;4788733.64;1194.05
7887;359387.19;4788755.91;1098.67
9424;359337.85;4788731.09;1039.21
1745;359389.21;4788758.42;1098.85
7904;359369.61;4788758.91;1070.85
2272;359367.83;4788757.94;1062.56
5350;359382.18;4788719.53;1191.38
4328;359352.95;4788741.15;1056.36
3304;359328.99;4788729.26;1022.92
4330;359388.03;4788726.15;1192.26
8428;359389.21;4788758.42;1159.96
6382;359335.31;4788738.58;1040.49
8432;359356.11;4788747.19;1056.69
5362;359370.75;4788758.02;1070.69
768;359395.96;4788744.89;1096.17
6913;359390.61;4788711.6;1195.5
7426;359376.54;4788753.72;1075.08
1807;359337.53;4788742.01;1043.88
10001;359389.21;4788763.42;1098.67
10022;359391.98;4788750.76;1084.13
4904;359373.23;4788756.89;1069.38
5424;359370.8;4788756.84;1070.32
6450;359337.0;4788727.74;1031.07
307;359383.69;4788738.73;1183.74
819;359381.71;4788753.54;1077.47
4917;359380.17;4788730.99;1193.79
3381;359352.97;4788743.9;1056.5
9527;359347.32;4788742.42;1053.27
4409;359396.73;4788707.78;1198.42
1850;359390.53;4788750.14;1084.11
3899;359381.3;4788739.95;1183.74
5950;359383.49;4788754.99;1164.96
4421;359385.73;4788721.21;1191.24
4425;359356.8;4788773.95;1045.06
7498;359360.13;4788769.46;1044.93
5454;359391.28;4788747.72;1092.17
4435;359383.06;4788743.44;1170.22
5996;359384.05;4788730.12;1186.4
5484;359326.99;4788730.52;1012.11
7026;359379.45;4788749.0;1178.29
2421;359368.52;4788758.56;1058.41
5494;359352.81;4788740.06;1055.69
1407;359334.43;4788727.63;1023.06
1415;359382.38;4788742.62;1170.41
8073;359382.42;4788750.68;1083.15
3474;359367.76;4788748.64;1057.5
10132;359358.16;4788771.87;1044.63
6043;359366.12;4788762.4;1056.63
1950;359381.69;4788733.23;1184.57
4521;359384.38;4788717.46;1192.55
6066;359363.08;4788768.71;1044.63
440;359387.57;4788717.57;1192.8
1468;359359.38;4788748.84;1056.93
7109;359377.97;4788748.25;1178.35
5578;359362.88;4788748.76;1057.03
8148;359383.69;4788733.73;1183.74
3033;359326.2;4788729.26;1016.52
7644;359338.6;4788728.23;1036.91
8161;359339.44;4788740.42;1050.16
5091;359384.35;4788748.26;1166.71
7144;359389.21;4788758.42;1164.96
6634;359374.4;4788753.99;1074.25
1516;359364.49;4788746.0;1057.22
8684;359363.03;4788765.66;1052.65
9201;359338.94;4788740.06;1049.14
500;359370.86;4788759.02;1071.25
