from_id;to_id
5135;7869
5135;5929
6161;9077
6161;3699
5138;8470
5138;9599
5649;2030
5649;5344
5142;3273
5142;5782
32;696
32;1800
8229;8018
8229;7827
4648;4508
4648;6837
4145;7909
4145;4573
564;7587
564;5057
5686;5449
5686;3300
9272;3299
9272;57
57;6898
2113;4040
2113;1502
5191;2693
5212;7375
5212;7909
6765;9958
6765;5449
1135;5604
1135;1398
3699;4001
3699;2675
2675;1206
2177;5889
2693;5788
2693;4229
3729;3292
3729;3743
148;6837
148;2030
5782;9388
5788;2469
3743;10187
5283;8377
5283;9546
678;1247
678;6653
9388;6441
7852;4001
7852;5945
6834;5889
6834;3814
696;6898
8377;9213
7869;4847
3775;5889
3273;8167
7375;2435
5841;1398
5841;5049
3292;8021
1247;2469
1247;2375
5344;9958
3299;5049
3300;9213
3814;5394
236;1800
4847;10187
5394;2375
8470;6962
6441;6011
6954;5057
6954;7045
5929;2435
6962;4573
5945;5604
9546;7587
8018;9599
8021;7045
9077;6011
1425;1502
1425;4508
2469;8167
4040;6653
