id;cswidth;csheight
509;7.34;1.82
5;3.75;1.98
6;9.27;3.49
1030;17.47;22.32
521;22.26;19.38
1020;3.08;6.0
525;14.08;12.25
1040;12.51;4.56
20;16.04;5.32
1044;10.18;5.52
1049;4.38;2.76
538;17.25;4.96
539;21.3;18.48
542;19.1;8.61
30;16.08;6.45
543;21.39;1.96
1055;16.69;16.69
38;17.03;15.12
39;1.99;3.37
550;30.39;5.9
556;11.89;11.89
1079;6.86;6.15
568;6.94;6.94
58;3.76;6.98
59;3.1;2.57
61;42.04;13.45
1089;7.31;7.31
76;10.79;3.92
77;25.8;13.81
1102;18.58;5.94
81;13.99;13.99
85;0.31;2.49
86;6.36;8.34
88;4.34;5.3
1114;0.5;1.16
602;15.23;2.67
1121;24.22;15.36
98;14.41;3.39
97;1.02;0.99
1124;5.89;1.77
612;10.86;10.86
1126;3.41;2.39
615;31.06;19.59
1129;5.06;2.17
1130;12.81;1.96
614;16.17;16.17
117;31.04;13.97
118;10.9;0.56
121;41.09;4.4
635;3.12;4.41
128;23.52;20.15
1153;3.41;3.67
1154;21.39;7.47
1155;29.39;18.39
129;32.46;2.85
1158;9.82;1.82
1156;10.12;3.83
1160;24.13;13.13
1161;0.24;3.05
136;21.91;9.45
142;4.52;4.52
144;8.58;17.09
657;42.0;13.79
147;20.11;16.21
150;15.56;11.76
1177;7.35;7.35
156;1.21;1.11
1180;14.4;14.4
158;4.59;3.42
1151;5.47;5.47
157;19.41;19.41
674;11.52;11.52
675;45.87;2.48
677;4.31;1.39
166;26.22;2.82
167;21.74;5.03
679;4.7;10.57
170;3.05;1.88
171;0.57;1.44
686;0.53;1.77
175;6.74;5.94
690;9.08;9.08
181;7.53;4.48
693;7.49;5.26
1205;32.72;2.99
697;5.82;4.67
1209;2.02;5.13
186;8.2;3.35
188;12.1;12.1
1212;16.45;13.55
700;17.86;2.1
703;3.09;3.09
192;11.0;11.0
191;6.29;3.18
194;25.26;9.95
198;0.86;0.58
1223;24.64;2.92
200;11.75;5.36
203;9.43;9.43
1228;5.86;2.99
1231;12.75;12.75
720;15.27;13.65
1232;2.39;8.03
1233;9.45;10.33
1236;11.24;11.24
213;9.15;2.11
215;12.99;12.99
220;9.04;1.87
1244;21.51;5.64
734;9.09;9.09
223;5.01;5.17
736;3.29;3.34
1247;40.89;7.6
1250;46.86;4.32
227;9.72;5.86
1255;9.85;2.35
1256;5.97;3.17
1261;5.59;3.95
240;21.14;7.87
1265;21.64;6.28
1264;8.2;8.2
1266;6.31;8.98
245;0.47;2.1
246;3.82;3.82
247;11.01;11.01
251;19.13;5.65
252;3.05;3.05
1275;15.64;6.57
765;13.2;13.2
1279;1.55;1.03
767;13.18;7.78
769;1.02;0.77
772;9.1;7.75
774;14.85;7.18
1289;11.1;11.99
779;0.27;0.8
780;22.48;16.2
1294;6.13;3.33
270;3.47;5.77
789;13.68;13.68
277;6.62;3.67
792;10.0;10.0
1302;6.77;3.3
1306;1.8;0.9
1309;21.49;11.57
285;10.44;5.99
287;22.79;4.61
807;23.06;3.71
296;32.53;7.22
812;11.69;15.96
302;0.13;5.6
815;0.13;0.03
814;4.26;4.26
1331;19.46;37.12
309;18.36;3.83
310;17.08;5.78
312;12.95;10.63
1340;12.62;4.32
317;8.85;8.85
830;1.82;1.03
320;9.6;9.12
322;12.7;5.79
327;14.67;14.67
333;30.89;4.28
846;7.43;13.46
335;6.95;6.95
1357;5.11;1.39
849;13.47;19.43
1367;34.41;20.9
344;8.81;4.11
345;16.66;16.66
1370;30.84;8.0
346;8.64;8.85
1372;21.25;21.25
861;2.26;4.38
1375;4.71;3.35
868;7.74;7.74
1381;27.08;7.35
1383;4.26;27.1
361;13.53;11.19
363;15.62;5.02
364;16.69;8.83
365;3.56;3.56
368;8.05;5.23
1393;13.0;3.76
1399;18.79;7.77
377;9.47;6.0
378;8.58;2.89
1400;3.88;3.41
379;2.69;2.69
381;9.71;9.71
893;0.06;0.3
896;54.51;4.1
902;66.25;15.6
908;14.09;14.09
913;12.47;5.12
914;14.54;14.54
915;25.02;8.85
922;16.36;7.76
924;8.41;9.12
928;8.37;5.7
416;14.45;5.06
930;10.32;10.32
932;3.31;2.5
427;4.72;4.72
940;0.93;2.44
428;2.65;3.85
942;9.62;9.62
939;9.12;12.24
434;7.33;7.33
951;7.99;4.92
956;36.01;11.26
449;0.26;2.04
451;1.83;1.59
965;32.99;22.78
970;6.11;6.82
971;12.55;12.55
461;11.27;11.27
975;1.91;1.71
976;1.84;2.86
464;10.24;15.83
475;17.29;3.67
481;16.23;14.62
482;14.1;4.2
1000;15.91;20.48
493;30.09;5.24
1006;9.56;9.56
503;1.39;2.59
505;4.38;5.97
507;14.7;2.96
508;1.49;3.81
511;13.77;13.77
