from_id;to_id
1024;1384
1024;130
527;359
527;642
528;1312
528;1075
1041;280
1041;40
552;1076
552;749
553;999
553;633
40;1005
43;244
43;1312
1068;348
1068;980
1075;280
1076;1211
54;957
54;912
55;455
55;1134
1078;989
1078;957
569;1292
569;989
60;1136
60;954
573;884
573;1105
579;907
579;462
1101;180
1101;1191
1105;504
95;632
95;1385
101;748
101;265
1134;1204
1136;633
630;1376
630;359
632;840
632;766
642;732
130;901
645;1208
645;453
647;337
647;835
669;749
669;244
1191;463
1196;1277
1196;798
180;832
1204;920
1208;306
1211;738
1218;1338
1218;306
1218;1023
205;732
205;455
209;980
723;448
723;832
216;1330
216;486
738;880
741;351
742;1023
742;448
748;486
1260;351
758;311
758;402
759;1330
248;402
248;1376
1277;883
766;458
259;880
259;799
771;1005
771;351
265;883
1292;458
798;1338
799;823
820;901
820;826
311;463
823;826
835;999
840;462
337;453
348;879
351;894
1384;912
879;954
880;920
884;989
894;907
