id;x;y;z
770;272135.06;4189887.5;593.38
390;272010.86;4189894.6;585.35
1163;272190.35;4190024.96;593.0
800;272002.05;4189903.15;585.35
289;272151.41;4189892.15;590.38
290;272101.42;4189890.11;606.14
162;271968.4;4189918.18;593.34
1061;272094.41;4189891.75;608.62
426;272088.52;4189890.52;600.92
1066;272173.45;4189917.8;599.98
557;272052.53;4189888.56;585.35
176;272227.49;4189949.13;587.57
1074;272087.55;4189872.46;595.19
821;272097.86;4189903.65;619.02
567;272203.33;4189924.06;592.93
1222;272205.72;4189994.49;593.04
332;272223.58;4189967.8;585.23
206;272161.84;4189913.14;600.63
1104;272216.35;4189965.05;590.85
210;272227.44;4189928.68;585.42
595;272089.33;4189877.95;593.05
851;271949.7;4189934.8;585.35
1108;272173.25;4190076.06;593.4
92;272179.97;4190048.79;596.35
607;272042.02;4189884.98;585.35
735;272090.94;4189902.57;620.0
479;271981.45;4189915.61;585.35
236;272155.73;4189907.06;596.97
238;271990.24;4189910.3;585.35
495;272076.58;4189885.97;590.94
1268;272197.77;4190008.92;593.61
1143;272184.59;4190033.54;596.35
120;272115.31;4189886.87;602.59
