from_id;to_id
512;301
512;96
1536;91
1536;572
3;1823
3;1070
516;883
516;469
517;1123
517;326
1030;1412
1030;1616
1543;552
1543;652
1547;413
1547;1270
12;1128
12;109
13;1772
13;1425
1039;300
1039;169
530;825
530;935
1555;1579
1555;1587
1044;1600
1044;825
1046;969
1046;1303
1561;384
1561;1009
26;1074
1567;181
1567;1441
543;1069
543;682
546;1433
546;300
549;888
39;895
39;188
552;1628
41;381
41;255
554;169
554;1101
1579;1799
1069;188
1070;1187
1583;223
1583;1423
47;711
47;1457
49;1123
49;1383
49;1143
1074;1383
1587;832
1585;682
1585;853
569;1383
569;1300
58;1388
58;164
572;1772
1597;1767
1597;464
1600;1425
577;1628
577;885
1605;1375
1605;82
70;93
70;79
1096;1101
1096;72
73;969
73;1525
72;123
75;1142
75;1435
1609;868
1609;707
79;1396
1616;1467
82;785
1619;852
1619;1175
1619;146
91;1812
1628;1388
93;301
1118;853
1118;1823
1631;1359
1631;157
96;1445
1123;1317
1128;1185
1643;1187
109;1419
1142;652
1143;1761
630;862
630;1812
1660;848
1660;868
1660;818
1660;1514
1668;1525
1668;488
1670;818
140;1290
140;233
146;1802
1174;164
1175;1021
1175;440
666;166
666;491
157;1433
1185;297
1187;751
1187;964
1700;1256
1700;384
164;1263
166;1356
692;291
692;364
181;1514
1209;1423
1209;390
1219;1752
1219;716
707;710
710;711
1735;1388
1735;1415
202;716
202;1003
202;915
205;1814
205;485
205;1004
1232;1488
1234;404
1234;953
1752;852
1244;489
1244;969
223;1003
1252;1303
1252;1256
1767;751
234;751
234;1799
751;413
1263;404
1778;915
1778;1278
1781;1423
1781;899
1270;1365
765;1365
765;820
1278;1367
255;485
1802;785
1290;469
1805;1383
1805;489
1297;417
276;888
276;895
1814;1359
1303;464
790;341
790;989
283;365
283;883
796;820
796;1010
1309;1367
1309;950
291;935
1317;940
293;348
293;946
297;885
301;953
832;326
1354;494
1354;330
330;381
1356;352
1358;1441
1358;414
848;1001
848;365
341;1013
348;1397
862;491
1375;950
352;486
1383;1488
364;1454
1397;465
1397;1395
1395;1492
888;1415
899;940
1412;414
1419;494
404;1023
417;1010
1454;996
1462;1492
1467;465
989;486
996;1001
1004;1013
