from_id;to_id
1;307
1;62
3;168
3;318
4;20
4;305
5;284
5;282
5;356
12;252
12;92
13;174
13;197
15;273
15;152
17;369
17;293
18;40
18;358
20;64
21;348
22;367
28;222
28;140
34;279
34;35
35;260
40;370
42;91
42;272
44;161
44;224
46;287
46;53
47;139
53;105
55;292
55;138
62;177
64;165
66;200
66;172
67;341
67;205
68;176
68;131
78;280
78;292
80;92
80;261
82;234
82;201
91;312
94;382
94;301
100;351
100;234
101;127
101;122
102;210
102;369
103;291
103;244
105;163
117;157
117;327
122;354
124;356
124;184
127;205
131;279
132;138
133;281
133;208
138;275
139;256
140;242
142;181
142;247
144;327
148;172
148;218
152;287
154;321
154;180
154;382
154;367
156;346
156;341
157;162
161;260
162;187
163;249
165;358
167;299
167;306
168;293
171;249
171;330
174;310
176;293
177;336
180;301
181;348
184;265
185;250
185;346
187;247
189;229
189;291
197;274
200;301
201;273
203;288
203;257
207;218
207;338
208;351
210;238
220;274
220;238
222;244
224;312
224;264
229;257
230;282
242;284
250;261
252;305
256;338
256;310
264;288
265;281
272;299
276;294
276;348
280;306
294;354
307;330
336;370
