from_id;to_id
938;4037
938;2143
4037;3866
3866;1448
1448;2297
2297;4219
4219;20
20;1082
1082;4155
4155;2913
2913;4121
4121;1081
1081;3573
3573;2677
2677;900
900;3506
900;943
3506;384
384;1115
384;719
1115;2311
2311;410
410;167
167;2674
2674;4084
2674;2132
4084;2079
2079;3209
3209;2764
2764;1750
1750;3167
3167;4220
4220;1995
1995;608
608;2896
608;2435
2896;895
895;1753
895;2366
1753;3259
3259;2592
2592;876
876;3295
3295;1343
1343;1421
1343;2719
1421;2398
2398;3589
3589;1271
1271;3003
3003;146
146;2964
2964;2517
2517;2294
2294;128
128;1252
1252;1175
1175;3905
3905;1270
1270;2255
2255;2298
2298;1532
1532;342
342;3519
3519;1372
1372;46
46;3086
3086;1480
1480;1439
1439;13
13;3726
3726;3711
3711;195
195;1849
1849;3784
3784;3735
3735;3839
3839;889
889;3942
3942;98
98;1632
1632;1030
1030;670
670;1577
1577;703
703;1450
1450;1318
1318;3035
3035;2373
2373;3114
3114;2069
2069;3941
3941;142
142;429
429;2900
2900;596
596;2191
2191;932
932;2110
932;490
2110;693
693;1591
1591;2386
2386;4036
2386;1341
4036;724
1341;2586
724;3876
3876;2486
2486;3131
3131;4233
4233;460
460;2883
460;2734
2883;3734
2734;4192
3734;3161
3161;1949
1949;3441
3441;2440
2440;4045
4045;1843
1843;365
365;1826
1826;587
587;2045
587;2369
2045;1441
1441;1970
1970;52
52;2243
2243;3932
3932;3935
3935;419
419;165
165;303
303;1636
1636;3620
3620;571
571;4004
571;1924
4004;1803
4004;1057
1924;1566
1803;207
1057;3919
207;1766
1766;212
212;2531
212;2995
2531;811
2995;2369
811;3238
3238;122
3919;1740
1740;881
1740;2430
881;1511
881;3756
2430;2030
1511;3212
3756;1
3212;3829
3829;2971
2971;3268
3268;351
351;1549
2030;988
1566;1870
1870;4157
4157;0
0;2445
2445;4227
4227;1987
1987;1676
1676;1668
4192;1324
4192;3523
1324;735
3523;717
735;454
717;2717
2717;82
82;1546
1546;1018
2586;2998
2586;2224
2998;856
856;2604
2604;3770
3770;1839
1839;691
691;478
478;2529
2529;1436
1436;3969
3969;1700
1700;1963
1963;3085
3085;4255
4255;1251
1251;547
547;1909
1909;3350
3350;1678
1678;2215
2215;1673
1673;613
613;2
2;877
877;3710
3710;3276
3276;1677
1677;1247
1247;1523
1523;3241
3241;3791
3791;3682
3682;861
861;3947
3947;2062
2062;2461
2461;1172
1172;701
701;3378
3378;3126
3126;346
346;2391
2391;2096
2096;4195
4195;2682
2682;3836
3836;591
591;2642
2642;1292
1292;3289
3289;274
274;3411
3411;352
352;867
867;3060
3060;3364
3364;3563
3563;4047
4047;1693
1693;1720
1720;1630
1630;1595
1595;2802
2802;845
845;104
104;1701
1701;4215
4215;445
445;1821
1821;3430
3430;1398
1398;2121
2121;2628
2628;3125
3125;2858
2858;1624
1624;3280
3280;2643
2643;555
555;2105
2105;924
2105;3915
924;377
3915;2662
2662;468
468;3155
3155;4115
4115;783
783;3541
3541;2324
2324;2428
2428;451
451;3889
3889;694
694;1940
1940;2876
2876;2902
2902;625
625;4159
4159;2965
2965;2539
2965;777
2539;1739
2539;489
777;64
1739;1425
489;2012
1425;140
140;3242
3242;2187
2187;2051
2051;3881
3881;1927
2012;3267
3267;3349
3349;1090
1090;860
860;214
214;1501
1501;172
172;1884
1884;4092
4092;2036
2036;2899
2899;3331
3331;264
264;270
270;227
227;312
312;1047
312;3127
1047;321
3127;695
321;280
280;1781
1781;3220
3220;2100
2100;3505
3505;2849
2849;1744
1744;3776
695;386
386;2973
2973;4028
4028;1655
1655;1361
1361;661
661;3714
3714;3079
3079;1751
1751;921
921;776
776;739
739;2409
2409;671
671;899
899;3319
3319;4038
4038;3118
3118;3721
3721;470
470;2785
2785;2855
2855;1362
1362;3765
3765;993
993;3071
3071;1793
1793;2602
2602;1888
2602;3321
1888;945
3321;2996
945;2641
2641;2397
2397;2295
2295;2027
2295;1218
2027;961
1218;506
961;2635
2635;1351
1351;4058
4058;1050
1050;41
41;2070
2070;842
842;88
842;3521
3521;3766
3766;3181
506;2376
2376;1112
1112;3009
3009;2975
2975;3058
3058;2751
2751;557
557;2325
2325;1731
1731;833
833;3613
3613;3099
3099;1151
1151;3429
3429;3510
3510;1505
1505;2868
2868;1011
