id;cswidth;csheight
4037;4.6;3.66
3866;4.25;8.55
1448;13.47;11.88
2297;12.08;7.64
4219;4.0;4.08
20;2.31;1.07
1082;3.41;4.12
4155;6.16;5.81
2913;13.2;5.98
4121;9.23;12.06
1081;7.12;3.15
3573;5.22;4.6
2677;4.11;1.73
900;3.13;3.13
3506;4.14;7.64
384;2.35;2.35
1115;4.83;4.0
410;8.88;2.33
167;6.17;1.29
2674;4.12;4.12
4084;4.29;6.57
2079;1.9;3.07
3209;2.77;3.55
2764;0.45;0.73
1750;1.67;2.71
3167;1.39;1.31
4220;0.47;0.74
1995;5.91;1.89
608;2.61;2.61
2896;5.48;6.62
895;3.51;3.51
1753;2.56;0.51
3259;1.54;1.27
2592;2.37;1.62
876;1.02;0.78
3295;2.06;1.75
1343;6.42;6.42
1421;3.07;2.11
2398;2.25;2.98
3589;4.45;3.06
1271;3.86;2.61
146;5.42;5.76
2964;2.68;11.71
2517;9.86;20.09
2294;6.61;10.03
128;8.46;5.06
1252;1.61;2.89
1175;2.23;0.48
3905;5.14;2.63
1270;3.66;1.22
2255;2.93;2.21
2298;2.05;0.66
1532;1.13;1.05
342;2.06;1.85
1372;0.25;0.82
46;0.05;0.38
3086;0.25;0.59
1480;0.91;0.89
1439;0.49;0.36
13;1.59;1.49
3726;1.61;0.6
3711;1.84;1.0
195;2.09;1.74
1849;1.77;2.03
3784;1.61;1.85
3735;0.41;1.18
3839;1.89;0.27
889;5.09;7.68
3942;4.28;1.46
1632;1.93;1.27
1030;2.38;1.4
670;1.78;1.63
1577;1.87;0.62
703;2.45;1.5
1450;2.33;1.35
1318;5.09;13.71
3035;3.39;3.06
3114;2.19;2.54
2069;2.28;2.84
3941;1.88;1.89
142;2.31;2.08
429;3.36;2.05
2900;1.77;1.12
596;3.4;2.21
2191;3.86;2.53
932;3.35;3.35
2110;3.52;1.69
693;0.41;0.6
1591;2.49;2.79
2386;3.83;3.83
1341;3.19;3.41
2586;1.57;1.57
2998;4.94;19.47
856;3.45;0.21
2604;0.77;4.28
1839;1.06;3.95
691;1.93;1.91
478;2.31;12.1
2529;0.94;3.76
1436;0.72;0.05
3969;1.45;2.66
1700;0.65;0.81
1963;0.62;0.57
3085;0.72;2.66
4255;1.91;1.51
547;2.67;3.07
1909;1.44;4.04
3350;1.31;4.87
1678;2.23;2.69
2215;1.47;1.29
1673;0.91;1.55
613;0.42;0.74
2;1.37;2.77
877;2.3;3.13
3710;2.98;0.34
3276;1.7;0.07
1677;7.07;13.74
1247;1.93;4.08
1523;4.67;0.39
3241;2.95;1.82
