id;x;y;z
2055;703306.47;4989570.07;1404.07
3080;703305.43;4989571.38;1394.38
521;703217.73;4989605.44;1385.06
1034;703218.98;4989483.77;1500.14
3595;703276.51;4989567.51;1407.68
3596;703214.83;4989605.7;1383.81
1037;703305.47;4989570.06;1396.67
1032;703301.88;4989571.8;1390.37
1039;703276.41;4989591.98;1364.77
2065;703211.16;4989474.04;1563.52
3090;703273.46;4989597.56;1363.48
4116;703222.01;4989505.5;1482.62
1045;703228.09;4989480.19;1529.65
1558;703205.75;4989620.75;1362.42
1559;703303.78;4989568.6;1394.81
543;703211.29;4989606.12;1381.63
4130;703234.33;4989535.65;1433.53
3107;703237.79;4989554.33;1424.0
1572;703252.09;4989570.26;1414.76
3108;703300.02;4989569.54;1404.8
2598;703303.65;4989574.56;1386.71
2087;703273.81;4989566.06;1409.06
2090;703232.8;4989480.85;1537.54
2094;703223.94;4989586.66;1395.63
3119;703204.86;4989621.9;1362.35
2098;703236.93;4989553.21;1416.69
3123;703205.86;4989632.61;1303.21
2102;703278.3;4989583.54;1370.56
1089;703232.0;4989572.73;1409.25
66;703237.58;4989552.47;1416.51
2115;703224.85;4989592.22;1395.61
3140;703223.09;4989504.21;1482.97
1093;703287.81;4989568.37;1406.09
1601;703275.59;4989611.73;1360.01
3144;703233.07;4989550.45;1427.29
3657;703229.89;4989526.36;1455.68
4172;703218.0;4989471.0;1568.0
2125;703249.35;4989564.97;1417.69
1107;703226.92;4989499.0;1489.43
2133;703278.61;4989567.35;1407.68
3671;703204.37;4989637.93;1314.42
4185;703224.81;4989477.73;1516.36
1114;703295.49;4989576.59;1381.65
2139;703206.25;4989613.8;1364.84
606;703296.09;4989567.59;1405.64
1631;703306.2;4989573.04;1393.61
3681;703237.8;4989543.51;1420.18
3170;703237.18;4989554.57;1416.01
2147;703205.37;4989623.77;1355.73
3686;703208.36;4989628.39;1342.7
2667;703233.4;4989545.67;1433.71
623;703238.88;4989563.86;1412.21
2673;703227.24;4989497.3;1489.43
1137;703288.15;4989577.26;1377.06
1653;703227.16;4989513.32;1468.95
3703;703284.77;4989577.49;1375.28
119;703229.61;4989577.24;1396.98
121;703218.02;4989469.99;1567.57
1145;703220.29;4989514.19;1479.31
1150;703237.2;4989551.96;1429.48
4223;703291.79;4989576.66;1379.37
1663;703297.07;4989576.33;1382.24
4225;703235.68;4989480.6;1540.34
3716;703244.23;4989557.98;1420.26
1671;703233.9;4989547.08;1430.0
2697;703227.82;4989500.76;1488.43
3210;703304.1;4989572.23;1389.55
650;703207.26;4989609.64;1370.51
652;703231.09;4989482.35;1535.35
4237;703277.13;4989588.91;1365.99
2197;703222.9;4989591.07;1395.33
3223;703306.47;4989570.07;1396.67
4248;703226.22;4989596.58;1391.49
4247;703273.44;4989587.51;1366.61
3227;703204.86;4989621.9;1355.66
1694;703209.16;4989619.27;1363.09
159;703285.82;4989573.81;1375.85
3233;703227.42;4989583.3;1396.0
3746;703225.17;4989475.54;1544.72
3237;703229.79;4989594.22;1392.98
677;703216.3;4989605.01;1384.43
168;703266.13;4989567.55;1410.25
1706;703213.32;4989604.75;1383.22
180;703284.43;4989575.41;1375.28
3254;703208.82;4989617.22;1363.24
3257;703228.67;4989480.6;1528.94
1721;703223.6;4989597.53;1389.97
1211;703207.41;4989613.57;1366.25
188;703219.41;4989508.21;1480.52
2750;703204.64;4989607.84;1372.48
2754;703231.84;4989575.87;1407.18
3778;703226.74;4989584.68;1395.73
2250;703211.89;4989466.15;1563.52
3275;703237.79;4989553.31;1416.01
204;703223.84;4989473.57;1544.72
3790;703236.39;4989548.54;1417.58
3279;703223.24;4989506.44;1482.12
3282;703255.12;4989571.04;1413.88
216;703227.67;4989581.23;1396.2
1241;703249.61;4989566.62;1415.7
222;703230.95;4989479.09;1543.01
3294;703243.66;4989560.98;1419.72
1249;703221.61;4989487.13;1498.28
3809;703207.0;4989628.73;1343.07
226;703208.38;4989632.3;1296.95
740;703299.52;4989575.24;1383.79
2791;703272.1;4989613.69;1360.01
3816;703223.87;4989588.79;1395.63
2281;703235.15;4989543.4;1430.9
3306;703281.66;4989582.11;1372.22
3307;703239.02;4989555.78;1415.8
1259;703236.53;4989570.74;1410.36
2285;703202.75;4989637.53;1312.57
3313;703223.93;4989493.86;1490.74
241;703227.35;4989596.35;1391.59
755;703216.07;4989472.82;1544.72
1777;703272.44;4989585.92;1367.02
1269;703228.82;4989522.41;1457.34
1782;703237.73;4989545.37;1419.19
2806;703292.53;4989568.16;1406.09
760;703219.22;4989600.28;1387.65
1785;703209.46;4989633.61;1316.9
1786;703222.16;4989514.22;1479.05
3834;703233.99;4989571.96;1410.11
1279;703226.68;4989595.43;1394.33
2290;703204.22;4989635.18;1309.6
771;703222.04;4989599.82;1388.47
1285;703224.43;4989504.63;1483.07
1289;703228.09;4989582.17;1396.11
3337;703217.38;4989603.64;1385.88
3339;703231.17;4989576.98;1406.43
3852;703227.6;4989595.5;1392.11
1807;703237.99;4989557.73;1415.8
3855;703209.46;4989633.61;1320.05
1301;703238.92;4989551.36;1425.48
1813;703273.45;4989586.52;1366.79
3352;703210.78;4989469.05;1563.52
3353;703220.6;4989512.55;1479.49
3864;703241.69;4989537.73;1426.53
3354;703277.06;4989593.84;1365.12
2332;703226.69;4989494.91;1490.74
1823;703253.47;4989571.96;1414.57
1825;703206.52;4989630.22;1330.37
290;703225.76;4989592.43;1395.72
3874;703205.47;4989621.95;1362.25
2338;703283.45;4989583.18;1373.29
3361;703275.15;4989598.57;1363.14
291;703277.82;4989605.61;1361.31
2345;703238.95;4989549.03;1417.35
302;703213.12;4989470.45;1549.43
817;703295.03;4989568.19;1406.09
1845;703305.95;4989569.12;1404.26
310;703243.84;4989555.52;1420.47
2870;703269.2;4989565.29;1410.04
3389;703206.87;4989634.85;1307.11
3390;703288.77;4989576.21;1376.62
2884;703219.22;4989602.48;1386.8
1350;703230.82;4989575.04;1408.2
839;703287.46;4989575.23;1376.23
3400;703246.73;4989564.7;1418.65
3401;703303.07;4989569.58;1404.26
3402;703209.2;4989605.98;1381.63
3912;703210.11;4989626.36;1346.91
2380;703299.72;4989570.05;1404.91
3917;703206.79;4989635.5;1316.9
3914;703279.02;4989599.32;1362.44
3922;703207.0;4989628.73;1334.1
1365;703234.76;4989480.19;1542.51
1369;703284.65;4989581.04;1374.16
2394;703225.72;4989477.66;1516.76
3418;703210.11;4989626.36;1342.79
2396;703288.21;4989574.96;1376.3
858;703208.37;4989632.37;1320.62
864;703232.31;4989480.89;1542.74
2916;703213.82;4989468.16;1563.81
3428;703229.61;4989577.24;1405.58
1896;703206.58;4989632.78;1322.46
363;703280.11;4989567.38;1407.81
1390;703274.54;4989568.19;1408.65
3955;703285.08;4989582.26;1374.0
1397;703227.5;4989475.98;1544.51
2936;703245.6;4989561.35;1419.37
3963;703282.66;4989567.87;1406.31
1916;703219.19;4989485.03;1499.91
2429;703213.12;4989470.45;1544.43
3972;703213.24;4989465.3;1563.59
2437;703258.92;4989570.77;1411.19
2439;703219.73;4989512.27;1479.57
3465;703230.97;4989532.42;1438.77
2444;703208.79;4989620.47;1362.69
2958;703225.46;4989585.8;1395.73
3983;703257.05;4989571.42;1413.17
3984;703238.78;4989536.75;1429.55
913;703236.49;4989544.62;1419.31
1938;703276.99;4989583.87;1370.19
916;703221.58;4989480.35;1509.17
2967;703237.26;4989566.35;1410.57
3992;703230.15;4989479.0;1543.06
