id;x;y;z
0;704223.72;5010219.08;1254.71
6;704630.24;5010529.2;1374.31
7;705972.12;5008519.7;629.49
8;705328.98;5007232.68;783.99
14;706231.27;5008759.5;585.62
16;706060.93;5008502.37;619.73
21;706095.94;5008403.2;548.27
28;705683.22;5007945.55;630.99
42;706026.59;5008339.06;422.74
45;705869.33;5008130.11;562.0
46;706146.66;5008451.47;554.75
48;704719.46;5010884.66;1255.07
49;705751.76;5008970.75;745.07
52;705671.44;5007882.6;699.99
54;704439.64;5010337.94;1219.38
57;706631.98;5009300.95;441.57
61;706044.15;5008458.03;542.87
63;705870.95;5008838.92;720.01
68;706262.94;5008487.14;423.13
70;704701.73;5010464.05;1317.66
72;706537.98;5008586.54;350.25
74;704602.55;5010812.24;1261.2
77;705984.22;5008470.38;543.15
80;704197.72;5010417.75;1252.14
84;706076.3;5008513.74;621.77
86;706032.23;5008501.84;596.11
89;704171.11;5010859.88;1252.39
91;705590.59;5009146.71;828.82
97;705310.44;5007060.18;808.85
102;705677.06;5007938.11;632.49
109;706012.81;5008492.38;532.31
111;705911.52;5008581.38;648.42
113;706785.33;5008690.7;328.46
115;704160.78;5010476.48;1243.52
117;705972.36;5008472.91;548.85
118;705963.53;5008507.22;557.39
121;704506.86;5010873.7;1450.0
124;704664.39;5010721.76;1287.06
126;705892.7;5008316.31;497.0
128;703937.28;5009954.73;1286.21
129;706072.7;5008448.88;564.35
131;705958.16;5008525.64;558.35
132;706512.96;5009007.3;470.97
133;706010.24;5008479.86;547.88
134;705680.86;5007941.31;631.49
135;704191.71;5010402.5;1302.4
136;706249.28;5008668.3;604.78
138;705908.64;5008291.03;497.0
142;704638.46;5010818.28;1241.9
143;706777.68;5008714.19;320.86
144;705846.09;5008095.32;576.0
151;706339.07;5008731.06;577.99
158;704372.48;5010421.29;1264.23
159;705019.19;5010254.88;1171.44
172;705747.27;5008023.13;609.99
173;705946.35;5008509.8;547.13
175;705619.97;5007915.76;753.99
182;705672.36;5009131.76;822.3
185;704395.69;5010370.36;1271.05
187;705859.79;5007976.9;529.0
188;704712.98;5010461.05;1316.62
195;705988.5;5008538.24;588.8
203;706204.33;5008542.39;589.73
205;706063.38;5008456.57;540.51
207;706544.69;5009102.96;457.63
213;705963.28;5008234.62;491.0
215;706085.49;5008485.25;604.89
217;705624.97;5007957.92;750.99
218;706069.44;5008452.88;551.68
219;704100.13;5010676.98;1239.75
222;706092.45;5008610.57;622.97
226;706003.4;5008497.0;543.37
230;706256.49;5008708.38;622.47
232;705623.98;5007893.27;727.99
234;706123.39;5008775.57;605.3
235;705795.45;5008063.15;593.0
243;706061.84;5008588.74;628.14
245;705735.46;5008937.44;843.04
249;706021.92;5008968.15;727.87
257;705730.89;5008263.98;435.8
262;705801.44;5008882.81;779.06
264;704702.9;5010627.86;1220.37
269;705763.67;5008019.64;601.99
270;705768.01;5008868.1;787.92
271;704364.51;5010536.32;1272.67
273;705919.73;5008580.58;647.63
282;705978.54;5008059.66;474.5
288;704363.0;5010553.42;1273.3
292;706254.75;5008668.13;606.17
294;704612.39;5010868.75;1249.9
297;706028.21;5008867.33;695.39
299;705208.1;5006998.52;830.39
302;706017.64;5008511.08;592.33
304;705843.06;5008941.32;788.9
311;705991.51;5008384.81;498.0
314;706107.87;5008399.18;540.45
316;705617.31;5007900.39;732.99
318;705891.61;5008317.21;495.01
320;704373.1;5010416.7;1264.65
330;706012.57;5008516.01;585.97
331;705526.88;5007758.13;774.99
335;705876.07;5008689.42;646.19
339;705814.18;5008074.36;586.0
354;704648.32;5010953.17;1317.51
355;706006.56;5008087.58;467.0
357;706098.14;5008751.66;622.85
