from_id;to_id
4097;577
4097;1254
4099;4970
4099;2909
2051;4986
2051;4923
4100;755
4100;153
4101;2931
4101;519
4105;2778
4105;736
2059;778
2059;1217
2060;1577
2060;315
15;169
15;2744
2065;1569
2065;2226
18;1786
18;2659
20;2033
20;1765
2069;3103
2069;2240
4117;4598
4117;4552
2071;1169
2071;209
4118;725
4118;625
4122;1099
4122;2528
27;4389
27;3457
26;1438
26;428
29;2715
31;2807
31;1655
4128;3666
4128;622
32;4648
32;3712
4129;3588
4129;2527
4131;1466
4131;2507
4132;1951
4132;1942
2085;2848
2085;2164
38;3543
38;1585
4135;4868
4135;1911
4136;634
4136;3629
2082;2744
2082;2373
2090;4789
2090;2348
2091;3699
2091;3976
2092;4213
2092;3444
4141;3196
4141;1537
44;3601
44;3235
44;1951
2097;1729
2097;1532
4147;2844
4147;4427
2100;4934
4149;4561
2101;1310
2101;396
2101;969
2102;1279
2102;4413
56;609
56;4801
58;4424
58;767
2107;851
2107;4986
4155;228
4155;2672
2108;855
2108;1310
4159;1672
4159;4955
4160;1316
4160;2338
2113;2574
2113;3542
64;464
64;1422
2115;3268
2115;2554
2118;3385
2118;4956
2119;4690
2119;842
4168;2870
4168;4002
2120;2159
2120;4435
75;290
75;801
4171;2366
4171;1794
4173;4630
4173;1644
4174;2461
4174;561
2126;2038
2126;3445
4176;596
4176;1953
81;4552
81;4198
4178;1500
4178;4510
2131;2787
2131;1009
2129;3019
2129;4584
2128;1252
2128;1492
4182;1521
4182;1493
4183;905
4183;3148
87;4841
87;3424
4088;3890
4088;1450
2138;508
2138;1836
2139;4002
2139;1280
95;849
95;1930
96;1925
96;3154
2149;4495
2149;186
4198;949
103;4726
103;1444
2152;2625
2152;2157
105;2851
105;1929
2154;2172
2154;1123
2155;1081
2155;2298
107;317
107;395
2157;1500
4203;1618
4203;2447
2159;1582
110;3795
110;4768
112;1530
112;3019
116;2718
116;747
4213;4091
2164;4527
119;852
119;2906
120;2507
120;1045
4217;4662
122;854
122;943
4219;2662
4219;3182
2172;723
4221;2716
4221;4545
4222;1005
4222;500
127;3417
127;4981
2177;762
2177;2462
4233;2249
4233;2703
137;1559
137;1279
2188;1564
2188;4508
4238;1719
4238;1649
146;4684
146;1786
2196;3066
2196;162
150;3072
150;1611
2202;3999
2202;3414
155;1360
155;1183
4251;3243
4251;2482
154;906
154;576
4252;3980
4252;4666
4257;1055
4257;370
162;4041
163;4477
163;855
4262;1248
4262;3082
4265;2256
4265;3605
169;2333
171;3182
171;807
2220;1836
2220;2038
2217;4480
2217;3651
178;801
178;2974
4275;943
4275;4949
180;4508
180;4380
4276;3071
4276;1161
4278;4537
4278;3344
4279;2044
4279;4402
2226;2366
2233;1606
2233;524
36;1876
36;3321
4283;4923
4283;1673
2236;626
2236;4895
2235;3756
2235;1835
