id;x;y;z
404;460.0;4790.0;100.0
427;457.84;4789.73;100.06
332;453.95;4789.18;100.5
292;450.73;4791.06;99.88
528;448.74;4788.7;98.47
661;448.89;4787.25;99.64
1004;444.77;4785.54;100.33
660;436.18;4788.81;100.84
373;437.14;4785.51;100.92
143;438.91;4784.58;100.74
469;433.96;4795.24;99.73
205;435.88;4781.87;100.95
307;438.55;4780.53;101.19
794;440.07;4780.25;102.22
40;443.53;4779.32;102.09
1007;444.96;4779.6;101.37
658;446.44;4777.16;102.26
763;447.72;4776.26;102.21
62;429.46;4789.93;98.95
182;436.43;4799.73;98.25
485;428.8;4789.68;97.75
79;429.35;4782.66;94.85
529;422.67;4793.68;99.88
76;419.87;4794.02;99.02
506;417.86;4796.81;98.22
455;427.73;4779.63;95.37
285;424.87;4775.74;96.35
190;424.58;4774.12;96.31
272;427.94;4771.3;96.46
379;427.41;4770.1;94.77
204;427.37;4767.78;94.25
514;427.89;4767.48;93.27
119;428.43;4768.57;92.79
699;426.67;4769.01;92.29
221;424.63;4768.17;92.66
1030;422.25;4769.3;92.55
86;421.14;4768.24;92.64
1023;418.84;4766.9;92.82
22;413.31;4765.05;93.35
667;412.44;4766.67;93.66
570;412.44;4766.67;93.56
864;406.64;4767.15;93.19
875;402.17;4767.33;92.84
726;397.79;4771.25;91.74
498;397.31;4772.84;92.05
955;394.12;4774.63;91.95
50;390.69;4769.51;92.43
371;388.53;4773.18;91.54
999;388.2;4776.78;90.84
983;384.22;4777.82;89.74
458;378.2;4780.06;89.36
768;372.22;4785.18;89.08
1;371.56;4787.55;88.75
795;364.73;4791.62;88.26
64;360.88;4791.37;88.1
329;360.91;4788.37;89.01
1045;355.12;4789.7;88.56
160;351.48;4788.08;89.12
664;348.02;4789.85;88.91
263;347.08;4790.52;88.75
411;340.24;4793.88;88.73
548;338.03;4793.31;88.82
361;332.37;4793.16;88.91
729;330.48;4792.63;89.36
878;325.01;4795.65;88.18
269;323.05;4797.38;87.59
593;318.43;4799.75;86.59
317;311.52;4802.47;86.48
532;310.67;4801.42;87.37
990;308.54;4804.63;88.07
310;304.84;4807.02;87.71
879;299.91;4805.33;87.99
677;297.72;4807.82;87.9
492;296.02;4810.49;87.4
808;292.31;4808.67;87.98
186;291.42;4808.92;88.73
918;291.42;4808.92;85.52
565;292.1;4809.22;84.85
48;290.55;4810.44;83.86
942;288.25;4812.6;82.53
911;284.31;4813.35;81.99
268;281.47;4816.08;81.97
721;281.39;4818.07;82.01
124;278.48;4819.74;79.95
829;437.23;4800.16;96.23
748;438.39;4800.0;94.87
313;438.32;4800.91;94.28
556;438.27;4803.52;93.94
905;434.61;4806.28;92.87
97;434.71;4808.06;90.95
39;432.69;4813.21;92.12
7;432.45;4819.09;90.28
450;429.09;4822.49;88.81
956;432.19;4825.85;90.99
954;418.19;4833.99;91.7
531;434.53;4827.63;92.44
731;413.77;4837.0;87.76
738;408.33;4840.35;86.57
456;404.18;4840.67;86.44
418;399.92;4841.62;86.63
614;398.88;4842.26;87.2
904;398.26;4841.67;87.16
703;397.36;4841.59;87.22
159;394.67;4844.18;87.32
164;391.47;4843.35;89.72
513;387.28;4843.88;92.3
524;436.49;4827.96;91.41
125;440.87;4827.85;91.42
248;442.0;4826.75;92.97
348;443.19;4821.14;94.14
321;441.29;4829.15;94.33
295;437.18;4836.21;95.71
652;437.72;4840.9;94.57
163;428.21;4846.26;91.95
3;422.31;4850.59;91.0
501;419.18;4850.26;90.53
762;412.28;4850.48;89.56
1019;410.18;4855.64;91.04
919;409.4;4859.78;90.65
511;406.32;4862.02;90.31
30;405.18;4863.33;90.37
754;277.14;4818.53;79.72
585;273.39;4833.01;79.83
873;276.81;4851.17;97.18
805;276.81;4851.17;96.88
428;278.9;4853.66;105.84
806;287.61;4848.53;109.66
941;289.94;4833.34;111.9
579;288.29;4824.6;115.98
733;289.12;4811.72;118.65
851;274.91;4810.14;121.28
833;295.14;4803.74;120.5
502;263.33;4816.32;121.69
633;271.47;4802.6;122.75
623;248.43;4824.98;120.45
834;238.57;4832.68;121.39
742;237.58;4839.89;122.55
63;238.49;4846.24;125.63
367;254.78;4875.78;111.87
987;265.06;4865.85;112.49
589;245.99;4883.17;108.23
21;242.2;4889.22;104.93
624;237.12;4886.52;109.0
177;221.54;4886.05;106.62
81;216.24;4883.35;104.01
477;197.91;4873.64;98.92
437;212.54;4874.04;98.18
174;191.42;4870.31;101.85
262;173.24;4858.58;105.74
813;162.84;4860.34;106.44
70;154.42;4870.26;101.76
448;166.01;4884.95;90.52
165;156.27;4869.03;100.91
311;319.2;4794.66;124.62
541;328.9;4786.86;128.1
505;268.46;4795.76;122.32
551;276.66;4782.9;102.01
1037;162.81;4889.93;85.63
449;162.96;4890.04;80.38
6;144.2;4900.86;78.49
520;212.54;4874.04;97.68
352;221.55;4862.22;99.29
179;239.29;4859.04;101.06
785;245.54;4856.61;101.09
645;251.76;4849.68;102.74
811;247.5;4860.09;101.39
416;253.25;4845.63;103.39
515;261.86;4845.5;102.85
546;265.45;4851.25;102.94
606;238.97;4846.65;123.7
26;287.19;4849.93;108.05
780;266.7;4881.17;126.34
353;251.52;4858.54;102.01
322;254.77;4857.74;103.94
233;254.8;4849.23;107.57
218;262.27;4845.14;102.64
236;152.32;4884.72;97.14
71;149.66;4890.48;96.82
225;146.53;4892.1;95.68
692;147.54;4896.17;94.49
10;149.57;4901.75;88.41
786;143.92;4907.95;93.38
518;141.73;4907.71;92.61
120;142.41;4907.4;103.08
357;140.64;4908.3;104.27
580;130.36;4910.07;103.08
1001;123.42;4912.05;100.79
693;121.5;4914.43;103.77
586;121.48;4912.63;104.78
863;120.36;4911.25;107.55
931;114.3;4913.16;105.67
791;113.15;4915.22;106.06
318;110.86;4917.42;105.66
4;110.36;4917.47;104.22
17;393.96;4869.6;82.97
814;397.69;4876.49;82.95
872;388.29;4868.08;81.78
