id;x;y;z
352;443.0;515.0;0.0
217;442.33;516.74;-0.72
5;439.1;519.56;0.27
441;435.73;512.89;-0.71
44;429.25;513.65;0.87
342;431.1;510.56;0.87
445;423.4;504.54;2.42
1;419.54;504.28;2.93
320;414.65;502.2;3.92
269;410.7;505.53;5.11
123;398.63;497.39;9.14
32;398.64;517.39;9.14
46;395.63;511.97;9.25
265;388.83;508.51;10.26
326;384.72;514.17;10.44
377;380.23;519.93;10.7
337;378.15;507.52;15.03
294;380.11;495.09;15.47
169;377.26;486.81;16.39
102;378.03;481.88;17.45
335;372.73;489.11;16.93
108;378.59;486.45;20.85
268;371.96;476.61;18.43
423;368.05;472.12;19.11
406;362.53;452.9;19.46
43;364.84;448.73;22.0
12;359.58;432.57;22.59
222;359.26;414.6;21.65
116;355.43;394.97;22.0
129;351.11;393.14;22.12
165;347.26;394.24;22.22
200;337.67;394.58;22.39
19;349.69;389.48;22.6
420;337.76;387.53;22.21
144;333.84;392.6;28.33
452;336.99;385.96;22.88
122;344.04;395.57;22.5
243;342.93;377.92;21.48
182;348.57;373.33;20.69
446;350.18;367.73;20.72
164;343.84;353.8;20.72
374;348.51;344.63;20.36
391;337.65;356.02;23.98
247;345.87;340.72;21.71
444;348.26;337.77;21.57
383;339.27;329.96;20.11
218;336.28;330.17;20.01
92;332.93;327.16;20.09
343;322.5;319.02;21.48
82;323.5;316.43;21.62
67;325.58;394.19;29.27
53;320.45;394.32;29.4
271;308.23;395.48;30.97
250;301.35;396.34;31.3
365;287.39;391.89;32.64
434;278.0;399.31;34.46
170;281.13;387.01;32.5
147;294.1;383.19;32.82
160;272.02;395.95;34.68
172;274.92;391.18;35.24
368;275.54;374.12;36.7
274;268.32;391.3;38.18
369;272.89;358.84;38.76
459;262.18;376.69;40.58
277;256.86;354.55;40.21
380;269.44;354.82;38.17
260;254.08;398.96;40.58
461;252.85;422.63;41.0
396;255.18;431.93;40.49
156;255.24;435.42;40.28
185;261.43;443.93;38.99
407;270.36;454.57;38.5
54;269.62;463.13;38.5
433;275.37;476.66;38.5
78;270.89;486.27;38.69
270;272.08;491.02;38.52
125;273.36;509.17;37.88
356;265.01;492.4;38.52
190;275.03;519.71;38.63
281;255.95;501.16;38.52
104;251.03;502.48;38.34
152;248.93;509.36;38.09
376;242.35;502.31;38.17
389;241.98;498.88;38.2
194;239.94;507.09;37.46
159;240.61;510.53;37.37
118;233.74;519.84;36.56
273;243.27;514.72;36.52
339;228.36;518.99;36.56
390;234.31;520.86;38.96
290;221.35;511.99;36.6
163;220.04;504.56;36.6
453;210.01;513.6;36.83
275;197.08;503.51;37.12
17;187.19;507.71;37.16
384;175.59;506.7;37.36
233;169.19;514.33;37.4
256;160.61;507.13;37.55
227;165.46;507.02;38.11
27;153.11;516.75;37.57
16;136.51;523.46;37.73
311;134.93;520.23;37.73
300;132.83;515.04;37.73
330;128.35;525.76;37.88
394;131.71;512.26;37.73
70;124.52;528.97;37.88
304;366.13;374.14;23.19
28;371.4;368.67;23.39
42;321.46;315.44;21.82
191;323.47;311.14;20.55
410;313.25;304.77;21.18
286;309.96;293.32;21.39
287;313.8;284.27;21.39
251;324.18;274.92;22.98
89;343.37;280.23;22.98
408;336.01;256.2;22.98
40;337.25;246.07;22.27
307;322.66;237.14;24.06
438;315.23;237.41;23.74
0;306.48;232.76;23.91
198;291.58;230.14;23.65
430;281.58;231.2;22.05
246;281.58;231.2;23.05
64;266.25;231.74;23.05
426;263.82;232.93;23.05
427;245.73;228.09;21.91
362;243.78;232.36;22.91
458;213.45;225.1;23.45
411;192.19;217.16;24.24
303;173.11;214.32;23.57
73;147.86;203.09;24.05
138;140.74;203.22;24.11
404;130.7;198.96;24.3
293;127.71;195.52;24.3
349;110.1;192.74;24.3
199;96.01;191.76;24.43
83;77.92;188.74;25.87
399;65.6;185.34;27.21
437;65.6;185.34;26.21
318;49.47;177.82;26.21
145;30.75;174.19;29.06
3;13.92;170.01;33.23
432;-11.83;177.16;42.95
208;-26.96;182.38;49.1
26;-48.01;180.73;50.21
202;-27.91;184.37;50.05
235;-70.24;188.83;62.26
226;-81.81;186.06;67.56
6;-94.98;182.17;68.52
463;-112.93;172.83;69.4
234;-140.74;173.33;79.53
149;-150.66;178.72;82.45
128;-187.7;171.88;92.19
447;-196.01;181.45;97.31
429;-199.02;179.35;99.56
76;-211.29;172.83;97.86
124;-228.98;164.22;101.68
55;-278.45;167.7;113.59
79;-316.52;163.72;121.38
113;-278.09;176.53;117.29
93;-350.41;170.32;130.31
229;-355.18;181.57;135.75
139;-357.31;181.95;136.03
370;-369.35;178.73;136.58
351;-380.76;179.54;138.8
127;-403.51;176.95;142.84
413;-411.16;182.83;145.88
431;-423.08;184.3;147.36
331;-425.78;181.2;149.63
18;-423.93;183.48;147.69
358;-436.41;181.1;149.49
267;161.92;503.82;39.95
105;161.92;503.82;45.05
221;158.34;498.52;42.02
72;152.84;490.96;44.18
297;144.15;491.3;48.62
99;176.26;488.37;39.33
237;131.57;492.22;49.61
258;127.49;489.9;47.25
305;135.11;482.17;46.38
261;138.81;479.55;40.94
37;182.72;487.34;43.8
298;138.2;462.23;39.11
204;140.0;470.27;40.18
363;125.09;465.02;39.35
338;152.4;459.2;36.29
299;100.86;468.44;40.2
7;93.03;460.89;40.96
35;156.15;472.97;42.73
63;185.21;483.67;42.84
75;193.57;484.84;42.84
90;207.36;484.35;42.6
348;198.79;477.1;42.84
345;173.12;463.6;28.58
120;87.18;453.13;36.43
36;64.57;467.28;43.08
38;74.35;445.73;38.78
457;97.76;452.39;35.88
175;59.32;469.95;43.7
285;48.09;476.19;46.43
319;26.76;478.07;50.6
107;22.7;478.64;50.6
220;18.5;483.65;51.87
263;3.35;483.92;54.81
296;-2.7;483.71;54.81
248;-13.19;482.98;56.85
181;-17.93;481.8;57.2
