id;x;y;z
458;445.0;637.0;0.0
77;445.0;637.0;-4.5
22;444.41;640.73;-8.41
145;446.34;640.21;-8.41
229;448.18;639.51;-16.33
373;447.47;638.81;-16.33
705;447.47;638.81;-34.13
156;445.21;638.85;-34.13
419;445.21;638.85;-37.08
483;443.19;641.09;-40.31
493;437.62;645.77;-44.51
38;437.83;647.76;-45.86
340;440.98;650.22;-46.56
511;434.06;652.08;-27.89
122;437.03;651.17;-48.63
190;433.91;652.43;-48.93
897;434.36;654.76;-50.41
692;434.36;654.76;-52.71
472;432.33;656.6;-52.86
405;432.74;658.72;-51.8
400;432.74;658.72;-60.55
753;432.74;658.72;-90.98
643;429.47;663.07;-91.26
290;424.06;666.07;-91.59
836;422.23;669.36;-89.5
105;419.9;672.25;-90.33
679;417.61;672.78;-90.85
153;413.14;670.79;-94.02
968;411.83;673.6;-96.11
489;410.22;672.95;-97.91
176;410.21;672.18;-97.14
959;410.21;672.18;-111.23
241;412.63;672.13;-128.46
461;411.02;673.39;-131.36
455;403.91;672.64;-146.7
873;403.91;672.64;-159.1
426;403.91;672.64;-183.56
680;407.99;674.04;-179.25
596;412.58;672.72;-180.18
632;417.82;680.64;-178.51
431;417.82;680.64;-175.11
640;426.69;682.84;-177.9
19;427.28;679.07;-182.0
1007;432.32;679.96;-182.0
810;441.48;682.06;-183.65
255;460.93;688.37;-182.94
567;472.88;703.39;-182.94
355;489.46;678.78;-178.5
983;483.58;724.44;-190.61
116;477.98;705.27;-188.38
438;476.23;672.62;-184.4
382;512.4;700.61;-187.58
977;514.36;670.53;-183.13
777;481.59;638.68;-183.2
845;465.05;619.67;-171.45
685;453.15;611.35;-165.73
995;436.18;616.16;-165.15
157;480.32;604.56;-178.37
478;446.28;597.21;-173.33
649;393.55;629.54;-169.37
513;366.69;620.67;-183.59
971;372.24;640.13;-175.97
103;357.17;635.84;-181.12
798;346.51;630.95;-188.82
681;338.22;633.14;-186.23
715;351.32;629.11;-188.19
271;319.68;649.85;-186.02
635;312.03;650.0;-187.2
186;322.4;640.93;-189.41
118;308.86;647.34;-189.49
536;303.33;649.3;-191.61
928;300.63;652.38;-187.61
420;295.06;655.74;-187.94
608;284.94;674.01;-183.84
280;298.51;667.76;-184.12
119;271.12;682.2;-181.21
82;257.28;684.62;-177.61
356;271.12;698.15;-179.54
