from_id;to_id
498;637
637;244
244;199
199;907
907;411
411;477
477;716
716;685
685;106
106;882
882;548
548;163
163;137
163;421
137;38
421;990
38;254
38;928
254;526
928;655
526;206
655;546
546;210
210;832
832;736
832;327
832;50
736;942
327;938
50;567
942;985
942;302
985;120
302;574
302;938
120;646
646;696
696;589
589;116
574;353
574;557
574;495
353;929
557;737
495;331
929;751
929;252
751;135
252;676
135;195
195;827
195;973
827;289
827;665
827;3
973;918
289;933
665;684
3;558
933;517
517;433
517;585
684;581
581;834
834;524
524;515
515;463
463;16
463;967
16;70
967;363
70;865
363;793
793;385
385;107
737;437
737;694
737;813
437;432
694;949
813;234
432;802
432;84
802;272
84;153
272;40
40;299
299;181
181;514
181;678
514;211
678;656
211;262
211;444
262;996
444;783
996;436
436;797
797;207
207;257
207;795
257;94
795;823
94;594
594;451
594;838
838;48
838;641
153;979
979;599
599;1009
599;560
1009;780
560;190
780;690
780;467
690;425
467;724
425;853
853;686
686;30
686;227
30;516
227;9
516;1000
1000;971
971;377
377;443
443;375
9;989
9;297
989;392
297;620
297;110
392;729
729;412
620;237
110;343
237;348
348;32
343;267
190;532
532;400
400;807
807;617
617;95
617;794
794;287
287;284
284;221
284;91
724;250
250;47
47;783
48;518
641;845
518;449
449;351
351;296
296;79
79;10
10;944
944;877
877;669
669;778
669;964
778;566
964;965
964;829
566;112
112;808
112;946
808;742
808;814
946;185
742;232
814;366
232;309
309;66
309;103
66;552
103;740
366;180
180;828
180;497
180;154
497;369
154;485
552;369
369;310
310;643
310;69
310;2
643;386
643;399
69;204
2;364
386;413
386;201
399;873
413;300
300;822
822;869
869;313
869;406
313;274
313;906
313;842
406;258
906;111
906;550
906;719
842;57
111;265
719;1013
265;342
342;697
697;311
311;812
812;625
625;746
746;502
502;475
475;538
258;445
445;490
445;953
953;977
953;681
977;700
681;738
485;185
567;155
155;980
980;117
117;781
781;872
781;140
140;675
675;510
675;288
510;393
288;728
393;743
393;389
743;756
389;994
389;349
756;821
821;158
158;90
90;54
54;325
325;757
325;628
757;545
628;788
545;879
788;631
631;561
728;191
191;81
994;242
349;608
608;563
676;420
420;173
173;811
811;798
798;34
34;727
918;633
633;959
959;658
959;582
558;151
151;772
772;308
772;441
308;67
67;142
67;648
142;175
648;818
175;586
818;426
426;51
51;707
1013;943
943;160
160;202
700;416
700;100
416;997
100;177
177;404
738;29
29;101
101;855
855;527
527;605
605;981
981;292
965;500
829;523
500;1005
1005;663
523;438
292;920
920;259
259;653
259;430
653;61
430;636
61;6
6;916
916;427
427;338
427;958
338;970
958;957
970;278
278;519
278;193
519;649
193;542
649;213
213;468
468;76
468;536
76;131
76;62
536;731
131;891
131;62
891;714
714;176
176;902
731;810
731;275
810;600
275;871
275;682
600;141
141;579
141;355
579;634
355;900
871;559
871;370
682;260
559;568
370;577
568;229
568;162
568;774
229;19
162;283
774;454
577;203
203;188
203;56
188;983
56;352
983;720
720;340
352;744
744;92
92;290
92;164
290;260
164;408
164;469
634;72
72;243
243;870
870;71
71;320
320;528
528;476
900;276
276;525
525;966
966;22
966;645
22;624
645;713
624;1006
1006;915
915;98
98;359
359;531
359;391
531;464
391;223
391;897
464;407
407;361
361;796
361;776
776;341
341;1019
1019;846
1019;37
846;147
37;607
147;505
505;45
505;333
45;281
333;428
281;216
216;843
216;755
636;629
629;562
629;99
99;23
23;974
23;1016
1016;322
1016;417
417;197
197;718
718;961
961;578
578;319
319;512
512;921
921;986
986;809
809;196
196;121
121;886
886;183
183;638
638;248
638;82
82;534
534;460
534;335
460;378
335;529
529;458
529;609
529;701
701;489
489;184
489;805
805;533
533;652
652;97
469;269
269;104
104;270
104;972
972;170
170;493
493;402
402;995
340;470
470;651
651;419
651;374
419;530
530;889
889;253
253;887
253;732
887;739
732;293
739;332
332;948
332;1018
293;264
264;644
644;940
940;874
874;109
109;212
212;937
843;572
755;833
572;484
484;123
123;88
88;878
878;664
878;733
733;330
330;556
833;7
7;501
501;769
501;209
769;68
209;709
68;414
414;130
130;712
712;405
405;39
39;806
806;930
930;1017
1017;218
218;749
749;41
709;571
571;782
782;511
511;388
388;358
358;249
249;734
734;880
880;415
415;127
127;20
20;934
934;295
295;102
102;722
722;1
1;922
428;575
575;36
36;25
25;555
555;630
630;159
159;503
503;820
820;304
304;85
85;591
591;939
939;775
775;968
968;926
926;194
194;1008
1008;174
174;450
450;619
619;394
394;306
306;172
172;632
632;474
474;758
758;12
12;35
35;764
764;1001
1001;58
58;580
580;18
18;851
851;488
488;233
233;224
224;339
339;691
990;376
376;817
817;167
167;642
642;492
642;487
492;113
487;401
401;606
606;215
606;888
215;666
215;765
888;472
666;279
765;598
598;618
618;839
839;725
839;909
658;280
582;745
745;491
745;156
491;564
156;144
144;601
601;231
231;387
387;228
586;136
136;362
362;26
362;337
26;24
24;255
24;819
819;836
836;240
240;705
705;635
635;677
677;860
860;365
365;917
917;791
791;478
845;896
845;46
896;766
46;597
46;1010
766;884
766;947
884;849
849;86
597;721
721;114
721;543
331;859
331;165
331;864
859;245
165;987
165;935
864;975
935;346
346;508
508;695
695;235
235;668
235;754
668;903
754;988
903;540
540;777
777;225
225;422
422;856
856;251
988;613
613;13
13;679
873;282
282;149
149;466
466;321
466;64
321;323
64;42
323;246
42;241
42;1007
241;768
1007;96
768;626
626;247
96;236
236;486
740;784
784;139
139;592
592;535
204;748
748;863
863;763
975;670
670;908
908;367
367;596
596;875
875;936
936;119
936;760
119;471
760;747
471;553
553;324
324;762
762;208
208;14
14;792
747;447
447;423
423;431
423;680
680;303
303;446
446;379
379;316
379;786
316;799
786;59
59;133
133;448
448;219
219;612
612;205
205;602
949;901
901;356
356;952
356;465
952;905
465;371
905;956
956;125
956;150
125;954
234;200
200;256
256;55
256;569
55;43
569;541
43;850
850;702
702;741
702;305
702;706
741;998
305;87
706;350
998;481
481;611
87;895
895;904
904;962
350;800
800;544
544;999
999;73
73;312
541;801
801;704
704;496
656;398
398;750
750;671
671;835
835;640
640;1002
1002;138
138;198
198;654
654;15
823;189
189;314
314;429
429;440
440;266
364;334
334;360
360;368
360;923
923;894
894;583
583;182
182;494
494;146
146;866
866;128
128;595
595;590
590;17
17;932
932;452
452;924
924;4
924;803
4;867
803;565
867;301
301;105
105;298
298;852
852;263
852;689
565;178
178;857
857;78
857;145
145;148
145;815
148;627
815;134
627;688
627;53
53;925
53;507
925;226
691;687
687;847
847;132
132;357
357;910
910;770
770;157
157;848
848;621
621;381
381;74
74;667
667;982
982;318
318;885
318;354
318;735
735;615
615;708
708;976
976;816
816;984
984;261
261;693
693;122
693;951
122;647
951;171
171;614
614;662
662;520
520;395
395;841
841;513
841;767
513;328
513;179
767;898
328;610
328;403
179;380
610;168
380;623
623;587
587;457
898;1003
1003;919
919;759
759;347
347;108
108;881
881;33
881;230
33;63
230;480
480;434
434;698
434;461
698;271
271;44
44;854
854;868
223;622
897;336
336;482
336;186
482;161
186;876
186;584
161;60
60;963
584;455
455;504
504;650
650;911
911;858
858;549
549;715
549;522
522;459
459;152
152;826
826;373
373;969
969;710
710;914
914;844
844;537
537;539
539;672
672;8
8;726
726;551
551;268
268;238
238;166
166;607
713;1004
1004;825
825;344
344;779
779;129
129;509
509;773
773;955
955;890
890;65
65;950
65;659
659;840
659;285
285;570
570;222
222;143
143;383
383;717
717;49
49;483
483;345
345;27
27;790
790;169
169;991
991;80
80;931
931;435
435;499
499;616
616;787
787;315
315;453
453;674
674;1015
202;31
31;547
547;554
554;456
456;52
52;273
273;945
945;77
77;277
277;126
277;824
824;862
862;861
861;692
692;329
329;899
899;479
957;192
192;927
927;214
214;220
220;89
89;384
384;661
661;390
390;75
75;893
75;93
75;418
893;660
93;699
93;372
418;115
660;410
410;396
396;397
396;28
397;439
28;521
521;699
372;912
912;5
5;837
837;730
730;217
115;892
892;1011
1011;639
639;291
291;593
593;424
424;603
603;442
442;711
711;294
711;960
960;830
830;657
657;573
573;506
902;409
409;723
723;913
913;978
978;1012
1012;683
683;804
804;941
941;883
883;785
883;286
785;703
286;11
703;462
703;124
703;576
124;0
576;382
0;992
992;752
382;1014
1014;673
673;831
673;11
19;771
283;307
307;993
993;326
326;239
239;789
789;118
118;604
604;473
454;21
21;187
187;588
57;83
83;317
83;761
317;753
