id;cswidth;csheight
550;6.51;6.51
774;0.27;5.39
85;1.16;0.17
235;1.51;2.0
765;0.6;0.9
559;0.75;1.92
586;0.15;0.39
805;3.15;3.98
470;0.55;1.63
551;1.22;1.78
163;1.88;0.15
666;0.2;1.0
244;1.53;1.53
854;0.05;0.15
445;0.05;1.45
547;0.09;0.17
519;0.48;0.42
562;0.19;1.14
712;1.0;2.3
333;0.5;1.06
646;0.03;1.19
319;0.47;1.4
468;0.16;0.56
2;1.01;2.33
392;0.08;2.64
97;1.25;2.27
733;0.54;1.5
116;0.95;2.28
152;0.05;0.83
745;1.98;3.36
294;0.45;3.05
633;2.8;2.89
64;0.6;0.6
337;2.2;2.2
16;1.02;1.55
33;0.04;0.37
224;1.62;4.06
334;0.4;0.65
578;0.29;0.46
527;2.6;2.6
689;2.75;2.75
417;0.59;1.07
