from_id;to_id
37;230
230;32
32;86
86;84
86;148
84;166
148;149
166;106
106;82
82;130
130;58
58;133
133;95
95;159
159;160
160;101
101;108
108;68
68;162
162;110
110;99
99;83
83;60
83;232
60;187
232;169
187;207
207;40
40;227
227;72
72;15
15;197
197;195
195;168
195;20
20;45
45;12
12;128
128;225
225;90
90;64
64;180
180;65
65;87
87;44
44;242
242;157
169;218
218;25
25;100
100;179
179;163
163;173
173;13
13;46
46;193
193;190
193;66
190;53
66;136
53;118
118;17
118;153
17;229
153;196
229;77
77;224
224;30
224;56
30;220
56;112
112;109
109;119
119;111
111;16
111;239
16;69
69;39
39;7
39;240
7;194
240;125
194;164
164;55
164;62
62;139
136;231
231;8
8;129
129;137
129;155
137;219
155;78
219;104
104;172
172;26
26;189
189;91
91;27
27;228
228;237
228;51
237;36
51;19
36;233
233;245
245;48
48;113
113;59
59;6
6;222
222;221
221;43
43;96
96;175
175;117
117;92
92;138
138;1
138;177
177;184
184;52
52;41
41;61
61;71
71;94
94;167
167;0
0;54
54;174
174;5
19;74
74;120
120;73
73;63
63;115
115;214
115;186
214;200
186;107
200;191
191;142
142;88
88;126
126;23
23;3
3;146
146;18
18;213
213;80
213;199
80;24
199;150
196;248
248;85
85;246
246;131
131;156
156;78
107;122
122;234
234;123
123;151
151;198
198;235
198;97
235;171
97;211
171;201
201;183
183;181
181;216
216;93
93;170
170;57
57;114
114;47
47;251
251;208
251;4
208;50
4;252
50;24
24;158
158;89
89;81
81;236
236;29
29;132
132;243
243;178
150;9
9;223
9;67
9;141
223;176
67;253
141;165
176;75
75;34
34;139
252;238
238;144
144;140
140;11
11;185
185;250
250;182
211;103
103;188
188;127
127;10
10;249
249;70
70;38
38;254
254;22
22;14
14;226
226;247
247;102
102;212
102;2
2;79
79;134
125;21
21;105
105;147
147;121
121;209
121;161
161;244
161;217
217;202
217;205
205;206
206;215
206;210
215;149
210;98
253;154
154;42
42;33
42;204
204;145
145;143
143;28
28;152
28;35
152;124
35;192
124;31
192;241
165;203
203;49
49;116
116;135
135;76
