from_id;to_id
825;869
869;40
40;2
2;683
683;485
485;609
609;782
782;36
36;88
88;884
884;556
556;892
892;559
559;50
559;461
461;951
951;651
951;974
974;610
610;448
448;900
900;727
727;12
12;362
362;59
59;511
511;507
507;995
995;407
407;562
562;592
592;977
977;456
977;139
456;837
456;572
139;533
837;770
837;608
837;853
572;310
770;739
608;905
853;457
739;271
271;626
271;706
626;28
706;694
28;395
395;493
493;172
172;908
908;240
694;981
981;392
392;99
99;612
612;13
13;47
47;795
795;759
759;370
370;433
433;824
824;579
824;660
579;719
660;164
719;193
193;391
193;629
391;145
629;657
145;357
357;558
558;648
648;756
756;187
187;472
472;652
652;219
219;560
560;195
195;429
429;998
998;309
309;741
741;966
966;788
788;720
720;416
416;132
132;787
787;181
181;351
181;156
156;573
657;583
583;769
583;42
769;298
42;857
298;617
617;550
550;462
857;708
708;44
44;328
328;26
26;175
175;876
876;289
289;937
937;320
320;314
314;840
840;295
840;468
840;327
295;14
327;551
551;466
533;24
533;830
533;282
830;147
282;354
147;775
905;838
838;258
258;836
836;978
978;687
978;281
687;277
687;352
687;213
687;284
281;135
277;454
352;261
352;479
213;740
135;985
135;921
921;649
649;336
336;366
366;179
179;398
398;69
69;238
69;895
238;586
895;292
586;432
432;546
432;446
546;667
446;796
796;999
999;285
285;186
186;377
377;146
292;29
29;798
29;989
798;384
989;308
384;412
412;793
793;618
618;411
411;547
308;94
94;943
94;38
943;731
38;833
731;0
833;78
78;674
674;371
371;15
371;914
914;844
844;51
51;681
681;630
630;245
245;465
465;403
403;757
146;663
663;871
871;210
210;767
767;367
367;805
805;381
381;938
938;529
529;201
201;77
77;467
467;627
627;633
633;4
4;268
268;670
670;747
747;738
738;413
413;62
62;887
887;60
60;728
728;229
229;794
794;764
764;111
111;858
858;291
291;482
482;847
847;318
318;636
636;16
16;702
702;917
917;365
365;746
746;851
851;130
130;341
341;956
956;500
500;133
133;74
74;950
950;973
973;839
839;117
117;104
104;333
333;393
333;571
393;293
571;143
293;55
55;101
101;574
574;131
131;622
622;852
852;358
143;528
528;153
153;176
176;945
945;653
653;138
138;631
631;665
665;423
423;501
501;494
494;489
489;834
834;881
881;451
451;65
65;204
204;39
39;221
221;151
151;443
443;503
503;790
790;279
279;340
340;954
954;678
678;718
718;730
730;49
49;675
675;959
959;321
321;275
275;957
957;491
491;927
927;180
180;246
246;891
891;668
668;941
941;791
791;256
256;597
597;826
826;563
563;716
716;754
754;346
346;922
922;197
197;745
745;20
20;35
35;580
580;11
11;615
615;137
137;595
595;654
654;817
817;897
897;963
963;821
821;82
82;781
781;236
236;207
207;224
224;986
986;602
602;162
162;273
273;287
287;378
378;194
194;182
182;259
259;923
923;471
471;85
85;637
637;725
725;262
262;698
698;470
470;100
100;280
280;297
297;939
939;842
842;379
379;239
239;752
752;118
118;828
828;301
301;169
169;538
538;476
476;691
691;632
632;463
463;84
84;800
800;490
490;108
490;570
570;154
310;257
257;658
658;247
247;596
596;684
164;946
946;177
177;380
380;41
41;326
41;115
115;537
537;417
537;732
457;565
565;427
427;329
427;722
329;5
722;577
577;797
797;776
354;975
975;1
1;368
368;778
778;144
144;342
342;359
359;969
969;71
71;348
348;711
711;1000
1000;17
17;405
405;7
7;872
872;640
640;882
640;458
640;222
882;319
458;789
222;671
319;437
437;506
506;910
910;385
385;305
305;589
305;715
589;924
715;374
924;539
539;829
539;272
539;898
829;808
272;170
898;893
808;54
54;274
274;940
170;644
644;97
97;27
97;553
97;772
27;568
772;672
568;929
929;112
112;885
112;854
885;949
854;114
949;536
536;18
18;638
638;254
254;733
733;561
561;3
3;696
696;682
682;863
863;134
134;92
92;810
810;877
877;30
30;311
30;712
311;226
712;704
226;607
607;409
409;225
225;623
623;408
408;388
408;315
388;202
315;864
202;72
72;748
748;249
249;701
249;970
701;356
970;666
970;10
970;37
666;865
10;870
37;350
865;521
521;89
89;178
178;634
634;688
688;396
396;982
982;469
469;276
276;717
717;699
699;804
804;43
43;450
43;481
450;894
481;598
894;855
855;979
855;646
979;726
646;541
726;389
389;306
306;576
576;227
227;593
593;56
56;567
567;584
584;231
231;119
119;347
347;650
650;214
214;174
174;569
569;531
531;33
33;926
926;896
896;859
859;263
263;474
474;152
152;519
519;165
165;73
73;149
149;382
382;944
944;183
114;811
704;735
735;879
735;931
879;953
931;575
953;846
953;841
841;524
864;659
659;517
517;799
799;806
806;440
440;669
669;75
75;363
870;189
189;294
189;124
294;296
124;751
124;664
296;679
679;548
679;594
548;496
594;578
578;843
751;498
664;952
183;502
502;761
761;661
661;780
780;971
971;148
148;512
512;763
763;603
603;418
541;901
901;527
527;190
190;878
598;323
323;994
994;930
930;707
707;199
199;771
771;196
196;424
424;835
835;812
812;141
141;80
80;624
624;765
765;549
549;520
520;697
697;916
916;693
693;128
128;230
230;140
140;814
814;934
934;690
690;45
45;902
902;93
93;166
166;434
434;868
868;91
91;645
645;57
57;232
575;513
513;68
68;983
983;105
105;619
619;415
415;386
672;211
211;205
211;893
205;557
893;710
557;497
497;344
344;909
909;300
300;736
300;606
736;120
606;188
120;911
911;784
784;564
564;269
269;484
484;779
484;464
464;848
848;743
743;809
809;79
79;585
585;965
965;260
710;22
22;374
789;478
478;278
278;721
721;372
372;639
639;777
639;307
639;972
777;243
307;749
972;515
972;987
972;420
749;760
760;705
705;613
613;129
129;961
961;588
588;157
157;31
31;535
535;235
235;52
52;83
52;435
52;918
83;590
435;332
435;286
918;441
590;360
590;990
360;23
360;102
990;113
23;163
163;873
113;332
441;689
987;591
188;483
483;762
762;492
762;399
492;406
399;947
406;244
244;532
532;252
252;544
544;445
544;540
544;19
445;208
445;6
540;801
19;816
208;587
208;516
6;425
587;662
516;611
662;312
312;850
850;655
655;628
628;737
737;58
58;673
673;510
510;248
248;888
888;330
330;98
98;302
302;755
755;958
958;335
335;215
215;827
827;709
709;700
611;322
322;375
375;886
886;255
255;345
255;906
906;142
142;625
625;155
155;185
185;90
90;867
425;430
430;566
566;61
566;815
61;555
815;849
555;324
324;486
849;159
159;46
46;265
265;383
383;860
860;402
402;514
514;822
822;526
526;680
526;66
66;508
508;290
290;676
801;635
635;212
816;714
714;168
168;109
168;724
724;525
525;21
21;813
813;729
729;641
641;459
459;349
349;768
768;475
475;758
758;984
984;373
373;233
873;880
880;819
819;925
925;968
925;823
968;237
823;453
237;32
32;980
980;856
856;217
217;903
903;473
473;523
523;283
283;996
996;103
103;452
452;581
581;915
915;912
912;802
802;449
449;218
218;288
288;353
353;774
453;960
960;647
647;426
426;167
167;203
203;422
422;136
136;962
962;34
34;343
343;554
554;542
542;439
439;792
792;883
883;200
947;107
107;355
355;414
414;86
86;455
455;599
599;487
599;545
545;988
988;750
750;76
750;899
899;820
820;8
820;266
266;184
184;126
126;364
233;397
397;121
121;744
744;442
442;428
428;191
191;436
436;401
350;942
942;504
504;253
253;369
369;907
907;110
110;70
70;582
582;783
783;267
267;620
620;106
106;543
543;304
304;81
81;431
431;264
264;656
656;874
656;125
125;753
753;216
216;991
991;818
818;621
621;831
831;862
831;773
773;505
505;703
505;935
703;228
935;734
734;95
95;198
198;206
198;158
158;400
400;600
154;936
936;316
936;404
316;889
404;920
920;325
325;173
173;861
173;518
861;270
518;964
270;250
250;614
250;686
614;967
686;976
976;488
976;161
976;904
161;338
904;992
992;460
460;63
964;361
361;677
677;209
209;116
116;160
160;390
390;67
67;643
643;234
234;845
845;444
444;786
444;866
866;53
53;832
832;150
150;997
997;522
522;509
509;477
477;127
127;394
394;495
495;692
692;64
64;601
601;87
87;241
241;303
303;875
875;419
419;220
220;785
785;913
913;447
447;223
223;334
334;948
948;766
766;928
928;313
313;642
642;932
740;96
96;337
96;480
337;299
299;890
299;122
890;534
122;331
534;251
534;933
933;25
671;530
530;339
339;376
339;192
376;742
192;317
317;123
123;48
48;552
552;242
242;993
242;695
242;438
695;171
695;919
438;803
171;421
919;616
919;410
421;713
410;685
685;723
723;605
605;604
803;807
807;387
387;955
387;499
955;9
