from_id;to_id
543;274
274;75
274;233
233;520
520;338
338;279
338;259
279;289
259;492
289;439
439;28
28;173
492;57
57;189
189;221
221;123
123;120
120;450
120;506
450;137
506;515
137;310
310;471
471;138
471;530
530;341
515;355
355;111
111;307
307;542
542;183
183;484
484;49
49;18
18;527
527;397
397;34
34;507
507;162
162;287
287;514
514;301
301;86
86;19
19;343
343;309
309;21
21;12
12;90
90;323
323;81
81;442
442;539
539;321
321;372
372;482
482;146
146;199
199;312
312;23
23;538
538;234
234;331
331;502
502;58
58;122
122;88
88;127
88;293
293;197
197;395
395;136
136;218
218;64
64;483
483;488
488;496
496;8
496;333
496;192
8;215
192;421
215;158
158;96
96;124
124;130
130;292
130;374
292;172
374;529
172;324
324;494
494;230
230;16
230;295
16;112
295;219
219;347
347;519
519;435
435;297
297;10
10;311
311;335
335;20
20;528
528;327
327;531
531;3
3;95
95;155
95;414
155;357
414;509
357;420
420;464
464;339
339;222
339;405
222;251
405;417
251;344
344;35
35;220
220;441
441;242
242;453
453;255
255;118
118;452
452;504
504;510
510;216
216;61
61;169
169;82
82;193
193;454
454;231
231;537
537;102
102;461
461;106
106;416
416;140
140;87
140;516
87;257
516;422
257;477
257;91
477;147
91;206
147;489
422;243
422;518
243;383
518;256
383;351
351;388
351;286
388;425
425;24
425;160
24;404
160;322
404;32
256;266
256;386
266;369
386;190
369;336
336;167
32;462
462;298
298;438
298;238
238;387
206;296
296;178
178;161
161;26
26;445
445;175
175;48
48;188
188;98
98;455
455;479
479;459
459;116
116;45
45;393
393;43
509;77
77;235
235;100
100;71
71;52
322;93
93;547
547;394
394;44
44;236
236;46
46;485
46;74
74;113
113;104
104;365
365;381
381;523
523;500
500;37
500;313
500;89
37;164
313;6
89;371
164;200
200;70
70;317
317;110
110;364
364;99
99;320
320;424
424;17
17;419
17;407
419;375
407;204
375;318
318;7
7;457
457;196
196;210
210;150
150;382
382;108
108;368
368;129
129;244
244;107
107;334
334;370
370;291
291;360
360;51
51;390
390;248
248;63
63;503
503;511
511;201
201;505
505;153
153;103
103;126
126;384
384;367
367;475
475;184
184;278
184;431
278;227
431;440
227;403
227;101
403;326
101;132
326;214
214;179
132;237
237;512
512;226
440;460
460;470
470;25
25;203
203;250
250;223
223;302
302;329
329;521
521;149
149;472
472;373
373;60
60;1
6;174
174;446
446;337
337;59
59;389
389;378
389;185
378;426
185;208
208;181
181;294
294;399
226;0
260;402
402;526
526;204
371;541
541;432
529;348
348;245
387;29
29;212
212;316
316;487
487;191
191;476
476;533
533;271
271;409
409;2
409;491
2;400
400;121
121;171
171;282
282;168
168;497
497;481
481;133
133;410
410;267
267;187
187;376
376;345
345;342
345;434
342;396
434;119
119;391
119;176
391;97
176;306
306;493
306;47
306;415
415;209
209;428
428;314
314;246
246;194
194;73
73;152
152;304
304;13
13;524
524;69
69;142
142;56
56;240
240;513
240;346
240;207
513;362
207;277
277;128
128;265
265;303
303;177
177;350
350;33
33;232
232;356
421;72
417;165
165;412
1;213
213;105
213;358
358;224
224;9
9;458
458;280
280;466
466;406
406;217
217;430
430;469
469;254
254;473
473;154
473;366
473;478
154;546
478;157
157;198
198;202
202;268
268;55
55;205
205;443
443;522
522;517
517;78
78;270
270;474
474;423
423;325
325;330
330;300
300;27
27;186
186;66
186;465
465;62
62;53
53;85
85;54
54;361
361;141
141;14
14;5
5;134
5;180
180;4
4;83
4;508
83;385
508;228
385;480
480;65
65;30
30;263
263;451
451;285
285;145
145;353
353;305
228;467
467;262
262;211
211;349
349;272
272;264
272;449
272;143
264;163
449;92
143;495
163;436
436;275
275;109
109;401
401;195
195;139
195;269
139;76
76;31
92;377
377;249
249;84
84;94
94;38
94;499
94;468
38;41
499;117
468;544
41;408
408;11
11;315
315;144
144;534
144;380
534;525
380;67
380;241
525;80
80;182
182;273
241;117
544;340
340;498
498;15
498;540
540;290
290;495
31;261
261;135
261;299
135;429
299;229
429;535
535;433
433;437
437;50
50;39
39;247
39;36
36;501
501;463
463;448
448;79
79;22
22;352
352;281
281;253
229;258
258;166
166;413
413;40
40;363
40;239
363;170
239;170
239;68
68;156
68;225
225;252
252;159
159;447
447;308
308;276
276;131
131;536
131;418
418;532
418;148
532;42
532;354
148;332
42;411
42;284
42;114
354;545
114;486
486;359
486;379
379;490
490;328
490;283
328;151
283;456
456;319
545;392
545;427
427;125
125;444
444;115
115;398
398;288
