id;x;y;z
1536;723685.64;5021660.81;1894.05
2563;723667.35;5021831.98;1806.58
8197;723691.46;5021758.23;1828.45
6159;723682.35;5021807.96;1818.07
8209;723692.21;5021640.46;1893.57
530;723693.87;5021729.34;1838.44
7698;723694.01;5021764.41;1829.26
8212;723700.52;5021635.73;1893.1
3602;723684.98;5021802.58;1820.45
1558;723694.78;5021763.15;1840.52
24;723694.2;5021750.81;1835.25
26;723692.96;5021725.47;1838.81
7706;723681.4;5021658.46;1895.71
8224;723691.87;5021783.35;1827.96
1533;723679.35;5021628.41;1903.34
3620;723691.59;5021761.55;1826.97
5672;723698.41;5021696.72;1879.02
553;723695.97;5021735.36;1848.22
8234;723680.15;5021638.26;1900.63
8746;723692.99;5021686.73;1884.07
2092;723674.92;5021631.64;1902.87
6697;723695.23;5021754.47;1845.02
47;723692.73;5021679.07;1884.25
5168;723695.16;5021647.5;1892.73
8753;723694.23;5021680.39;1884.41
562;723675.41;5021629.55;1909.79
51;723694.04;5021621.41;1895.25
2099;723693.58;5021651.83;1890.79
5685;723696.65;5021690.75;1880.03
5683;723692.63;5021701.11;1871.4
6192;723693.09;5021695.18;1872.55
3122;723693.37;5021734.58;1851.75
8247;723695.45;5021747.3;1836.41
3128;723692.22;5021740.04;1837.24
8251;723695.56;5021685.09;1881.82
6204;723679.96;5021641.43;1900.27
4156;723694.4;5021655.77;1883.19
5694;723701.55;5021631.81;1893.86
7231;723694.13;5021651.48;1889.06
4159;723686.36;5021721.01;1876.0
1595;723695.7;5021766.18;1832.4
8258;723690.83;5021664.08;1892.32
2627;723693.61;5021634.28;1891.94
7235;723693.8;5021772.49;1822.17
62;723691.75;5021738.89;1834.88
2118;723690.4;5021713.7;1872.97
6211;723683.55;5021805.17;1822.86
7743;723685.25;5021801.21;1820.82
3145;723696.78;5021747.07;1845.79
4162;723670.98;5021826.4;1807.69
8267;723695.94;5021743.27;1836.96
5196;723696.97;5021645.63;1894.85
8257;723669.46;5021830.17;1807.5
7247;723673.77;5021641.11;1899.56
8271;723694.47;5021655.02;1888.27
81;723696.32;5021767.17;1829.61
5714;723695.73;5021767.83;1823.29
4688;723690.45;5021792.75;1823.12
3668;723667.13;5021834.94;1805.71
5205;723677.96;5021611.56;1906.26
8280;723691.96;5021687.81;1883.75
5208;723694.5;5021744.86;1845.9
7261;723694.64;5021736.58;1847.71
8287;723693.27;5021773.77;1830.55
5732;723687.52;5021726.06;1871.0
102;723662.63;5021842.9;1803.57
2151;723693.81;5021752.01;1834.45
3688;723696.69;5021690.73;1880.08
6759;723695.51;5021770.11;1820.94
5226;723691.06;5021703.78;1870.13
618;723694.98;5021729.85;1853.06
6252;723668.75;5021626.28;1907.06
5228;723702.05;5021607.01;1898.54
622;723696.34;5021751.37;1844.01
7786;723693.39;5021784.18;1823.54
1648;723694.42;5021637.93;1890.91
2672;723689.17;5021715.94;1876.34
3185;723694.51;5021762.68;1830.03
6259;723662.52;5021848.08;1794.14
3192;723693.59;5021782.9;1826.02
6776;723692.58;5021789.01;1824.35
6778;723686.24;5021800.35;1821.03
1148;723691.67;5021730.31;1855.88
2174;723694.64;5021688.47;1878.35
4223;723696.95;5021690.87;1877.4
128;723693.09;5021760.6;1848.98
646;723688.41;5021633.64;1888.57
8328;723693.9;5021680.61;1887.37
3209;723676.93;5021637.77;1901.49
5772;723680.55;5021810.13;1818.23
2703;723665.77;5021835.32;1805.83
5265;723691.87;5021623.84;1903.67
1681;723692.93;5021736.9;1847.14
5268;723676.96;5021630.6;1908.61
662;723685.51;5021629.3;1889.09
8343;723680.04;5021625.67;1903.98
4249;723675.71;5021609.81;1906.34
154;723697.03;5021689.96;1877.58
8858;723664.85;5021841.51;1804.18
8350;723688.32;5021624.76;1890.7
7327;723677.98;5021635.19;1902.04
2208;723695.36;5021752.27;1844.08
7841;723693.78;5021746.13;1846.01
1183;723692.98;5021760.41;1830.59
5790;723694.13;5021761.13;1842.84
7332;723687.17;5021662.05;1886.71
5285;723696.62;5021700.85;1879.19
6308;723690.51;5021709.85;1873.72
5796;723692.93;5021756.07;1829.83
1703;723693.18;5021742.45;1836.64
8361;723692.29;5021645.69;1892.62
6827;723693.9;5021726.63;1839.14
4267;723692.55;5021758.08;1831.01
8365;723693.14;5021787.16;1822.77
2734;723686.38;5021797.04;1824.61
173;723683.26;5021806.18;1819.71
8368;723694.28;5021651.59;1889.21
1715;723669.45;5021827.17;1807.26
5812;723696.42;5021615.19;1896.09
5301;723693.97;5021622.29;1903.5
5300;723695.97;5021727.21;1839.56
182;723692.89;5021758.86;1847.85
4792;723698.4;5021638.54;1892.36
6841;723696.27;5021687.52;1878.83
8371;723663.17;5021846.1;1802.18
8379;723666.23;5021837.24;1805.14
1726;723698.93;5021725.63;1850.1
7871;723692.21;5021702.77;1872.96
8387;723694.45;5021685.08;1880.98
1223;723690.27;5021736.21;1858.78
1738;723677.31;5021639.65;1900.18
3278;723694.21;5021731.01;1850.79
7375;723704.17;5021605.38;1899.16
6864;723689.87;5021794.62;1822.63
3283;723697.08;5021693.96;1880.32
212;723676.71;5021817.89;1815.72
5847;723696.26;5021687.73;1879.03
3800;723687.74;5021796.29;1822.31
4313;723693.25;5021669.62;1890.83
8409;723673.65;5021818.35;1810.1
216;723673.62;5021823.48;1808.44
7388;723691.31;5021712.63;1876.82
4316;723684.6;5021725.38;1871.89
4318;723706.13;5021603.12;1901.74
4830;723691.58;5021792.59;1825.94
7904;723673.23;5021625.92;1937.88
7901;723672.07;5021821.07;1809.47
227;723693.82;5021765.34;1825.12
228;723692.82;5021633.73;1899.37
3813;723692.11;5021764.01;1824.55
2282;723692.54;5021686.65;1884.0
6891;723683.68;5021650.14;1898.14
748;723681.5;5021648.11;1898.53
8940;723693.66;5021650.69;1891.68
3310;723695.42;5021745.74;1836.12
3316;723680.74;5021808.67;1818.11
4342;723699.73;5021609.68;1897.57
3321;723694.68;5021761.23;1841.26
2298;723688.51;5021714.81;1876.36
3323;723692.47;5021624.02;1910.56
8959;723674.03;5021640.23;1900.18
6911;723695.48;5021703.27;1878.45
4353;723684.64;5021649.12;1898.03
4354;723682.74;5021661.69;1894.49
4867;723694.49;5021685.82;1880.57
2820;723673.73;5021626.32;1939.43
7936;723692.28;5021693.63;1876.36
560;723681.17;5021809.91;1818.83
8456;723689.06;5021659.44;1884.35
4875;723691.41;5021736.59;1838.19
2828;723692.37;5021625.78;1893.82
7437;723679.98;5021614.18;1905.22
1293;723694.94;5021781.14;1828.53
1295;723691.53;5021789.55;1824.37
782;723670.4;5021823.73;1808.67
3857;723691.12;5021675.91;1885.6
1804;723664.22;5021839.41;1804.72
4886;723695.37;5021688.08;1882.28
1302;723692.1;5021647.02;1892.25
158;723691.67;5021781.06;1824.07
796;723696.64;5021748.08;1845.7
7969;723693.27;5021640.32;1893.71
1826;723697.67;5021692.84;1877.54
2851;723676.88;5021631.54;1906.84
7970;723696.41;5021728.24;1852.49
1317;723678.97;5021611.25;1906.1
802;723694.62;5021746.87;1846.1
5927;723693.6;5021757.42;1847.2
7980;723687.2;5021620.71;1902.85
813;723695.06;5021771.5;1820.33
302;723692.69;5021670.63;1888.09
4399;723686.59;5021650.93;1895.82
5936;723699.72;5021638.04;1892.32
6958;723692.51;5021740.52;1846.36
304;723697.1;5021747.69;1845.87
6963;723692.9;5021784.18;1823.83
4918;723684.29;5021803.34;1820.31
311;723694.93;5021690.34;1881.89
3896;723695.47;5021779.3;1827.85
7994;723695.64;5021746.23;1846.02
8509;723696.15;5021753.2;1844.36
4415;723695.12;5021734.71;1851.63
2880;723707.06;5021602.62;1902.31
321;723702.7;5021630.63;1894.33
831;723695.57;5021728.62;1848.01
3392;723670.31;5021824.8;1808.02
3396;723692.81;5021745.87;1836.64
3911;723694.68;5021710.57;1877.95
1863;723695.35;5021746.84;1835.98
4425;723691.21;5021778.33;1828.91
8012;723694.58;5021762.61;1831.53
4945;723695.62;5021728.34;1841.84
1874;723693.75;5021648.74;1889.63
3923;723678.51;5021813.16;1816.55
6996;723692.53;5021790.91;1823.75
855;723689.97;5021619.47;1903.96
1369;723693.22;5021744.29;1846.07
858;723688.77;5021675.13;1883.67
2206;723674.25;5021817.49;1811.53
3421;723676.43;5021632.09;1905.95
3937;723704.7;5021603.59;1899.39
5473;723668.92;5021833.01;1805.96
1379;723697.3;5021697.82;1877.61
7012;723693.26;5021733.26;1852.13
3941;723693.46;5021742.43;1846.11
9062;723689.59;5021730.3;1867.77
355;723674.49;5021820.27;1809.88
1896;723685.05;5021721.7;1876.05
7529;723690.3;5021661.25;1888.4
2411;723692.23;5021704.12;1873.8
4973;723694.52;5021765.53;1824.18
3438;723680.37;5021661.56;1893.59
9070;723696.64;5021639.96;1893.34
6511;723706.41;5021630.54;1896.94
7539;723682.84;5021723.72;1873.32
6006;723692.37;5021757.24;1829.24
1399;723692.63;5021757.72;1830.97
6520;723691.65;5021792.47;1823.3
6524;723693.59;5021637.39;1898.31
380;723695.66;5021616.81;1904.53
3965;723684.68;5021804.57;1820.14
2945;723688.97;5021728.46;1867.95
8579;723690.29;5021732.19;1859.76
7045;723684.29;5021721.3;1876.06
7046;723674.24;5021820.97;1809.88
5000;723692.45;5021776.78;1824.07
2441;723694.54;5021647.01;1890.44
4492;723688.46;5021719.85;1876.06
2959;723684.8;5021659.08;1890.67
3641;723674.91;5021818.18;1815.82
4497;723694.27;5021775.29;1822.7
3477;723694.82;5021730.41;1849.6
7065;723693.74;5021785.28;1825.46
6042;723691.76;5021699.59;1871.35
5531;723695.63;5021641.88;1896.32
1436;723672.83;5021820.58;1819.38
415;723687.02;5021661.36;1883.03
927;723696.56;5021739.64;1837.17
1442;723692.88;5021696.25;1871.96
8100;723695.81;5021770.3;1822.81
5541;723693.59;5021788.71;1826.95
1958;723683.53;5021650.07;1898.11
5543;723667.23;5021830.29;1807.12
5542;723701.42;5021634.88;1892.86
4519;723678.77;5021812.55;1821.32
4521;723694.19;5021740.0;1846.43
6570;723692.84;5021772.57;1828.8
6571;723697.4;5021727.4;1852.03
9132;723692.36;5021648.17;1892.08
5035;723693.18;5021761.8;1830.35
