id;cswidth;csheight
4608;5.29;1.57
7682;2.75;1.84
6658;1.22;1.65
5127;1.21;3.12
6154;4.29;3.74
511;2.93;4.56
1036;4.07;1.31
2572;5.99;2.46
6157;6.77;1.58
5648;0.72;2.23
2577;1.19;3.02
17;5.28;5.34
4626;7.43;2.16
3604;0.15;1.7
2581;5.96;2.69
7190;4.16;4.16
5143;0.09;0.37
4633;1.82;0.81
1562;8.86;5.65
1051;2.24;0.85
7202;7.76;10.48
4642;2.24;2.24
5155;10.29;3.89
1061;3.25;2.48
8744;2.76;4.63
2088;11.95;1.84
7210;1.0;2.39
6184;2.2;2.36
2093;4.76;1.07
8241;2.61;3.3
3124;4.08;1.57
8757;3.04;1.79
3638;8.48;8.48
3639;2.01;1.24
4660;0.17;0.37
2105;2.55;3.37
6714;5.24;4.14
3130;12.96;3.4
7732;8.4;1.67
8250;3.02;1.22
8254;15.25;20.68
6208;0.25;0.77
2625;4.57;2.38
7745;3.31;1.98
581;10.1;6.73
71;4.8;4.8
8776;1.57;0.97
1095;8.47;2.73
7241;4.28;4.28
8780;7.28;6.35
76;5.99;10.67
6732;10.09;10.69
3663;0.47;0.98
5711;1.64;1.81
5202;2.04;2.04
4691;2.89;1.39
7764;3.28;1.22
85;3.54;3.54
2645;1.36;1.9
7257;11.21;3.43
6749;5.93;1.32
5726;15.11;5.59
7778;2.92;2.2
1123;7.98;5.34
4196;22.05;6.77
8803;5.05;5.05
4197;3.45;11.66
2154;0.62;1.13
1132;3.12;3.12
7790;3.48;3.48
6767;8.65;11.53
7279;3.36;0.91
4210;10.32;2.1
7283;0.12;0.6
5237;3.68;2.57
3191;14.16;6.12
7799;7.04;3.51
6264;3.75;1.06
3194;6.62;5.3
7803;5.28;4.14
8316;5.54;5.54
8317;5.94;5.94
5244;3.25;0.89
6783;2.89;1.98
8831;3.95;2.91
7310;10.5;2.75
655;9.17;2.14
7824;6.46;2.07
3729;0.26;0.91
8849;9.28;2.49
8851;4.03;1.43
7828;5.52;0.44
7833;4.0;5.88
4762;1.77;2.11
5275;1.23;0.63
8348;31.69;4.3
1692;5.14;5.14
5789;0.99;2.06
7839;0.1;0.77
7840;1.24;0.53
5281;6.14;1.34
4266;1.65;3.39
4779;1.64;0.37
2220;4.64;4.64
6831;6.89;3.0
2229;2.33;2.33
8374;4.12;6.9
2747;0.05;0.86
4797;2.91;3.46
1219;2.48;0.84
196;3.53;1.46
4805;4.05;2.63
713;0.5;0.56
5833;5.29;5.29
4812;3.16;0.88
1741;0.28;0.75
718;3.2;5.86
5840;5.86;1.38
209;5.78;6.42
7379;2.84;1.18
8404;9.51;9.95
4310;5.83;2.72
7389;2.83;16.03
3806;1.2;1.07
735;2.41;2.18
5856;15.47;4.44
3809;7.6;7.6
6369;1.94;1.47
1251;1.66;0.61
8419;4.56;2.41
5349;7.34;1.9
6374;4.84;1.21
747;0.19;0.74
5355;4.23;3.36
5356;1.38;2.6
7407;6.24;1.47
8433;10.54;4.13
8947;6.37;3.75
5363;4.07;14.15
3831;4.28;1.54
3320;4.64;3.12
2297;1.77;0.87
1786;6.03;4.57
5886;1.79;5.08
8958;8.13;1.91
768;5.19;1.59
2306;0.59;1.34
2307;3.91;1.85
3332;3.5;5.78
779;4.26;2.54
4877;10.77;3.54
3853;2.3;1.84
5904;6.26;2.83
5905;2.39;2.36
6931;2.7;0.57
6932;4.2;3.47
6933;4.8;2.35
8470;1.52;1.04
2841;9.13;2.76
6427;4.1;1.41
1309;1.02;1.02
1308;0.42;0.33
6433;17.61;3.21
3874;9.96;2.15
8994;2.62;3.68
1828;3.04;2.34
5929;2.34;3.78
3886;3.17;3.17
5423;0.68;0.48
7471;2.12;0.81
814;1.24;2.56
8498;0.08;1.11
4404;1.26;0.87
4405;7.59;2.88
1846;3.26;1.87
9011;5.9;4.84
3898;2.23;2.44
9019;4.12;3.22
4926;2.61;2.64
318;1.87;1.43
5952;1.09;1.09
2370;0.84;0.58
2372;5.13;1.66
5963;0.87;1.1
2893;0.64;3.25
1876;11.52;9.32
2900;1.31;2.39
4440;4.05;1.77
1882;0.8;3.08
8543;6.76;6.76
4963;1.1;0.67
8036;0.52;0.63
867;5.92;6.41
4967;3.92;0.73
7528;2.63;1.31
3437;19.65;3.11
1390;2.6;3.55
4464;3.34;2.14
5489;5.49;5.49
5490;0.95;0.67
9079;1.08;2.46
6009;4.53;4.53
2940;0.74;2.85
6014;0.09;0.58
7040;15.14;2.19
6530;5.71;5.43
7559;2.91;4.41
3980;11.72;12.74
8077;3.87;2.2
5006;6.61;4.04
7566;4.2;3.26
5009;7.49;3.6
3475;2.08;1.77
7061;3.78;3.78
6552;4.76;2.6
4508;14.56;7.8
412;2.29;0.75
8604;2.84;1.87
8608;2.76;0.96
6049;4.62;1.73
3488;7.65;3.41
8611;1.92;2.83
4514;4.73;3.61
422;4.17;6.71
7079;3.12;3.12
6561;6.14;1.5
3497;5.14;1.45
9131;4.11;1.12
3500;8.37;4.49
1452;2.29;14.5
5551;1.36;1.64
944;2.81;1.69
1456;9.51;2.74
6063;2.68;1.43
3511;2.25;0.48
4025;0.69;2.68
5563;0.69;0.6
956;8.52;1.48
8637;3.43;1.59
1470;4.87;3.29
4030;9.59;3.01
4539;1.33;2.34
7105;2.81;0.7
7108;0.87;1.44
5061;2.01;0.67
7627;4.86;4.86
5586;7.06;4.72
8146;12.38;3.24
6612;5.48;5.48
6100;1.62;0.49
1502;0.49;2.2
481;2.47;6.1
3042;2.69;1.65
4578;2.0;1.0
2537;0.17;3.66
4589;0.21;1.18
4590;1.49;0.54
5105;4.77;7.5
1522;3.6;3.0
1011;1.65;0.22
2035;1.13;0.93
6134;12.61;3.0
2553;13.15;4.74
5115;10.28;5.79
6143;4.24;0.89
