id;x;y;z
1;322854.25;5094357.32;2203.25
8;322855.57;5094358.72;2209.45
10;322879.88;5094295.43;2123.04
12;322873.8;5094313.38;2126.62
17;322884.66;5094277.43;2134.41
26;322871.1;5094351.42;2197.39
32;322872.09;5094322.27;2131.52
41;322834.52;5094356.38;2247.14
44;322859.98;5094361.12;2207.87
46;322873.87;5094317.11;2136.85
47;322885.19;5094293.29;2148.74
48;322877.48;5094328.72;2153.82
52;322879.65;5094291.17;2117.39
54;322861.05;5094357.67;2161.25
57;322878.64;5094328.47;2179.86
60;322860.46;5094351.96;2143.96
61;322872.63;5094250.05;1995.28
63;322807.93;5094375.03;2258.05
64;322816.89;5094368.93;2257.32
66;322905.06;5094213.33;1990.64
72;322856.57;5094353.58;2147.87
74;322880.36;5094319.82;2159.85
75;322814.34;5094374.9;2256.54
79;322857.28;5094269.83;2038.24
82;322862.21;5094360.91;2206.79
87;322854.57;5094352.58;2222.79
88;322879.1;5094299.93;2124.46
90;322805.83;5094375.05;2259.29
93;322877.87;5094294.71;2118.4
94;322863.44;5094262.83;2030.8
104;322825.74;5094364.64;2257.26
114;322807.91;5094378.88;2263.83
117;322862.06;5094359.03;2205.92
133;322863.13;5094351.93;2142.11
134;322840.98;5094355.94;2225.27
138;322864.42;5094359.11;2216.22
140;322877.65;5094278.5;2107.71
141;322800.6;5094376.27;2273.09
147;322873.04;5094334.25;2149.09
148;322800.36;5094376.1;2280.39
154;322805.61;5094379.55;2255.59
158;322885.43;5094314.87;2177.35
168;322884.64;5094308.55;2161.97
170;322858.75;5094353.92;2148.28
174;322875.13;5094309.39;2124.19
175;322877.1;5094279.68;2093.69
176;322865.42;5094359.43;2214.68
183;322867.39;5094254.61;1997.22
187;322808.58;5094376.02;2268.14
188;322809.13;5094378.07;2259.01
190;322811.93;5094373.22;2256.84
191;322866.16;5094332.11;2129.55
192;322915.03;5094195.61;1988.59
193;322870.43;5094317.49;2129.51
195;322808.9;5094373.24;2266.25
198;322879.01;5094244.24;1997.29
200;322806.05;5094374.35;2269.39
203;322832.85;5094356.53;2247.81
204;322884.8;5094288.47;2145.03
208;322874.64;5094333.0;2153.98
213;322860.52;5094266.51;2031.99
222;322809.34;5094371.38;2265.61
223;322885.09;5094287.34;2144.08
226;322865.17;5094347.07;2139.6
228;322801.38;5094375.05;2289.4
233;322920.44;5094186.94;1986.41
234;322884.4;5094308.66;2159.82
237;322804.21;5094383.46;2268.61
239;322854.01;5094271.58;2041.25
243;322885.65;5094236.12;1992.13
244;322885.24;5094301.97;2156.05
245;322886.64;5094278.33;2143.17
246;322875.65;5094342.39;2188.01
247;322856.76;5094358.52;2208.71
250;322803.0;5094375.0;2290.0
252;322916.34;5094193.88;1988.84
257;322881.76;5094332.53;2179.95
258;322844.61;5094355.18;2226.64
265;322866.47;5094320.88;2133.53
272;322873.86;5094315.81;2127.22
273;322876.21;5094347.04;2192.28
284;322866.94;5094360.32;2203.53
285;322831.96;5094359.5;2248.08
288;322877.07;5094301.09;2120.11
291;322866.31;5094343.49;2139.4
292;322883.32;5094313.27;2165.44
293;322870.46;5094278.0;2067.9
294;322879.85;5094281.73;2116.15
295;322811.51;5094370.85;2257.65
296;322889.18;5094231.53;1992.02
297;322847.54;5094353.59;2220.27
298;322874.19;5094278.09;2082.64
299;322799.9;5094377.92;2274.49
302;322809.1;5094370.63;2256.78
303;322822.22;5094367.08;2257.25
304;322851.51;5094272.55;2040.86
306;322885.53;5094290.9;2149.06
310;322868.34;5094353.78;2199.97
315;322867.27;5094339.66;2137.41
318;322897.42;5094223.33;1991.47
325;322865.19;5094309.64;2114.48
328;322909.31;5094206.25;1990.33
330;322866.28;5094260.44;2024.45
331;322858.28;5094271.64;2038.62
336;322865.64;5094343.06;2137.48
337;322829.63;5094361.5;2246.35
341;322849.03;5094352.56;2214.26
342;322863.71;5094269.43;2064.71
344;322878.76;5094328.12;2169.97
345;322872.33;5094348.37;2194.7
346;322910.78;5094202.86;1989.45
348;322886.56;5094296.54;2154.32
349;322869.07;5094270.36;2063.49
350;322862.6;5094269.33;2057.54
354;322924.1;5094181.43;1985.35
356;322884.5;5094314.76;2165.83
361;322886.47;5094294.37;2153.34
366;322884.15;5094305.2;2157.53
367;322850.22;5094354.23;2214.85
368;322912.62;5094201.75;1989.11
374;322844.18;5094354.42;2226.91
375;322885.6;5094298.95;2154.94
378;322883.39;5094324.67;2178.76
379;322914.7;5094198.19;1990.14
384;322900.77;5094219.15;1991.59
386;322886.55;5094275.52;2115.56
389;322870.03;5094332.29;2135.41
394;322885.66;5094281.79;2142.23
