id;cswidth;csheight
20481;0.73;1.31
18436;0.08;2.3
47112;0.04;2.93
36887;0.02;8.4
18456;0.14;3.12
30745;0.61;29.88
20507;0.45;7.87
8228;1.4;0.01
22567;9.0;48.0
22576;0.01;2.1
18486;5.48;2.12
47159;0.02;2.5
14392;2.01;1.7
36923;0.86;4.3
47169;0.15;3.9
30785;0.07;1.97
47176;0.05;15.28
8266;0.03;1.69
4173;0.21;0.95
45138;2.99;0.7
14420;0.05;2.08
30808;2.1;0.04
36954;1.03;30.17
26715;0.31;9.39
39005;0.96;9.72
47201;4.47;0.44
39015;5.25;5.25
41063;0.01;3.0
2153;4.93;15.79
28775;0.01;0.76
6251;0.01;5.0
45163;0.01;4.87
41067;0.9;1.11
110;6.95;2.92
22640;0.01;3.0
45170;2.21;13.01
34932;0.51;1.01
16502;20.0;6.3
43126;0.25;3.69
20600;0.01;3.95
30840;0.18;15.57
24701;0.21;2.18
4221;0.1;10.1
20607;0.02;5.44
14465;0.49;1.94
130;0.27;3.0
12419;0.01;3.62
37009;0.3;2.48
6299;0.03;3.77
2204;0.06;1.06
20637;0.01;1.3
26782;3.42;3.99
34975;0.07;10.92
159;0.02;4.7
20636;0.25;6.48
43174;0.25;4.06
2220;0.08;1.41
41137;0.04;0.88
178;0.12;9.34
4290;5.92;0.94
6339;3.94;3.51
6338;0.01;1.18
197;0.01;1.39
6350;0.26;6.16
10452;0.11;1.77
47317;0.71;1.42
214;4.27;4.27
22744;2.45;1.49
8408;0.01;1.5
6362;0.28;24.04
4315;0.02;1.98
6366;1.45;1.61
26849;0.06;3.63
4324;1.39;23.48
22758;6.0;5.87
28904;3.94;19.16
238;0.02;2.16
8433;0.56;1.77
35058;0.44;13.07
6389;0.03;9.51
18680;0.38;2.43
6394;0.03;3.77
8452;0.1;2.58
18696;0.02;1.69
24843;1.16;2.5
6413;0.12;3.0
24846;0.02;2.88
33040;0.06;2.96
30993;0.09;5.12
16661;8.02;8.02
24855;0.01;1.0
4377;1.54;13.72
37151;0.06;3.46
20773;0.84;11.58
4390;0.08;5.93
24870;0.6;4.48
6443;0.16;3.98
10539;2.71;0.87
24877;20.1;10.55
4397;0.27;7.71
26935;0.82;1.8
4407;0.32;2.27
10239;0.24;9.2
43326;2.36;7.26
4419;0.02;1.49
20811;0.07;3.49
14669;5.79;1.55
35149;0.09;13.44
45390;0.2;0.14
10576;1.5;2.59
20817;0.04;2.95
33103;0.07;2.66
2381;1.76;2.0
31057;0.03;1.18
39256;0.02;1.76
348;0.02;3.3
39265;6.29;34.42
355;0.02;2.94
47460;0.02;3.63
31076;0.04;1.3
39274;0.57;5.29
45422;0.08;2.52
18799;0.03;1.49
41328;0.06;2.18
10608;0.02;0.86
