id;x;y;z
2051;681946.75;4760929.51;1240.22
16388;682112.6;4760842.63;1238.62
26634;682532.26;4760820.97;1309.49
16394;682487.89;4760767.68;1299.3
14354;682043.21;4760846.87;1241.84
12318;681550.79;4760827.62;1170.74
10270;682529.57;4760817.43;1298.59
40991;682420.84;4760673.7;1347.2
10291;681565.96;4760855.71;1168.36
20532;682401.54;4760675.68;1302.26
20542;682457.11;4760688.48;1479.05
36929;682503.16;4760781.53;1298.63
82;681552.56;4760825.24;1178.16
34908;682449.65;4760810.01;1596.46
16479;682437.48;4760688.66;1441.19
14435;682444.28;4760875.99;1385.38
45158;682450.46;4760811.57;1587.57
20593;682491.72;4760773.64;1298.94
26751;682448.54;4760868.87;1323.84
22657;682424.79;4760707.02;1301.25
26754;682440.87;4760862.95;1295.34
41096;682415.68;4760697.82;1301.63
6280;681666.23;4760832.36;1200.96
47249;682450.66;4760812.13;1579.77
10397;681939.25;4760898.55;1242.87
39071;682362.04;4760845.0;1279.37
34977;682443.28;4760874.86;1409.89
28836;682431.11;4760681.23;1414.68
43175;681502.07;4760811.78;1175.51
39098;681823.03;4760920.78;1227.97
43209;682453.23;4760869.37;1304.24
47307;682446.07;4760870.84;1408.18
37070;682518.08;4760796.36;1300.05
6367;682497.74;4760780.97;1299.98
12529;682495.05;4760780.28;1299.21
37105;681992.94;4760876.74;1237.75
33016;681931.48;4760907.09;1229.0
43272;682451.27;4760819.05;1538.56
6414;682527.29;4760814.44;1298.2
6415;682466.62;4760687.92;1499.22
18715;682451.11;4760851.79;1431.6
47387;682152.19;4760854.68;1236.18
12574;681688.55;4760844.95;1209.24
22819;682423.29;4760855.73;1288.83
43305;681715.24;4760840.22;1209.52
16682;682449.25;4760803.86;1599.47
33068;682431.38;4760684.22;1430.58
37180;682448.45;4760688.77;1479.83
10556;681940.97;4760904.38;1229.94
47426;682006.95;4760859.43;1234.15
327;682449.77;4760802.67;1632.99
43344;682528.54;4760821.5;1309.18
12625;681803.19;4760911.99;1228.6
339;682462.03;4760743.99;1299.75
41304;681665.21;4760841.34;1206.02
8544;682453.52;4760854.8;1432.17
6518;682129.35;4760839.15;1229.18
12665;682444.63;4760873.99;1354.11
35199;682471.43;4760852.05;1288.25
384;682446.97;4760724.23;1300.49
16771;682413.84;4760676.86;1344.61
14725;682364.78;4760846.01;1280.13
18831;682042.78;4760843.74;1231.15
2449;682143.75;4760849.68;1236.28
405;681755.62;4760864.06;1215.81
29080;681744.62;4760860.26;1216.87
14748;681965.05;4760888.22;1240.8
33185;682451.5;4760863.63;1429.92
47545;682425.85;4760710.43;1300.81
41404;682435.2;4760715.99;1301.72
31175;681944.85;4760929.89;1264.31
47565;682367.45;4760849.09;1278.65
6609;681565.08;4760851.71;1168.15
41432;682452.38;4760826.54;1519.83
18913;681674.45;4760839.01;1205.96
41445;682258.35;4760860.11;1270.96
2546;682449.61;4760729.78;1300.1
16906;682481.6;4760701.52;1541.14
14862;682473.64;4760709.72;1587.33
41492;682238.59;4760867.56;1261.84
10772;681569.84;4760849.4;1172.27
39446;681738.7;4760854.9;1213.43
21022;682432.11;4760856.57;1288.73
14878;682284.2;4760858.37;1276.37
542;681772.47;4760870.52;1215.49
37409;682472.77;4760712.34;1609.1
6712;682397.42;4760677.36;1302.14
31291;681488.78;4760816.96;1174.71
37438;682409.73;4760689.01;1302.6
14915;682462.34;4760689.16;1502.26
23112;682452.17;4760830.59;1499.94
14926;682193.32;4760874.1;1236.72
14928;681936.66;4760906.11;1228.14
47717;682428.88;4760679.35;1404.85
21095;681605.58;4760858.23;1178.92
14957;682452.15;4760825.87;1524.78
23149;681876.95;4760944.7;1235.11
12926;682423.89;4760708.17;1301.31
37504;682208.12;4760879.39;1249.74
2689;681557.28;4760836.98;1171.99
19094;682449.74;4760846.21;1448.92
31384;682184.27;4760872.14;1238.01
15002;682472.17;4760695.93;1519.57
37536;682449.76;4760800.37;1633.0
6817;682450.41;4760853.02;1430.4
29351;682450.39;4760840.31;1463.24
8877;682443.48;4760723.8;1300.84
43701;682536.43;4760810.09;1298.95
33461;682481.14;4760826.52;1302.45
47801;682524.69;4760819.57;1296.63
10938;682496.53;4760842.42;1288.46
699;682448.7;4760866.62;1409.62
23231;682423.35;4760708.33;1301.32
21184;682520.26;4760823.67;1297.36
27331;682316.11;4760851.23;1282.36
23239;682450.32;4760865.92;1413.72
2762;682478.12;4760757.63;1298.54
45774;682434.21;4760684.05;1432.43
13007;682481.14;4760702.46;1541.33
747;682404.25;4760676.82;1300.98
31475;681532.29;4760811.65;1181.43
35576;682530.44;4760806.21;1299.43
33546;681944.22;4760901.27;1233.59
27426;681486.32;4760817.66;1171.05
23333;682491.91;4760772.81;1298.87
13094;682434.11;4760856.32;1288.86
35624;682368.75;4760847.73;1294.98
21290;682479.93;4760759.94;1299.11
19255;681974.97;4760884.34;1235.93
41786;682446.56;4760688.9;1472.84
27455;682476.23;4760847.03;1284.64
17217;682407.83;4760681.81;1302.45
35656;682465.71;4760862.54;1285.97
45905;682512.78;4760791.72;1300.63
850;682406.53;4760678.48;1300.45
19282;681661.88;4760816.73;1199.2
4955;682438.88;4760846.51;1286.37
45936;682524.4;4760802.75;1300.22
15218;681547.4;4760825.22;1168.83
15228;682410.56;4760691.22;1302.45
29567;682218.9;4760875.45;1254.07
48006;681950.27;4760925.45;1238.04
37769;682378.21;4760849.57;1278.91
31651;682081.38;4760834.58;1238.9
27556;682193.84;4760881.68;1245.89
27557;682452.31;4760822.35;1523.97
39850;682465.77;4760743.18;1299.57
21419;681811.7;4760912.23;1228.77
13242;681650.66;4760849.55;1198.99
23486;682448.56;4760844.01;1460.62
17347;682470.21;4760690.47;1519.7
9155;682453.09;4760848.13;1444.56
5074;682174.94;4760870.9;1237.17
17384;682528.75;4760817.88;1297.35
35818;681903.45;4760933.59;1241.33
11248;682450.47;4760816.91;1543.39
5106;682474.37;4760753.22;1299.58
9216;682083.22;4760835.32;1247.43
41990;681704.15;4760844.64;1212.08
41993;682382.32;4760848.19;1282.38
48148;682412.18;4760694.6;1301.99
13341;682455.92;4760740.62;1299.64
44065;682530.27;4760818.29;1298.17
15404;682518.67;4760825.69;1298.85
46138;681466.66;4760819.08;1168.24
35913;682449.02;4760728.71;1300.56
7244;682448.99;4760869.75;1340.02
9298;682427.66;4760710.86;1301.47
13395;682438.64;4760683.99;1432.42
29780;682447.52;4760870.48;1356.28
37975;682473.53;4760708.99;1625.32
44121;682489.42;4760770.27;1299.17
27752;682468.25;4760744.97;1299.39
9339;682476.23;4760695.73;1534.08
38012;681481.17;4760817.8;1167.09
44159;682498.7;4760825.49;1302.85
42116;682452.88;4760833.76;1496.37
3211;682457.57;4760744.16;1299.55
23691;682355.67;4760843.56;1284.64
1170;681947.27;4760892.37;1242.34
19609;682058.24;4760836.78;1234.88
13466;682472.18;4760708.68;1633.3
36004;682454.23;4760739.36;1300.28
38052;682557.41;4760820.46;1301.89
3240;682458.52;4760855.79;1285.9
29865;682429.68;4760713.63;1301.5
15542;682447.09;4760725.05;1300.54
27830;682449.39;4760870.71;1346.4
40120;682471.78;4760686.89;1517.99
27833;681477.23;4760821.79;1171.28
42170;682471.77;4760707.37;1636.0
23743;681941.56;4760918.15;1232.12
23745;682569.91;4760820.45;1300.97
29893;682519.38;4760826.95;1301.53
7375;682178.74;4760884.28;1244.44
15590;682162.57;4760862.41;1234.95
23787;682479.02;4760697.58;1535.97
3317;681835.75;4760938.8;1234.34
29956;682488.38;4760842.57;1285.23
1284;682228.87;4760870.37;1259.31
13574;682352.78;4760841.55;1284.61
48389;681546.91;4760820.79;1170.5
46345;682507.3;4760784.74;1299.79
19722;682472.25;4760748.47;1299.15
13580;681612.77;4760850.2;1182.28
38159;681487.35;4760820.33;1164.76
19731;682482.06;4760705.42;1541.33
5395;682405.16;4760849.9;1281.75
27932;682423.38;4760676.82;1368.46
1310;682395.11;4760851.4;1281.14
3363;681555.91;4760823.52;1178.4
7462;682450.02;4760812.97;1543.06
1319;681843.31;4760939.46;1234.46
17708;682453.7;4760833.15;1499.33
11576;682422.68;4760673.87;1365.95
34119;682448.59;4760869.04;1302.46
27996;682450.14;4760867.91;1301.92
40285;682189.59;4760871.1;1237.51
34157;682389.75;4760847.54;1284.31
36215;682471.75;4760865.05;1286.61
17789;682096.27;4760832.45;1239.87
42366;682449.69;4760803.76;1633.6
34181;682248.52;4760866.14;1265.85
23945;682445.76;4760876.5;1368.41
5513;681490.65;4760813.07;1175.31
32144;681553.32;4760822.68;1174.98
32159;682508.91;4760785.55;1299.32
36259;682360.8;4760847.2;1282.89
26032;681729.42;4760845.54;1210.6
26036;682436.9;4760717.3;1301.13
21949;682409.76;4760685.34;1303.08
36288;682035.19;4760848.94;1232.56
28098;682304.0;4760857.15;1283.2
17863;682485.1;4760764.58;1299.65
34255;681541.7;4760817.32;1182.49
3536;682460.42;4760687.57;1498.0
44496;681929.35;4760929.43;1246.76
13787;682467.88;4760847.28;1297.8
19936;682458.54;4760689.5;1484.97
13793;682454.34;4760859.52;1414.39
42472;681783.14;4760888.84;1221.17
15855;682452.57;4760689.3;1479.21
7670;681999.73;4760863.85;1234.94
42488;681618.14;4760850.78;1184.11
17918;682399.34;4760847.88;1284.74
5631;682430.88;4760678.59;1393.74
46592;681779.16;4760878.04;1217.65
22029;682531.55;4760810.71;1298.78
19982;682440.96;4760720.94;1301.54
7698;682407.96;4760680.85;1309.95
9747;682452.31;4760837.18;1482.81
7709;682504.77;4760784.63;1300.86
44574;681487.2;4760817.86;1172.77
28196;682445.25;4760695.65;1439.76
30254;682456.39;4760733.84;1326.5
42544;682467.53;4760688.35;1514.86
17979;681984.4;4760880.61;1234.92
28222;682449.12;4760803.32;1616.22
30273;682408.12;4760683.46;1303.26
1602;682435.57;4760691.95;1442.99
9794;681532.08;4760813.16;1181.36
44613;681940.08;4760900.25;1242.9
26184;682202.01;4760872.1;1236.98
44617;682456.91;4760739.41;1300.41
7764;682520.14;4760821.08;1296.94
28246;682376.4;4760846.82;1282.02
28247;681485.36;4760815.69;1169.32
7784;682385.53;4760846.91;1281.01
30313;682469.97;4760834.15;1298.06
11893;682399.58;4760679.1;1302.59
44664;681542.54;4760840.05;1165.48
40579;682449.88;4760814.23;1552.53
32389;681923.56;4760902.04;1242.14
13964;682468.49;4760688.79;1517.89
20119;682473.16;4760707.77;1630.52
16024;682406.41;4760665.92;1322.5
13980;682322.29;4760843.22;1285.09
30374;682439.94;4760720.57;1302.57
34475;682541.41;4760820.18;1304.61
46768;682454.76;4760739.45;1300.36
9932;682442.39;4760721.26;1300.9
5840;682017.36;4760861.13;1231.17
26323;682550.47;4760820.71;1300.55
7891;682447.12;4760844.2;1448.87
36563;681986.32;4760871.33;1234.94
34534;682445.46;4760691.78;1456.21
30439;681586.78;4760861.35;1172.77
26343;681551.24;4760820.27;1171.95
40711;682472.01;4760710.09;1587.49
20239;682471.88;4760710.73;1606.28
40741;682473.52;4760709.86;1616.75
34605;682450.01;4760801.75;1600.89
5946;682473.06;4760708.84;1625.12
1873;682444.21;4760875.78;1409.59
20308;681911.15;4760934.63;1242.02
24405;682452.38;4760839.87;1461.89
18269;681571.72;4760860.02;1170.56
5998;681471.92;4760826.01;1170.91
40834;682449.42;4760864.57;1413.5
28549;682460.79;4760688.65;1484.64
20369;682451.33;4760819.28;1523.87
42900;682452.43;4760846.2;1449.47
22429;682504.16;4760784.12;1298.29
38819;681640.53;4760847.3;1193.26
24493;682412.98;4760854.58;1282.77
24500;682448.87;4760798.85;1585.69
26549;681554.05;4760833.63;1169.44
22455;682453.18;4760856.42;1432.14
42939;681470.3;4760822.56;1171.13
32700;681790.39;4760896.26;1222.09
14277;682474.63;4760707.59;1580.96
14286;682401.96;4760674.53;1300.9
34780;682410.06;4760678.68;1318.5
16350;681926.99;4760930.05;1246.53
20454;682452.09;4760845.75;1465.74
16364;682441.75;4760693.47;1442.17
26613;682522.54;4760821.71;1306.48
