from_id;to_id
45061;12805
45061;29297
12805;29664
27655;1519
27655;767
35855;7986
35855;9979
43028;46414
43028;1021
14872;33321
14872;17908
4640;39900
4640;46993
41510;8782
41510;15501
16424;27911
16424;16965
23593;15501
23593;31881
23593;33321
44093;23817
44093;35553
18502;31881
18502;29598
25158;31923
25158;14046
44619;40420
44619;20740
12877;38587
12877;4191
8782;21658
8782;43382
40030;35670
40030;14289
4191;5768
43617;15734
43617;35258
39537;1963
39537;47517
29297;28890
29825;22776
29825;11218
29825;17790
43137;29598
43137;13776
5768;15734
35465;40381
35465;13645
37513;11218
37513;48569
21658;43296
44186;35258
44186;29664
31923;28890
4791;14249
4791;32526
38587;43382
14046;35064
35553;39900
35064;30990
22776;14289
9979;18782
32515;31498
32515;15706
27911;15706
23817;13645
31498;17790
32526;35670
30990;35210
43296;14329
7986;46993
26439;35210
26439;1519
46414;1992
21846;35258
21846;1992
18782;34247
47517;48069
14249;6588
1963;13776
1963;40420
48569;14329
4537;48069
4537;18884
6588;34247
17908;1021
