id;cswidth;csheight
516;0.25;0.28
4;0.55;0.54
518;0.76;0.67
525;4.54;18.42
527;8.46;2.52
543;3.09;1.1
548;9.51;9.51
41;0.38;0.58
554;1.63;4.21
558;6.77;9.4
54;0.5;0.16
65;1.58;4.81
80;3.08;2.32
95;1.87;3.93
96;3.58;11.2
104;0.52;0.14
118;4.08;0.01
139;11.2;0.77
148;0.13;1.21
200;3.78;6.82
206;2.72;3.22
209;3.17;3.17
217;0.84;0.12
276;6.42;19.22
280;0.51;1.25
309;2.99;1.96
317;6.05;6.05
362;0.24;0.06
383;1.65;9.57
416;1.71;2.61
417;4.65;1.28
419;1.71;4.21
424;5.43;10.3
426;0.04;1.67
432;6.11;4.65
438;0.54;1.8
454;0.93;2.3
470;2.84;0.64
477;0.25;2.81
