from_id;to_id
1538;3222
1538;1755
1027;2194
1027;3401
516;3266
516;2859
1030;1755
1030;2324
519;2947
519;3177
2057;338
2057;2216
1033;1621
1033;96
1546;2684
1546;3283
1035;2166
1035;1678
1041;2667
1041;2224
2580;1773
2580;3316
2585;361
2585;2907
26;3430
26;433
1562;2224
2076;294
2076;801
3108;1740
3108;1672
1062;2973
1062;3119
2087;2885
2087;1773
3112;370
3112;471
553;491
553;692
42;191
42;3415
2091;2683
2091;668
3119;733
1076;2463
1076;814
1077;873
1077;908
2100;717
2100;1410
2100;727
56;2666
56;1987
2616;1410
2616;1122
573;2251
573;397
2110;3316
2110;3337
63;1807
63;2666
1599;274
1599;1147
1599;1022
1089;2147
1089;3273
2109;1416
2109;1905
1604;2695
1604;1926
1092;1340
1092;1621
1608;1680
1608;2236
74;1248
74;3430
1611;1838
1611;1186
76;1770
76;1272
3153;1114
3153;2947
3153;3054
2643;2363
2643;323
1619;377
1619;3050
595;2670
595;800
3156;866
3156;1630
3157;2223
601;2369
601;162
605;2921
605;2918
1630;2399
96;2670
1122;1123
2147;497
2660;1477
2660;2667
1124;336
1124;413
1638;1783
1638;1416
1127;3283
1127;2223
1123;2921
3177;1703
105;1156
105;964
1643;3064
1643;633
2671;162
2671;671
2671;804
1649;827
1649;287
1139;638
1139;827
2166;2343
633;2885
2683;860
2684;2214
1147;214
3196;1286
3196;360
638;433
638;2363
2688;908
2688;1283
2177;668
2177;235
1156;149
1158;2882
1158;755
2695;1331
1672;149
3207;3425
3207;764
1678;191
1680;802
2194;1249
3222;1792
671;259
1186;2271
2725;1971
2725;1013
2214;350
1703;370
2216;336
1193;1462
1193;2343
171;814
171;2004
1199;3408
1199;873
2224;272
692;695
1206;484
1206;1844
695;3040
2236;361
3263;1845
3263;1285
2751;914
2751;2263
3266;1283
1222;470
1222;2909
1735;2362
3273;1477
2251;964
1740;848
1228;3337
1228;1399
1230;1238
1230;1845
717;1772
1238;360
214;774
218;774
218;848
733;2369
3294;454
3294;3030
2271;2867
1248;2891
1249;800
1763;2463
1763;227
227;1279
1770;413
235;3455
1772;3433
237;323
237;897
1266;2895
1266;2362
3315;804
3315;2882
755;823
1783;1488
1272;2443
764;3000
1279;1487
1792;1487
259;350
1285;497
1286;3378
3333;3050
3333;348
1807;3455
272;860
1296;801
1296;454
274;1987
2324;1512
284;2541
284;470
287;294
802;2918
2859;1009
1838;866
3378;3033
1331;2469
1844;3408
2867;2463
823;866
1340;1009
2371;3068
2371;491
2891;3455
2895;1022
338;3000
3415;3068
2907;914
2909;945
348;2973
2399;1929
3425;397
1897;1929
1897;1462
3433;1512
1905;2505
1399;1971
377;2018
897;2541
386;945
386;2002
1926;3064
2443;2540
1931;2004
2453;2540
2453;2018
2469;475
3508;2505
1488;3040
2002;484
471;3033
3030;475
